ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
263	杜鹃	内坊秘行者		2	0	28	1	1	0	44	0	950	45	6	1	1		180	4700	0	0	18000	0	0	100	6	22	9000	0	0	0	0	27	31	1	1	1	1		176	58	58	58	58	0	263	1	85	97	85	97	28	1	59		1	1024	49	10	544	1	320		1	320	16	8	547	1	160		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	无盐岛\miwen.tab	1		0		0		0	4616	0	0	0	0	0	0	0	0	0	1	600	775	734003	无盐岛	0	0	1	3	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	5	44	2000	60																																																						28													0	0	0	0															1											0					
2140	常万山	无盐寨二当家			0	28				42		950	47	6				0	20900			40468					28						28	32	32	32	32	32		175	57	57	57	57	296	2140	11	109	54	72	80	28	1	21				11	10	5125	10	240								32								32						999999999			无盐岛\2号.tab	1	无盐岛\12格包.tab	1	无盐岛\2号_2.tab	1	副本掉落\副本通用\Pattern_boss_all.tab	1	1341										1392	575	737	734003	无盐岛				3	1												scripts\Map\无盐岛\npc\BOSS属性.lua															0		-1								7	1214	0	1			5	42	2000	62																																																						28													5	0	0	0															1					1						1					
2177	罗翼	无盐寨兵头			0	28				42		950	47	6				0	6900			3000					28						27	27	27	27	27	27		175	57	57	57	57	284	2177	15	17	8	8	65	28	1	31				21	10	849	10	240						848	10	320		2						32						99999999			无盐岛\1号.tab	1	无盐岛\12格包.tab	1	无盐岛\1号_2.tab	1	副本掉落\副本通用\Pattern_boss_all.tab	1	1348										1392	575	737	734003	无盐岛					1												scripts\Map\无盐岛\npc\BOSS属性.lua															0	9000	-1									1278	0	1			5	42	2000	61																																																						28													0	0	0	0															1					1						1					
2184	牙刀	无盐寨			0	28		2	242	41		950	71	5				99999999	4900			0					28						27	23	23	23	23	23		47	17	17	17	17		2184	15	63	31	0	0	28	1					22	10	846	1	160								360								32						99999999											1349										363	0	0	0	无盐岛			2		1																											0	9500	-1									144	0	1			7	41	875	60																																																						28													5	0	0	0															1											1					
2185	草鹫坞水贼头子	无盐寨			0	28			171	41		950	47	5				0	1200			8425					28						27	26	26	26	26	26		55	37	37	37	37	292	2185	12	59	59	49	101	28	1	27				17	10	845	10	960		7	500					32								32						99999999											1350										1	156	201	734003	无盐岛					1																											0	9500	-1								11		0	1			7	41	875	60																																																						28													5	0	0	0															1											0					
2186	草鹫坞船工	无盐寨			0	29			171	39		950	27	5			5	0	1000			2100					28						26	25	25	25	25	25		54	36	36	36	36	291	2186	12	44	44	0	0	28	1	28				18	10			32								32								32						99999999											1351	1881									1	149	190	734003	无盐岛					1																											0	9500	-1								2		0	1			7	39	861	60																																																						29													5	0	0	0															1											0					
2187	钱宗龙	无盐寨寨主			0	26			171	40		950	46	6				0	19900			5255					28						32	28	28	28	28	28		175	56	56	56	56	294	2187	13	95	48	81	42	28	1					22	10	5014	6	320		2				5124	1	340								32						99999999											1352										1	550	712	734003	无盐岛				2	1												scripts\Map\无盐岛\npc\钱宗龙.lua															0	9450	-1								11	1278	0	1			5	40	2000	60																																																						26													5	0	0	0															1											1					
2188	杜姬欣				0	26				43		950	41	6				0	23900			34000					28						27	31	31	31	31	31		176	57	57	57	57	295	2188	11	127	63	85	63	28	1	24						547	1	240						544	1	400								32						99999999			无盐岛\3号.tab	1	无盐岛\miji.tab	1	无盐岛\3号_2.tab	1	无盐岛\12格包.tab	1	1353										1392	587	762	734003	无盐岛				3	1												scripts\Map\无盐岛\npc\BOSS属性.lua															0		-1									1278	0	1			5	43	2000	63				524						无盐岛\3号_3.tab	1	副本掉落\副本通用\Pattern_boss_all.tab	1																																									26													5	0	0	0															1					1						1					
2193	柳叶				0	26				1		950	28	3				180	5			4					28						8	3	3	3	3	3		6	1	1	1	1		2193	22	3	2	3	2	28	1	28		1	1024	18	10			32								32								32																	1397										1	1	1	629145	无盐岛																																0	9000											0				3	2	78	60																																																						26				0									0	0	0	0															1											0					
2195	草鹫坞守岗水贼	无盐寨			0	28			171	40		950	28	5				0	1000			7900					28						27	25	25	25	25	25		48	36	36	36	36	285	2195	11	58	34	58	34	28	1	28				18	10	516	10	320								32								32						99999999											1399										1	152	197	734003	无盐岛				6	1																											0	9975	-1								11		0	1			7	40	868	60																																																						28													5	0	0	0															1											0					
