ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
6896	≈∑—Ù—≤			3	0	26	1	1	0	73	0	950	28	6	1	1		180	895665	0	0	806098	0	0	100	6	16	9000	0	0	0	0	0	79	79	79	79	79		75	7	7	7	7	0	6896	1	1774	887	1774	887	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5986	0	0	0	0	0	0	0	0	0		14666	19055	838860	œ›ø’€Í	0	0	1	1	0	0	<G>æ≈π¨À„£¨ŒÂ––≤Œ ˝£¨”Ã»Á—≠ª∑°£æ≈π¨’ﬂ£¨º¥¥˜æ≈¬ƒ“ª£¨◊Û»˝”“∆ﬂ£¨∂˛ÀƒŒ™ºÁ£¨¡˘∞ÀŒ™◊„£¨ŒÂæ”÷–—Î°£	1000		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\≈∑—Ù—≤.lua					0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	1	3070	0	1	0	960	12	235	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6905	…∑			2	0	28	1	1	290	70	0	950	1	5	1	1		180	34910	0	0	31419	0	0	100	6	16	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	6905	1	371	185	371	185	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	œ›ø’€Í_”ÓŒƒ±¶≤ÿ\hubenpei.tab	1		0		0		0	5997	0	0	0	0	0	0	0	0	0		1166	1515	838860	œ›ø’€Í	0	0	1	1		0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\Monsters.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	3070	0	1	0	960	9	225	1614	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7063	π◊≤ƒ			2	0	29	1	3	0		0	950	55		1	1		0	1	0	0	0	0	0	100	6	16	9000	0	0	0	0	0	1	1	1	1	1		0	0	0	0	0	0	7063	1	16	8	16	8	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20				0		0		0	6151	0	0	0	0	0	0	0	0	0		0	0	0	œ›ø’€Í	0	0	3	1	1	0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\π◊≤ƒ.lua					0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0		3070	0	1	0	960	3		78	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7087	≤ÿ±¶π◊≤ƒ			2	0	29	1	3	0	1	0	950	144		1	1		180	1	0	0	0	0	0	100	6	16	9000	0	0	0	0	0	1	1	1	1	1		0	0	0	0	0	0	7087	1	16	8	16	8	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6181	0	0	0	0	0	0	0	0	0		0	0	0	œ›ø’€Í	0	0	3	1	1	0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\π◊≤ƒ.lua					0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0		3070	0	1	0	960	3	1	78	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7201	µØ“©πﬁ			2	0	29	1	9	0	1	0	950			1	1		60	1	0	0	1	0	0	100	6	16	9000	0	0	0	0	0	1	1	1	1	1		0					0	7201	1	18	8	18	8	28	1	13		1	1024	3	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	œ›ø’€Í_”ÓŒƒ±¶≤ÿ\zhegugongdanyao.tab	1	œ›ø’€Í_”ÓŒƒ±¶≤ÿ\ningjisan.tab	1		0		0	6295	0	0	0	0	0	0	0	0	0	1867	0	0	0	œ›ø’€Í	0	0	0	1	1	0		0		0		0					scripts\Map\ ¿ΩÁÕ®”√\ai\ø’.lua					0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	0	3070	0	1	0	960	3	1	78	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7207	÷©÷Î			2	0	28	1	2	0	70	0	950	1	1	1	1		180	4233	0	0	0	0	0	100	6	20	9000	0	0	0	0	48	26	26	26	26	26		146	33	33	33	33	0	7207	1	158	78	158	78	28	1	20		1	1024	10	10	680	15	160		1	512	10	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6300	0	0	0	0	0	0	0	0	0		0	0	0	œ›ø’€Í	0	0	2	1	1	0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\Monsters.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	3070	0	1	0	960	1	94	77	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7208	Ú⁄Úº			2	0	28	1	2	0	70	0	950	1	1	1	1		180	4233	0	0	0	0	0	100	6	20	9000	0	0	0	0	48	26	26	26	26	26		146	33	33	33	33	0	7208	1	158	78	158	78	28	1	25		1	1024	15	10	680	1	160		1	512	15	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6301	0	0	0	0	0	0	0	0	0		0	0	0	œ›ø’€Í	0	0	2	1	1	0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\Monsters.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	3070	0	1	0	960	1	94	77	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7209	–´◊”			2	0	28	1	1	0	70	0	950	1	1	1	1		180	4233	0	0	0	0	0	100	6	20	9000	0	0	0	0	48	26	26	26	26	26		146	33	33	33	33	0	7209	1	158	78	158	78	28	1	25		1	1024	15	10	680	1	160		1	512	15	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6302	0	0	0	0	0	0	0	0	0	1	0	0	838860	œ›ø’€Í	0	0	2	1	1	0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\Monsters.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	3070	0	1	0	960	1	94	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7210	ƒæº◊»À			2	0	28	1	3	0	70	0	950	1	1	1	1		180	4487	0	0	0	0	0	100	6	20	9000	0	0	0	0	40	30	30	30	30	30		183	0	0	0	0	0	7210	1	197	99	197	99	28	1	47		1	1024	37	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6306	0	0	0	0	0	0	0	0	0		0	0	0	œ›ø’€Í	0	0	3	1	1	0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\Monsters.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	3070	0	1	0	960	1	94	77	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7211	–°Ã˙¬≠			2	0	28	1	3	0	70	0	950	1	1	1	1		180	4487	0	0	0	0	0	100	6	20	9000	0	0	0	0	40	30	30	30	30	30		183	0	0	0	0	0	7211	1	218	109	218	109	28	1	52		1	1024	42	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6304	0	0	0	0	0	0	0	0	0		0	0	0	œ›ø’€Í	0	0	3	1	1	0		0		0		0					scripts\Map\œ›ø’€Í_”ÓŒƒ±¶≤ÿ\npc\Monsters.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	3070	0	1	0	960	1	94	77	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
