ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
7163	王逸舟	觅宝会天字掌柜		3	0	75	1	1	0	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	7163	1	135	68	135	68	28	1	33		1	1024	23	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5933	0	0	0	0	0	0	0	0	0		224	291	838860	寻宝系统	0	0	1	1	0	0	<G>挖遍天下无敌手就是我。	1000		0		0					scripts\Map\节日七夕\npc\王逸舟.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	225	310	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	75			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
7164	王雪儿	觅宝会地字掌柜		3	0	75	1	1	0	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	7164	1	135	68	135	68	28	1	33		1	1024	23	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5951	0	0	0	0	0	0	0	0	0		224	291	838860	寻宝系统	0	0	1	1	0	0	<G>探索是一种精神状态。	500	<G>觅宝会欢迎各位同仁的加入，实现共同富裕。	500		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	225	310	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	75			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
7167	金毛鼠			2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7167	1	23	11	23	11	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6259	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7168	嗜血蝠			2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7168	1	23	11	23	11	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6260	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7169	芙蓉妖姬			2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7169	1	23	11	23	11	28	1	32		1	1024	22	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6261	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7170	盗宝弟子	藏剑叛徒		2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7170	1	25	13	25	13	28	1	36		1	1024	26	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6262	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7171	火刀弟子	霸刀山庄		2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7171	1	23	11	23	11	28	1	26		1	1024	16	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6263	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7172	江南营刺客	神策军		2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7172	1	23	11	23	11	28	1	31		1	1024	21	10	676	3	160		1	512	24	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6264	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7173	天竺夺宝僧	天竺迦兰僧		2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7173	1	23	11	23	11	28	1	27		1	1024	17	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6265	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7174	雾隐天忍	一刀流		2	0	28	1	1	1	10	0	950	28		1	1		0	400	0	0	158	0	0	100	6	28	9000	0	0	0	0	4	5	5	5	5	5		0	10	10	10	10	0	7174	1	23	11	23	11	28	1	26		1	1024	16	10	663	3	32		1	512	25	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	挖宝活动\cangjian_Preheat_1.tab	1	挖宝活动\cangjian_Preheat_2.tab	1	挖宝活动\cangjian_Preheat_3.tab	1		0	6266	0	0	0	0	0	0	0	0	0	1392	4	10	629145	寻宝系统	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	5	254	0	1	0	960	3	10	149	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
