ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
5834	猿飞鬼助			2	3		1	1	156	98	0	950	28	6	1	1		0	8387649	0	0	7548884	0	0	100	6	40	9000	0	0	0	0	0	290	290	290	290	290		273	25	25	25	25	0	5834	1	7162	3581	7162	3581	7310	15			1	1024	16	10	7196	20	480		1		16	8	7197	20	240		1	1024	16	8	7297	1	240		7	1024	16	8	4800	0	20	世界小boss\miji_all.tab	1	世界小boss\read_all.tab	1					1861	0	0	0	0	0	0	0	0	0		37388	114222	838860	野外场景日常boss	0	0	1	1		0		0		0		0					scripts\Map\金水镇\npc\猿飞鬼助.lua					0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	0	510	1	1.00	0	960	12	1030	40055	-1			0	1283	7	0	-1	0											0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0					0	0	0	0	0				0	0	0	0	1														1					1					204	1		0			
5835	风影			2	0	28	1	1	0	70	0	950	28	6	1	1		0	209463	0	0	188516	0	0	100	6	28	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	5835	1	391	196	391	196	59	1			8	1024	18	10	28	1			1		18	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1948	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0					scripts\Map\金水镇\npc\风影.lua					0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	5	225	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													0	0	0	0															1											0					
5836	炎影			2	0	28	1	1	0	70	0	950	28	6	1	1		0	209463	0	0	188516	0	0	100	6	28	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	5836	1	391	196	391	196	28	1	32		1	1024	22	10		1	80		1	512	13	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1976	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0					scripts\Map\金水镇\npc\炎影.lua					0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	5	225	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													0	0	0	0															1											0					
5837	水影			2	0	28	1	1	0	70	0	950	28	6	1	1		0	209463	0	0	188516	0	0	100	6	28	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	5837	1	391	196	391	196	28	1	32		1	1024	22	10	697	1	80		1	512	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1945	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0					scripts\Map\金水镇\npc\水影.lua					0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	5	225	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													0	0	0	0															1											0					
5838	孟康			2	0	69	1	1	0	70	0	950	28	6	1	1		180	209463	0	0	188516	0	0	100	6	22	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	5838	1	391	196	391	196	28	1	24		1	1024	14	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1901	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	5	225	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	69													0	0	0	0															1											0					
5839	黑风煞			2	0	69	1	1	0	70	0	950	28	6	1	1		0	837852	0	0	754067	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		71	6	6	6	6	0	5839	1	1700	851	1700	851	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1981	0	0	0	0	0	0	0	0	0	1	12444	16166	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	12	225	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	69													0	0	0	0															1											0					
5840	天一教驱尸者			2	0	69	1	1	0	70	0	950	28	5	1	1		180	15515	0	0	13964	0	0	100	6	22	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	5840	1	313	156	313	156	28	1	27		1	1024	17	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1943	0	0	0	0	0	0	0	0	0	1	777	1010	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	7	225	1076	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	69													0	0	0	0															1											0					
5841	小毒尸			2	0	69	1	1	0	70	0	950	28	4	1	1		180	15515	0	0	13964	0	0	100	6	22	9000	0	0	0	0	44	76	76	76	76	76		71	6	6	6	6	0	5841	1	319	159	319	159	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	2617	0	0	0	0	0	0	0	0	0	1	373	485	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	4	225	516	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	69				20									0	0	0	0															1											0					
5842	飞雪				0	29	1	1	0	70	0	950	28	6	1	1		180	209463	0	0	188516	0	0	100	6	22	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	5842	1	391	196	391	196	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1989	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	野外场景日常boss	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	5	225	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29													0	0	0	0															1											0					
5843	濯垢奇蛛			2	3	28	1	2	84	98	0	950	160	6	1	1		0	8807031	0	0	0	0	0	100	6	0	9000	0	0	0	0	0	263	263	263	263	263		240	12	12	12	12	0	5843	1	7735	3868	7735	3868	7211	20			1	1024	10	10	7209	20	960		2		10	8	7210	20	480		2	1024	16	8	7235	20	160		17	1920	16	8	4800	0	20	世界小boss\miji_all.tab	1	世界小boss\read_all.tab	1					1863	1939	0	0	0	0	0	0	0	0					野外场景日常boss	0	0	2	1		0		0		0		0					scripts\Map\寇岛\npc\濯垢奇蛛.lua					0	0	0	0	0	0	0	0	0	0	500	10000	1920	0	0	0	0	0	0	1		510	0	1.00	0	960	12	1030	40055	-1			0	1281	7	0	-1	0											0		0	7225	7297	0	0	20	1	0	0	400		240		32		32		2	7	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28					0	0	0	0	0				0	0	0	0	1														1					1					204	1		0			
