ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
2856	一刀流暗忍1-低级10				0	0				1		950	27	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2856		3	2	3	2			32								32								32								32																	1957										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2857	一刀流暗忍2-中级				0	0				1		950	37	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2857		3	2	3	2			32								32								32								32																	1958										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2858	一刀流暗忍3-高级				0	0				1		950	33	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2858		3	2	3	2			32								32								32								32																	1959										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2859	一刀流炎忍3-高级				0	0				1		950	33	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2859		3	2	3	2			32								32								32								32																	1960										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2860	一刀流武士1-低级10				0	0				1		950	32	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2860		3	2	3	2			32								32								32								32																	1961										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2861	一刀流武士2-低级				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2861		3	2	3	2			32								32								32								32																											1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2862	一刀流武士3-中级30				0	0				1		950	32	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2862		3	2	3	2			32								32								32								32																	1964										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2863	一刀流武士4-中级				0	0				1		950	28	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2863		3	2	3	2			32								32								32								32																	1965										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2864	一刀流浪人1-低级10				0	28			275	30		900	35	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2864	13	60	30	60	30	28	1	19							7	160																						28800											1966										1	40	52	629145	一刀流模板				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2865	一刀流浪人2-低级				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2865		3	2	3	2			32								32								32								32																											1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2866	一刀流浪人3-中级				0	0				1		950	28	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2866		3	2	3	2			32								32								32								32																	1967										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2867	一刀流浪人5-高级				0	0				1		950	32	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2867		3	2	3	2			32								32								32								32																	1968										1	1	1	629145	一刀流模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
3376	一刀流浪人4-中级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3376	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	一刀流模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
3377	一刀流浪人6-高级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3377	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	一刀流模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
3378	一刀流浪人7-高级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3378	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	一刀流模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
3379	一刀流炎忍2-中级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3379	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	一刀流模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
3380	一刀流炎忍1-低级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3380	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	一刀流模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
