ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
9690	毒将			2	0	28	1	4	187	71	0	950	28	5	1	1		0	13300	0	0	106880	0	0	100	6	32	9000	0	0	0	0	49	29	29	29	29	29		169	71	71	71	71	0	9690	1	3567	660	2134	1067	2072	2			1	1024	39	10	2071	2	80		14	1024	16	8	2073	2	96		1	1024	16	8			144		1	1024	16	8	99999999	0	20		0		0		0		0	6716	0	0	0	0	0	0	0	0	0		2064	2851	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	9500	-1	0	0	0	0	0	0	1	11	254	1	1	0	960	11	184	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
9691	饲养员			2	0	28	1	1	0	71	0	950	1	5	1	1		0	17800	0	0	142560	0	0	100	6	32	9000	0	0	0	0	48	29	29	29	29	29		169	71	71	71	71	0	9691	1	4013	660	1423	711	2088	2			1	1024	89	10	681	15	240		7	500	25	8	2078	2	80		1	1024	16	8	2079	2	150		1	1024	16	8	99999999	0	20		0		0		0		0	6724	0	0	0	0	0	0	0	0	0		1032	1425	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	11	0	1	1	0	960	10	184	1444	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0														1											0					
9692	战狼			2	0	28	1	2	0	71	0	950	1	5	1	1		0	11800	0	0	95040	0	0	100	6	32	9000	0	0	0	0	48	29	29	29	29	29		169	71	71	71	71	0	9692	1	3300	660	1423	711	2089	2			1	1024	17	10	2077	2	80		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6726	0	0	0	0	0	0	0	0	0		0	0	0	英雄荻花宫后山	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	11	0	1	1	0	960	10	184	1444	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0														1											0					
9693	红衣教守卫			2	0	28	1	1	187	71	0	950	28	5	1	1		0	16000	0	0	128240	0	0	100	6	32	9000	0	0	0	0	49	29	29	29	29	29		239	71	71	71	71	0	9693	1	4459	660	1734	867	28	1	39		1	1024	29	10	2082	2	64		1	1024	16	8	2083	2	80		1	1024	16	8	2084	2	96		1	1024	16	8	99999999	0	20		0		0		0		0	6717	0	0	0	0	0	0	0	0	0		1032	1425	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	11	0	1	1	0	960	10	184	1444	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0														1											0					
9694	水烟	巫医		2	0	26	1	1	0	73	0	950	1	6	1	1		0	586100	0	0	5210000	0	0	100	6	32	9000	0	0	0	0	49	0	0	0	0	0		238	109	109	109	109	0	9694	1	6957	580	3125	1563	2287	2			1	1024	25	10	2075	2	160		14	1024	16	8	2076	2	240		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	10人荻花宫后山英雄\gear_1.tab	1	10人荻花宫后山英雄\T1.5_1.tab	2		0		0	6723	0	0	0	0	0	0	0	0	0	1392	14666	19055	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0					scripts\Map\英雄荻花宫后山\npc\水烟.lua					0	0	0	0	0	0	0	0	0	0	3400		-1	0	0	0	0	0	0	1		254	1	1	0	960	12	141	2000	-1			0	1551	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	1														1					1						1					
9695	仆从			2	0	26	1	1	0	70	0	950	28	5	1	1		0	1000	0	0	8846	0	0	100	6	32	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	9695	1	90	45	90	45	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6721	0	0	0	0	0	0	0	0	0		190	1010	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	1	11	0	1	1	0	960	7	140	360	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0														1											0					
9696	罗索斯	厨师		2	0	26	1	1	0	73	0	950	1	6	1	1		0	605800	0	0	5385600	0	0	100	6	32	9000	0	0	0	0	49	0	0	0	0	0		238	109	109	109	109	0	9696	1	7054	580	3125	1563	2090	2			1	1024	16	10	2080	2	320		2	1024	16	8	2081	2	272		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	10人荻花宫后山英雄\gear_2.tab	1	10人荻花宫后山英雄\T1.5_2.tab	2		0		0	6718	0	0	0	0	0	0	0	0	0	1392	14666	19055	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0					scripts\Map\英雄荻花宫后山\npc\厨子.lua					0	0	0	0	0	0	0	0	0	0	3400		-1	0	0	0	0	0	0	1		254	1	1	0	960	12	141	2000	-1			0	1552	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	1														1					1						1					
9697	奴隶			2	0	26	1	1	0	70	0	950	28	5	1	1		0	21600	0	0	177477	0	0	100	6	32	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	9697	1	1588	794	1588	794	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6720	0	0	0	0	0	0	0	0	0		774	1010	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	1	1	0	1	1	0	960	7	140	1076	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0														1											0					
9698	提坦德亚罗			2	0	26	1	1	0	73	0	950	28	6	1	1		0	669800	0	0	5954000	0	0	100	6	32	9000	0	0	0	0	49	0	0	0	0	0		238	109	109	109	109	0	9698	1	7446	290	3125	1563	2091	2			1	1024	17	10	2086	2	192		1	1024	16	8	2085	2	240		2	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	10人荻花宫后山英雄\gear_3.tab	1	10人荻花宫后山英雄\T1.5_3.tab	2		0		0	6725	0	0	0	0	0	0	0	0	0	1392	14666	19055	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0					scripts\Map\英雄荻花宫后山\npc\亚罗.lua					0	0	0	0	0	0	0	0	0	0	3400		-1	0	0	0	0	0	0	1		254	1	1	0	960	12	141	2000	-1			0	1553	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	1														1					1						1					
9699	牡丹			2	0	26	1	1	0	74	0	950	28	6	1	1		0	1830200	0	0	17226000	0	0	100	6	32	9000	0	0	0	0	49	0	0	0	0	0		238	109	109	109	109	0	9699	1	6054	560	3018	1509	2281	2			1	1024	17	10	2288	2	272		1	1024	16	8	2293	2	336		14	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20								0	6719	0	0	0	0	0	0	0	0	0	1392	15499	20111	838860	英雄荻花宫后山	0	0	1	1	1	0		0		0		0					scripts\Map\英雄荻花宫后山\npc\牡丹.lua					0	0	0	0	0	0	0	0	0	0	3400		-1	0	0	0	0	0	0	1		254	1	1	0	960	12	184	2000	-1			0	-1	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
