ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
12873	天一教传教士			2	0	28	1	1	0	80	0	950		5	1	1		0	18300	0	0	120000	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	12873	1	1717	105	1717	858	28	1	28	0	1	1024	18	10	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	99999999	0	20		0		0		0		0	7409	0	0	0	0	0	0	0	0	0		1336	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\毒神殿\npc\小怪不杀成就.lua					0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	0	0	0	1	0	960	7	190	800	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
12874	天一教验尸官			2	0	28	1	1	0	80	0	950	1	5	1	1		0	18300	0	0	127000	0	0	100	6	30	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	12874	1	1717	105	1717	858	28	1		0	1	1024	18	10	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	99999999	0	20		0		0		0		0	7457	0	0	0	0	0	0	0	0	0		1336	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\毒神殿\npc\小怪不杀成就.lua					0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	0		0	1	0	960	7	190	1145	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0		0		0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0						0			0	0	0	0	0	0													1											0					
12875	天一教狂尸			2	0	28	1	1	0	80	0	950	1	5	1	1		0	18300	0	0	127000	0	0	100	6	30	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	12875	1	1717	210	1717	858	28	1		0	1	1024	25	10	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	99999999	0	20		0		0		0		0	7412	0	0	0	0	0	0	0	0	0		1336	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\毒神殿\npc\小怪不杀成就.lua					0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	0		0	1	0	960	7	190	1145	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0		0		0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0						0			0	0	0	0	0	0													1											0					
12876	天一教杂役			2	0	28	1	1	0	80	0	950	1	5	1	1		0	18300	0	0	127000	0	0	100	6	30	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	12876	1	1717	105	1717	858	28	1		0	1	1024	11	10	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	99999999	0	20		0		0		0		0	7432	0	0	0	0	0	0	0	0	0		1336	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\毒神殿\npc\小怪不杀成就.lua					0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	0		0	1	0	960	7	190	800	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0		0		0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0						0			0	0	0	0	0	0													1											0					
12877	天一教炼尸者			2	0	28	1	1	0	80	0	950		5	1	1		0	18300	0	0	127000	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	12877	1	1717	105	1717	858	28	1	25	0	1	1024	15	10	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	99999999	0	20		0		0		0		0	7447	0	0	0	0	0	0	0	0	0		1336	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\毒神殿\npc\小怪不杀成就.lua					0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	0		0	1	0	960	7	190	800	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0		0		0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0				1024	1024	0			0	0	0	0	0	0													1											0					
12878	天一教尸兵			2	0	28	1	1	0	80	0	950	1	5	1	1		0	18300	0	0	127000	0	0	100	6	30	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	12878	1	1717	105	1717	858	28	1		0	1	1024	14	10	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	99999999	0	20		0		0		0		0	7446	0	0	0	0	0	0	0	0	0		1336	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\毒神殿\npc\小怪不杀成就.lua					0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	0		0	1	0	960	7	190	1145	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0		0		0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0						0			0	0	0	0	0	0													1											0					
12879	尸熊			2	0	28	1	1	0	80	0	950	1	5	1	1		0	7400	0	0	51308	0	0	100	6	30	9000	0	0	0	0	51	31	31	31	31	31	1024	181	76	76	76	76	0	12879	1	627	314	627	314	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	99999999	0	20		0		0		0		0	7455	0	0	0	0	0	0	0	0	0		1079	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	11	254	0	1	0	960	7	190	1145	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0		0		0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1											1					
12880	天一教剂师			2	0	28	1	1	0	80	0	950	1	5	1	1		0	18300	0	0	120000	0	0	100	6	30	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	12880	1	1717	105	1717	858	28	1	26	0	1	1024	16	10	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	0	0		0	1	1024	16	8	99999999	0	20		0		0		0		0	7410	0	0	0	0	0	0	0	0	0		1336	1736	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\毒神殿\npc\小怪不杀成就.lua					0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	11		0	1	0	960	7	190	800	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0		0		0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0						0			0	0	0	0	0	0													1											0					
12881	鲍穆侠			2	0	26	1	1	0	81	0	950	1	6	1	1		0	154800	0	0	1800000	0	0	100	6	30	9000	0	0	0	0	54	0	0	0	0	0	1024	250	185	185	185	185	0	12881	1	3480	200	2744	1372	2530	2		0	1	1024	18	10	2302	2	240	0	1	512	16	8	2303	2	192	0	1	1024	16	8	2304	2	320	48	14	1024	16	8	99999999	0	20		0		0		0		0	7465	0	0	0	0	0	0	0	0	0	1392	4812	6250	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\英雄毒神殿\npc\二号.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	0	254	0	1	0	960	5	197	900	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	2305	2306	2307	0	2	2	2	0	320	80	320	112	320	144	32	0	14	14	14	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1											1					
12884	乌灵风			2	0	26	1	1	0	81	0	950	1	6	1	1		0	87600	0	0	800000	0	0	100	6	30	9000	0	0	0	0	54	0	0	0	0	0	1024	250	185	185	185	185	0	12884	1	3480	200	2744	1372	28	1		0	1	1024	16	10				0	1	1024	16	8				0	1	1024	16	8	2332	2	960	0	1	1024	16	8	99999999	0	20		0		0		0		0	21552	0	0	0	0	0	0	0	0	0	1392	4812	6250	838860	英雄毒神殿	0	0	1	1	1	0		0		0		0					scripts\Map\英雄毒神殿\npc\三号.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	0	254	0	1	0	960	5	197	900	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	2333	2334	0	0	2	2	0	0	320	0	240	0		0		0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1											1					
