ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
13920	Ò»ºÅ×Ü¿Ø			2	0	26	1	9	0	70	0	950	28	6	0	0		180	38800	0	0	158761	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47	1024	105	70	70	70	70	0	13920	1	1959	980	1959	980	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	22843	0	0	0	0	0	0	0	0	0		0	0	0	Ó¢ÐÛ¼ÅÃðÌü	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	0	0	0	1	1	0	960	5	120	3875	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13921	¶þºÅ×Ü¿Ø					26		9		70				6	0	0			38800			158761											47	47	47	47	47	47		105	70	70	70	70		13921		1959	980	1959	980	28	1	43		1	1024	33	10																																				22841											0	0	0	Ó¢ÐÛ¼ÅÃðÌü					1																											500									0			1				5	120	3875																																																																																						1											0					
13922	ÈýºÅ×Ü¿Ø					26		9		70				6	0	0			38800			158761											47	47	47	47	47	47		105	70	70	70	70		13922		1959	980	1959	980	28	1	43		1	1024	33	10																																				22842											0	0	0	Ó¢ÐÛ¼ÅÃðÌü					1																											500									0			1				5	120	3875																																																																																						1											0					
13923	²Ø¡¤½£Ð°ð¯					37				81				6				9999999	146400			1600000					31						54	0	0	0	0	0		250	185	185	185	185		13923		3480	200	2744	1372	28	1	24		1	1024		10	2365	2	640	80	2			16	2366	2	240	16			48		2367	2	128	16	2				172800			Ó¢ÐÛ¼ÅÃðÌü\gear_1.tab	1	80¼¶ÎåÈËÓ¢ÐÛ±¾\reputation_wudu_boss.tab	1	Ó¢ÐÛ¼ÅÃðÌü\gear_1_2.tab	1	¸±±¾µôÂä\¸±±¾Í¨ÓÃ\Pattern_boss_all.tab	1	22840										1392	10000	10000	1048576	Ó¢ÐÛ¼ÅÃðÌü					1												scripts\Map\Ó¢ÐÛ¼ÅÃðÌü\npc\²Ø½£Ð°ð¯.lua					85	1000									500	10000	99999									254	1				5	279	4150	1				1978					0													2785	2363	2398	3020	2	2	2	2	400	16	128		192	32	24				9								4						37					0	0	0	0	0				6				1			0			1	1000	6						1					1						1					
13924	½£ÐÄ					37				81				6				99999999	208800			2400000					31						54	0	0	0	0	0		250	185	185	185	185		13924		3480	200	2744	1372	28	1	24		1	1024	27	16	2375	2	160		2			16	2376	2	96					16	2373	2	240					16				Ó¢ÐÛ¼ÅÃðÌü\gear_2.tab	1	80¼¶ÎåÈËÓ¢ÐÛ±¾\reputation_wudu_boss.tab	1	¸±±¾µôÂä\¸±±¾Í¨ÓÃ\Pattern_boss_all.tab	1			22846										1392	10000	10000	1048576	Ó¢ÐÛ¼ÅÃðÌü					1												scripts\Map\Ó¢ÐÛ¼ÅÃðÌü\npc\½£ÐÄ.lua					85	1000									500	10000										254	1				5	279	4150	2									0													2370	2371	2374	3029	1	1	1	1	192		272		360	320	800	160			2	2								160	16	16	32	16	37					0	0	0	0	0				6				1			0			1	1000	6						1					1						1					
13925	Ä¦ÌáÒ®ÂÞ					37				81				6				99999999	170400			1900000					31						54	0	0	0	0	0		250	185	185	185	185		13925		3480	200	2744	1372	28	1	24		1	1024	32	10	2377	2							2378	2	160						2379	2	240																	22879										1392	4812	6250	838860	Ó¢ÐÛ¼ÅÃðÌü					1												scripts\Map\Ó¢ÐÛ¼ÅÃðÌü\npc\Ä¦ÌáÒ®ÂÞ.lua															500	10000										254	1				5	197	900	3																						2380	2381	2875	3031	2	2	2	1	192		320		960		288	48			2	9							172						37					0	0	0	0	0																						1											1					
13926	ÖòÌ¨					26				78				6	0	0		0	32900			211944											52	32	32	32	32	32		185	78	78	78	78		13926		1198	599	1198	599	2773	1	14		1	1024	4	10	2876	1																																		22844											0	0	838860	Ó¢ÐÛ¼ÅÃðÌü					1																											500									0	9		1				5	176	4075																																																							26																															1											0					
13927	ÎÚÑ»					28				30					0	0			300			1436											22	22	22	22	22	22		45	30	30	30	30		13927		34	17	34	17	28	1	48		1	1024	38	10																																				22885											40	52	629145	Ó¢ÐÛ¼ÅÃðÌü					1																																				0			1					30	230																																																																																						1											0					
13928	ÁèÌ«Ðé					28				82				5				0	3500			53051											51	31	31	31	31	31		183	77	77	77	77		13928		782	391	782	391	28	1	43		1	1024	33	10																																				22880											0	0	0	Ó¢ÐÛ¼ÅÃðÌü					1																												9500									0	510	1				7	204	0																																																												0	0	0	0	0																						1											1					
13929	ÍÌÈÕÔÂ					28				82				5				0	3500			53051					30						51	31	31	31	31	31		183	77	77	77	77		13929		582	291	582	291	28	1	43		1	1024	33	10																									99999999											22881											1142	1736	0	Ó¢ÐÛ¼ÅÃðÌü					1																												9500	-1								0	510	1				7	204	0																																																												0	0	0	0	0																						1											1					
