ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
7433	ÂÌÄ¢¹½			2	0	26	1	6	0	70	0	950	28		1	0		0	1200	0	0	5202	0	0	100	6	0	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	7433	1	65	32	65	32	28	1	27		1	1024	17	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6551	0	0	0	0	0	0	0	0	0	2	0	0	0	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	0	2868	0	1	0	960	3	70	310	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7434	»ÆÄ¢¹½			2	0	26	1	6	0	70	0	950	28		1	0		0	1200	0	0	5202	0	0	100	6	0	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	7434	1	65	32	65	32	28	1	27		1	1024	17	10	665	15	80		1	512	35	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6549	0	0	0	0	0	0	0	0	0	2	0	0	0	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	0	2868	0	1	0	960	3	70	310	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7435	°×Ä¢¹½			2	0	26	1	6	0	70	0	950	1		1	0		0	1200	0	0	5202	0	0	100	6	0	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	7435	1	65	32	65	32	28	1	27		1	1024	17	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6540	0	0	0	0	0	0	0	0	0	2	0	0	0	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	0	2868	0	1	0	960	3	70	310	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7436	Ö©ÖëÄÒ			2	0	29	1	8	0	70	0	950	28		1	0		0	1200	0	0	5202	0	0	100	6	0	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	7436	1	65	32	65	32	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6565	0	0	0	0	0	0	0	0	0		0	0	0	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	0	510	0	1	0	960	3	70	310	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7437	ºìÖ©Öë			2	0	28	1	8	84	70	1	950	28	5	1			0	3300	0	0	10000	0	0	100	6	30	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	7437	1	605	302	605	302	28	1	20		1	1024	10	10	2044	1	240		1	512	10	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6548	0	0	0	0	0	0	0	0	0		0	0	0	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	3840	0	0	0	0	0	0			0	0	1	0	960	7	70	1076	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
7438	ÂÌÖ©Öë			2	0	28	1	8	84	70	1	950	28	5	1	1		0	3300	0	0	10000	0	0	100	6	30	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	7438	1	605	302	605	302	28	1	20		1	1024	10	10	2045	1	240		1	512	10	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6552	0	0	0	0	0	0	0	0	0		0	0	0	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	7	70	1076	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
7439	Ò¶»ðÏ«	°×Ö½ð°		2	0	28	1	1	0	71	0	950	1	6	1	1		576000	112000	0	0	111870	0	0	100	6	30	9000	0	0	0	0	49	30	30	30	30	30		207	83	83	83	83	0	7439	1	2871	33	1055	527	28	1	35		1	1024	25	10	2030	1	320		2	1024	16	8	1971	1	160		1	1024	16	8	1954	1	960		2	1024	16	8	4800	0	20	Ó¢ÐÛ½£Ú£\gear_3.tab	1	Ó¢ÐÛ½£Ú£\gear_boss.tab	1	¸±±¾µôÂä\¸±±¾Í¨ÓÃ\Pattern_boss_all.tab	1		0	6560	0	0	0	0	0	0	0	0	0	1392	2962	3850	838860	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0					scripts\Map\Ó¢ÐÛ½£Ú£\npc\Ò¶»ðÏ¦.lua					18	150	0	0	0	0	0	0	0	0	1800		3840	0	0	0	0	0	0	1	0	254	1	1	0	960	5	102	2000	3			0	1431	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			6	0	0	0	1														1					1						1					
7440	1ºÅ×Ü¿Ø			2	0	26	1	1	0	73	0	950	28					1	4146	0	0	3731	0	0	100	6	0	9000	0	0	0	0	46	15	15	15	15	15		35	3	3	3	3	0	7440	1	137	69	137	69	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6538	0	0	0	0	0	0	0	0	0	2	264	343	838860	Ó¢ÐÛ½£Ú£	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0		0	3071	0	1	0	960	3	235	316	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7441	»ðÒ©¹Þ			2	0	31	1	1	0	70	0	950	1		1	0		0	70	0	0	1	0	0	100	6	0	9500	0	0	0	0	0	1	1	1	1	1		0	1	1	1	1	0	7441	1	65	32	65	32	28	1	23		1	1024	13	10	656	15	160		1	512	11	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6550	0	0	0	0	0	0	0	0	0	2	0	0	838860	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0	1022	0	1	0	960	3	70	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
7442	Óù»ðÃÅÍ½			2	0	28	1	1	199	70	0	950	28	5	1	1		0	6600	0	0	25290	0	0	100	6	32	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	7442	1	1050	70	605	302	28	1	34		1	1024	24	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	70¼¶¸±±¾\craft_xiaoguai.tab	1		0		0		0	5927	5929	0	0	0	0	0	0	0	0		659	1010	838860	Ó¢ÐÛ½£Ú£	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	7	70	1076	4			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
