ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
5875	œ¶¬ﬁÀ´			2	0	28	1	1	156	70	0	950	28	6	1	1		86400	41000	0	0	97810	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		195	73	73	73	73	0	5875	1	560	280	1002	501	28	1	28		1	1024	18	10	1244	10	160		1	512	14	8	1243	8	224		1	1024	16	8			0		1	1024	16	8	4800	0	20	ŒÂ√≈≈…”¢–€∏±±æ\recipe_boss.tab	1	”¢–€ø’ŒÌ∑Â\gear_1.tab	1	”¢–€ø’ŒÌ∑Â\read_1.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\reputation_cangjian.tab	1	2260	0	0	0	0	0	0	0	0	0	1392	2800	3637	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0					scripts\Map\”¢–€ø’ŒÌ∑Â\npc\œ¶¬ﬁÀ´.lua					14	200	0	0	0	0	0	0	0	0	1000	9000	3840	0	0	0	0	0	0	1		750	0	1	0	960	5	94	2000	1			0	-1	7	0	-1	0		∏±±æµÙ¬‰\∏±±æÕ®”√\Pattern_boss_all.tab	1		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28					0	0	0	0	0				6	0	0	0															1					1						1					
5881	ÃŸ‘≠”£ƒŒ			2	0	28	1	1	156	70	0	950	19	6	1	1		86400	23900	0	0	97810	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		195	73	73	73	73	0	5881	1	1221	610	1221	610	1297	1				512	9				32		1	512	9	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	ŒÂ√≈≈…”¢–€∏±±æ\recipe_boss.tab	1	”¢–€ø’ŒÌ∑Â\gear_2.tab	1	”¢–€ø’ŒÌ∑Â\miji_2.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\reputation_cangjian.tab	1	2290				0	0	0	0	0	0	1392	2800	3637	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0					scripts\Map\”¢–€ø’ŒÌ∑Â\npc\ÃŸ‘≠”£ƒŒ.lua					14	200	0	0	0	0	0	0	0	0	1000	9000	3840	0	0	0	0	0	0	1		750	0	1	0	960	5	94	2000	2			0	-1	7	0	-1	0		∏±±æµÙ¬‰\∏±±æÕ®”√\Pattern_boss_all.tab	1		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28					0	0	0	0	0				6	0	0	0															1					1						1					
5882	√∑Ω£–€			2	0	28	1	1	156	70	0	950	41	6	1	1		86400	40600	0	0	97810	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		195	73	73	73	73	0	5882	1	630	210	1002	501	28	1	20		1	1024	10	10	1252	10	80		1	1024	16	8	1253	20	160		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	ŒÂ√≈≈…”¢–€∏±±æ\recipe_boss.tab	1	”¢–€ø’ŒÌ∑Â\gear_3.tab	1	”¢–€ø’ŒÌ∑Â\gear_3_2.tab	1	”¢–€ø’ŒÌ∑Â\read_3.tab	1	2291				0	0	0	0	0	0	1392	2800	3637	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0					scripts\Map\”¢–€ø’ŒÌ∑Â\npc\√∑Ω£–€.lua					14	200	0	0	0	0	0	0	0	0	1000		3840	0	0	0	0	0	0	1		718	1	1	0	960	5	94	2000	3			0	536	7	0	-1	0		”¢–€ø’ŒÌ∑Â\miji_3.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\reputation_cangjian.tab	1	∏±±æµÙ¬‰\∏±±æÕ®”√\Pattern_boss_all.tab	1		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28				0	0	0	0	0	0				6	0	0	0															1					1						1					
5883	πÌ”∞«ßª™			2	0	28	1	1	0	70	0	950	28	6	1	1		86400	23900	0	0	97810	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		187	66	66	66	66	0	5883	1	1002	501	1002	501	28	1	27		1	1024	17	10	1245	10	160		1	512	15	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	2324	0	0	0	0	0	0	0	0	0	1	2375	3637	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0					scripts\Map\”¢–€ø’ŒÌ∑Â\npc\πÌ”∞«ßª™.lua					0	0	0	0	0	0	0	0	0	0	1000	9000	3840	0	0	0	0	0	0	1		206	0	1	0	960	5	70	2000	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28					0	0	0	0	0				0	0	0	0															1											1					
5884	…Ò∑Êµ¿ ÿ’ÛŒ‰ ø			2	0	28	1	1	156	70	0	950	28	5	1	1		0	4600	0	0	15290	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	5884	1	605	302	605	302	28	1	32		1	1024	22	10	1255	10	80		1	512	13	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70º∂∏±±æ\craft_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\recipe_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\reputation_cangjian.tab	1		0	2326	0	0	0	0	0	0	0	0	0	1	659	1010	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0										14	1	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	11		0	1	0	960	7	70	1076	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													6	0	0	0															1											0					
5885	Ω∏’µ¿ ÿ’ÛŒ‰ ø			2	0	28	1	1	0	70	0	950	28	5	1	1		0	4300	0	0	15290	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	5885	1	605	302	605	302	28	1	28		1	1024	18	10	1256	6	128		1	512	14	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70º∂∏±±æ\craft_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\recipe_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\reputation_cangjian.tab	1		0	2329	0	0	0	0	0	0	0	0	0	1	659	1010	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0										14	1	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	11		0	1	0	960	7	70	1076	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													6	0	0	0															1											0					
5886	ª√”∞Œ‰’ﬂ			2	0	28	1	1	156	70	0	950	28	5	1	1		0	6100	0	0	25290	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	5886	1	605	302	605	302	28	1	26		1	1024	16	10	1258	20			1	512	14	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70º∂∏±±æ\craft_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\recipe_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\reputation_cangjian.tab	1		0	2403	0	0	0	0	0	0	0	0	0	1	659	1010	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1			0	1	0	960	7	70	1076	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													0	0	0	0															1											0					
5887	ŒÌ“˛∑Á»Ã			2	0	28	1	1	156	70	0	950	28		1	1		0	1200	0	0	5202	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	5887	1	71	35	71	35	28	1	35		1	1024	25	10	1246	5	240			102400	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20								0	2454	0	0	0	0	0	0	0	0	0	1	190	291	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	11		0	1	0	960	3	70	310	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28				0									0	0	0	0															1											0					
5888	ŒÌ“˛¿À»À			2	0	28	1	1	156	70	0	950	19	5	1	1		0	4200	0	0	15290	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	5888	1	605	302	605	302	28	1	21		1	1024	11	10	1259	10	80		1	512	8	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70º∂∏±±æ\craft_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\recipe_xiaoguai.tab	1	ŒÂ√≈≈…”¢–€∏±±æ\reputation_cangjian.tab	1		0	2483	0	0	0	0	0	0	0	0	0	1	659	1010	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	11		0	1	0	960	7	70	1076	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													0	0	0	0															1											0					
5889	 ÃªÍ’ﬂ			2	0	28	1	1	0	70	0	950	28	5	1	1		0	6100	0	0	25290	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	5889	1	605	302	605	302	28	1	27		1	1024	17	10			320		1	512	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20				0		0		0	2430	0	0	0	0	0	0	0	0	0	1	659	1010	838860	”¢–€ø’ŒÌ∑Â	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	11		0	1	0	960	7	70	1076	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													0	0	0	0															1											0					
