ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
6170	平民			2	0	31	1	1	1	70	0	950	27	4	1	1		999999	2800	0	0	11560	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	6170	1	146	73	146	73	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	5222	0	0	0	0	0	0	0	0	0	1	226	346	838860	英雄日轮山城	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0		-1	0	0	0	0	0	0	1	1	0	0	1	0	960	6	100	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	31			0	20									0	0	0	0															1											0					
6171	老百姓				0	31			1	70			27	4				999999	2800			11560				6	22						47	47	47	47	47	47		105	70	70	70	70		6171	1	146	73	146	73	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20									5224										1	226	346	838860	英雄日轮山城					1	0		0		0		0										0	0	0	0	0	0	0	0			0		-1								1	0	0		0	960	6	100	0					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	31				20									0	0	0	0															1											0					
6172	源氏阴阳师			2	0	28	1	1	302	71		950	32	5	1	1		999999	5100	0	0	42631	0	0	100	6	28	9000	0	0	0	0	49	29	29	29	29	29		149	71	71	71	71	414	6172	1	497	331	497	331	28	1	28		1	1024	18	10	915	20	120		7	500	16	8	918	10	240		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1	四公共英雄副本\recipe_xiaoguai.tab	1	四公共英雄副本\skillbook_xiaoguai.tab	1	四公共英雄副本\skillmiji_xiaoguai.tab	1	2959	0	0	0	0	0	0	0	0	0	1	694	1069	838860	英雄日轮山城	0	0	1	5	1	0		0		0		0										43	6	0	0	0	0	0	0	0	0	0	9975	-1	0	0	0	0	0	0	1	11		0				7	110	0	1																																																						28													6																		1											0					
6173	源氏部将			2	0	28	1	1	302	71	0	950	39	5	1	1		999999	9500	0	0	42865	0	0	100	6	28	9000	0	0	0	0	48	29	29	29	29	29		169	71	71	71	71	409	6173	1	1051	526	1051	526	28	1	32		1	1024	22	10	926	11	320		2	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1	四公共英雄副本\recipe_xiaoguai.tab	1	四公共英雄副本\skillbook_xiaoguai.tab	1	四公共英雄副本\skillmiji_xiaoguai.tab	1	3019	0	0	0	0	0	0	0	0	0	1	1041	1604	838860	英雄日轮山城	0	0	1	1	1	0		0		0		0										43	6	0	0	0	0	0	0	0	0	800	9500	-1	0	0	0	0	0	0	1	11	514	0				9	71	0	2																																																						28													6																		1											0					
6174	阿麻吕			2	0	26	1	1		73	0	950	45	6	1	1		999999	17400	0	0	87046	0	0	100	6	28	9000	0	0	0	0	49	30	30	30	30	30		184	64	64	64	64	0	6174	1	870	435	870	435	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	5591	0	0	0	0	0	0	0	0	0	1	1800	4287	838860	英雄日轮山城	0	0	1	1	1	0		100		0		0										0	0	0	0	0	0	0	0	0	0	1681		-1	0	0	0	0	0	0	1	5		0				5	63	0																																																							26													0	0	0	0															1											0					
6175	源明雅			2	0	26	1	1		73	0	950	60	6	1	1		999999	15400	0	0	50943	0	0	100	6	28	9000	0	0	0	0	35	34	34	34	34	34		180	61	61	61	61	0	6175	1	580	290	580	290	28	1	39		1	1024	29	10			240		1	1024	16	8			520				16	8			32		1	1024	16	8	99999999	0	20		0		0		0		0	5594	0	0	0	0	0	0	0	0	0	1	1175	4287	838860	英雄日轮山城	0	0	1	1	1	0	<G>中原的武者，再给我更多的乐趣吧！	500	<G>你不该只有这点本事吧。	500		0					scripts\Map\英雄日轮山城\npc\源明雅.lua					0	0	0	0	0	0	0	0	0	0	1081	9000	-1	0	0	0	0	0	0	1	11	254	0				5	141	0																																																							26													0	0	0	0															1											1					
6176	源氏弓足轻			2	0	28	1	1	302	70	0	950	39	5	1	1		999999	5000	0	0	26226	0	0	100	6	28	9000	0	0	0	0	45	52	52	52	52	52		82	70	70	70	70	0	6176	1	726	363	726	363	59	1	32		8	102400	13	10	919	11	240		1	1024	16	8	28	1	32		1	1024	16	8			0		8	10240	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1	四公共英雄副本\recipe_xiaoguai.tab	1	四公共英雄副本\skillbook_xiaoguai.tab	1	四公共英雄副本\skillmiji_xiaoguai.tab	1	2956	0	0	0	0	0	0	0	0	0	1	659	1010	838860	英雄日轮山城	0	0	1	4	1	0		0		0		0										43	4	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	11		0				7	70	0	2																																																						28													6																		1											0					
6177	源氏雪部上忍			2	0	28	1	1	302	71	0	950	37	5	1	1		999999	5000	0	0	36840	0	0	100	6	28	9000	0	0	0	0	45	31	31	31	31	31		130	71	71	71	71	0	6177	1	892	512	892	512	28	1	26		1	1024	16	10	929	15	240		1	1024	16	8	927	15	32		8	10240	16	8	0	0	32		1	1024	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1	四公共英雄副本\recipe_xiaoguai.tab	1	四公共英雄副本\skillbook_xiaoguai.tab	1	四公共英雄副本\skillmiji_xiaoguai.tab	1	3054	0	0	0	0	0	0	0	0	0	1	694	1069	838860	英雄日轮山城	0	0	1	3	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	11	86	0				7	110	0																																																							28													0	0	0	0															1											0					
6178	源氏炎部上忍			2	0	28	1	1		71	0	950	37	5	1	1		999999	9700	0	0	55260	0	0	100	6	28	9000	0	0	0	0	45	31	31	31	31	31		130	71	71	71	71	0	6178	1	1486	743	1486	743	28	1	26		1	1024	16	10	928	15	160		8	1024	16	8	927	15	32		8		16	8	0	0	32		1	1024	16	8	99999999	0	20						0		0	3051	0	0	0	0	0	0	0	0	0	0	1041	1604	838860	英雄日轮山城	0	0	1	3	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	800	9500	-1	0	0	0	0	0	0	1	11	596	0				9	110	0	4																																																						28													0	0	0	0															1											0					
6179	源氏近侍			2	0	28	1	1	302	70	0	950	45	5	1	1		999999	6100	0	0	25290	0	0	100	6	28	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	6179	1	605	302	605	302	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1	四公共英雄副本\recipe_xiaoguai.tab	1	四公共英雄副本\skillbook_xiaoguai.tab	1	四公共英雄副本\skillmiji_xiaoguai.tab	1	4343	0	0	0	0	0	0	0	0	0	1	659	1010	838860	英雄日轮山城	0	0	1	1	1	0		0		0		0										43	4	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	11	10	0	1	0	0	7	70	0	2																																																						28													6																		1											0					
