ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
203	尸兵			2	0	28	1	4	290	70	0	950	45	4	1	1		0	900	0	0	2520	0	0	100	6	22	9000	0	0	0	0	42	42	42	42	42	42		93	111	111	111	111	0	203	1	177	106	212	106	28	1			1	1024	25	10	982	9	240		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4578	0	0	0	0	0	0	0	0	0	1	316	485	838860	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	200	8955	384000	0	0	0	0	0	0	1		0	0	1	0	0	4	70	516	0																																																						28													0	0	0	0															1											0					
204	雷霆铁甲龙			2	0	26	1	3	0	70	0	950	152	5	1	1		86400	7000	0	0	0	0	0	100	6	22	9000	0	0	0	0	40	50	50	50	50	50		114	0	0	0	0	0	204	1	494	309	618	309	28	1			1	1024	39	10	855	20	240		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4585	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	3	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	800	9500	384000	0	0	0	0	0	0	1	5	252	0	1	0	0	9	70	1614	0																																																						26													0	0	0	0															1											1					
205	雷霆铁颅			2	0	28	1	3	73	70	0	950	45	5	1	1		86400	3600	0	0	0	0	0	100	6	22	9000	0	0	0	0	40	50	50	50	50	50		114	0	0	0	0	0	205	1	373	196	603	301	28	1	52		1	1024	42	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4586	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	3	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9500	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	7	70	1076	0																																																						28													0	0	0	0															1											0					
206	亡魂尸			2	0	26	1	4	290	71	0	950	45	5	1	1		0	4600	0	0	20324	0	0	100	6	22	9000	0	0	0	0	43	43	43	43	43	43		149	112	112	112	112	0	206	1	504	219	438	219	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1				0		0	4587	0	0	0	0	0	0	0	0	0	1	694	1069	838860	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9452	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	7	71	1083	0																																																						26													0	0	0	0															1											0					
207	武毒尸			2	0	28	1	4	290	70	0	950	45	5	1	1		0	3700	0	0	18209	0	0	100	6	22	9000	0	0	0	0	42	42	42	42	42	42		93	111	111	111	111	0	207	1	424	211	424	211	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1				0		0	4588	0	0	0	0	0	0	0	0	0	1	659	1010	838860	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9452	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	7	70	1076	0																																																						28													0	0	0	0															1											0					
260	1号区域控制			2	0	26	1	1	0	1	0	950	28	3	0	0		180	5	0	0	4	0	0	100	6	28	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	260	1	3	2	3	2	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3820	0	0	0	0	0	0	0	0	0	1	1	1	629145	英雄天工坊	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0	0	1				3	2	78																																																							26				0									0	0	0	0															1											0					
261	2号区域总控			2	0	26	1	1	0	1	0	950	28	3	0	0		180	5	0	0	4	0	0	100	6	28	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	261	1	3	2	3	2	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3820	0	0	0	0	0	0	0	0	0	1	1	1	629145	英雄天工坊	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0	0	1				3	2	78																																																							26				0									0	0	0	0															1											0					
262	3号区域总控			2	0	26	1	1	0	1	0	950	28	3	0	0		180	5	0	0	4	0	0	100	6	28	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	262	1	3	2	3	2	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3820	0	0	0	0	0	0	0	0	0	1	1	1	629145	英雄天工坊	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0	0	1				3	2	78																																																							26				0									0	0	0	0															1											0					
293	天一教祭祀			2	0	28	1	1	290	70	0	950	45	4	1	1		86400	1900	0	0	1592	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	293	1	219	179	350	175	28	1	39		1	1024	29	10	981	9	240		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20				0		0		0	4627	0	0	0	0	0	0	0	0	0	1	316	485	838860	英雄天工坊	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	200		384000	0	0	0	0	0	0	1	5	0	0	1	0	0	4	70	516	0																																																						28													0	0	0	0															1											0					
294	祭祀魔骨			2	0	28	1	4	0	70	0	950	45	4	1	1		0	2500	0	0	12520	0	0	100	6	22	9000	0	0	0	0	42	42	42	42	42	42		93	111	111	111	111	0	294	1	438	144	212	106	28	1			1	1024	25	10	982	10	320		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4629	0	0	0	0	0	0	0	0	0	1	316	485	838860	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	200	8955	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	4	70	516	0																																																						28													0	0	0	0															1											0					
430	僧一行	工圣		3	0	12				73		1100	27	2				30	24879587			22391628					22	9450					0	79	79	79	79	79		119	10	10	10	10	20	430	21	2218	1109	2218	1109	28	1	28		1	1024	18	10																																				4855										1	7333	9527	838860	英雄天工坊			0	0			<G>浑天仪还有其不足之处，我欲立二木人使其每一刻自然击鼓，每辰则自然撞钟，然一直苦于找不到助手。当年与令瓒一同倒是有所小成，今非昔比，只盼我这些徒弟早日继承我的手艺。	500	<G>凡事要于人有益才有价值。机关之术比起那些古腐的圣贤经书和大道理有用的多。我一直教导门下弟子为人处世要踏踏实实，切不可虚浮。	300	<G>张遂早已不在尘世！	200																				0	9000		4							1		0				2	235	2000																																																							12													0	0	0	0															1											0					
