ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
13862	桃叶仙			2	0	37	1	1	0	81	0	950	28	6	1	1		576000	146400	0	0	1600000	0	0	100	6	32	9000	0	0	0	0	54	0	0	0	0	0	1024	250	185	185	185	185	0	13862	1	3480	200	2744	1372	28	1	24		1	1024	15	10	2279	2	480		1	1024	16	8	2197	2	160		1	1024	16	8	2193	2	416		2	1024	16	8	999999	0	20		0		0		0		0	6982	0	0	0	0	0	0	0	0	0	1392	10000	10000	1048576	英雄无量宫	0	0	1	1	1	0		0		0		0					scripts\Map\英雄无量宫\npc\桃叶仙.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	0	254	1	1.00	0	960	5	279	4150	1			0	-1	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1											1					
13863	一号总控			2	0	26	1	1	0	80	0	950	28	6	0	0		0	1299400	0	0	22976	0	0	100	6	22	9000	0	0	0	0	53	32	32	32	32	32	1024	190	80	80	80	80	0	13863	1	59	29	59	29	28	1	43		1	1024	33	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6981	0	0	0	0	0	0	0	0	0		0	166	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	0	0	1	1	0	960	15	190	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13864	桃干仙			2	0	37	1	1	0	82	0	950	28	6	1	1		180	22800	0	0	186958	0	0	100	6	22	9000	0	0	0	0	48	0	29	29	29	29	1024	171	72	72	72	72	0	13864	1	897	449	897	449	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6983	0	0	0	0	0	0	0	0	0		2500	6250	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	1	0	0	1	1	0	960	5	204	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13865	糖葫芦			2	0	29	1	1	0	82	0	950	1	6	1	1		0	7400	0	0	3446	0	0	100	6	22	9000	0	0	0	0	0	1	1	1	1	1	1024	0					0	13865	1	17	9	17	9	28	1	11		1	1024	1	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6996	0	0	0	0	0	0	0	0	0	1392	12	25	0	英雄无量宫	0	0	1	1	1	220		0		0		0					scripts\Map\英雄无量宫\npc\糖葫芦.lua					0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1		510	1	1	0	960	5	204	975	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1											1					
13866	桃花仙			2	0	37	1	1	0	82	0	950	28	6	1	1		180	22800	0	0	186958	0	0	100	6	22	9000	0	0	0	0	48	0	29	29	29	29	1024	171	72	72	72	72	0	13866	1	897	449	897	449	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6992	0	0	0	0	0	0	0	0	0		2500	6250	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	1	0	0	1	1	0	960	5	204	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13867	桃实仙			2	0	37	1	1	0	82	0	950	28	6	1	1		180	22800	0	0	186958	0	0	100	6	22	9000	0	0	0	0	48	0	29	29	29	29	1024	171	72	72	72	72	0	13867	1	897	449	897	449	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6990	0	0	0	0	0	0	0	0	0		2500	6250	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	1	0	0	1	1	0	960	5	204	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13868	桃根仙			2	0	37	1	1	0	82	0	950	28	6	1	1		180	22800	0	0	186958	0	0	100	6	22	9000	0	0	0	0	48	0	29	29	29	29	1024	171	72	72	72	72	0	13868	1	897	449	897	449	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6993	0	0	0	0	0	0	0	0	0		2500	6250	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	1	0	0	1	1	0	960	5	204	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13869	桃枝仙			2	0	37	1	1	0	82	0	950	28	6	1	1		180	22800	0	0	186958	0	0	100	6	22	9000	0	0	0	0	48	29	29	29	29	29	1024	171	72	72	72	72	0	13869	1	897	449	897	449	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6991	0	0	0	0	0	0	0	0	0		2500	6250	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	1	0	0	1	1	0	960	5	204	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13870	桃丘首仙			2	0	37	1	1	0	82	0	950	28	6	1	1		180	22800	0	0	186958	0	0	100	6	22	9000	0	0	0	0	48	29	29	29	29	29	1024	171	72	72	72	72	0	13870	1	897	449	897	449	28	1	30		1	1024	20	10	639	1	240		7	300	33	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6989	0	0	0	0	0	0	0	0	0		2500	6250	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	1	0	0	1	1	0	960	5	204	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
13871	丝带			2	0	26	1	1	0	74	0	950	1	6	0	0		0	35300	0	0	186958	0	0	100	6	22	9000	0	0	0	0	50	30	30	30	30	30	1024	176	74	74	74	74	0	13871	1	1322	661	1322	661	28	1	43		1	1024	33	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	6997	0	0	0	0	0	0	0	0	0	1392	2500	4525	838860	英雄无量宫	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	0	9	0	0	1	0	960	5	148	3975	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0					
