ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
21880	卓力格图	破城锤		2	0	26	1	1	0	92	0	950	76	6	1	1		0	3064000	0	0	35000000	0	0	100	6	30	9000	0	0	0	0	0	225	225	225	225	225	1024	570	570	570	570	570	0	21880	1	4760	140	5304	2652			31	0	1	1024	21	10	5484	1	32	16		1024	36	12	5459	1	720	360	14	1024	32	10	0	0	208	0	1	1024	16	8	99999999	0	20	副本掉落\Raid战宝军械库10人\gear_3_1.tab	1	副本掉落\Raid战宝军械库10人\T8_3.tab	1	副本掉落\Raid战宝军械库10人\Stone_Level4.tab	1	副本掉落\Raid战宝军械库10人\craft_boss.tab	1	34305	34645	0	0	0	0	0	0	0	0	1392	1000000	1000000	1048576	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\军阵小BOSS死亡通用.lua					107	500	0	0	0	0	0	0	0	0	1200	10000	-1	0	0	0	0	0	0	1	0	254	1	1.00	0	960	15	520	0	3	0		0	-1	7	0	0	0	0	副本掉落\副本通用\Craft_10.tab	1		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0		0	0	0	0	0	0					1	6400	0		0	1					102	1					
21881	澹台枯火	敛骨者		2	0	26	1	1	0	92	0	950	1	6	1	1		0	4788000	0	0	64000000	0	0	100	6	30	9000	0	0	0	0	0	225	225	225	225	225	1024	570	570	570	570	570	0	21881	1	5040	140	5304	2652	28	1		16	1	1024	16	10	5458	1	480	240	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20	副本掉落\Raid战宝军械库10人\gear_4_1.tab	1	副本掉落\Raid战宝军械库10人\T8_4.tab	1	副本掉落\Raid战宝军械库10人\Stone_Level4.tab	1	副本掉落\Raid战宝军械库10人\craft_boss.tab	1	34306	0	0	0	0	0	0	0	0	0	1392	1000000	1000000	1048576	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\军阵小BOSS死亡通用.lua					107	500	0	0	0	0	0	0	0	0	1200	10000	-1	0	0	0	0	0	0	1	0	254	1	1.00	0	960	15	520	0	4	0		0	-1	7	0	0	0	0	副本掉落\副本通用\Craft_10.tab	1		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0		0	0	0	0	0	0					1	6400	0		0	1					102	1					
21882	闻人彦范	神策变节者		2	0	26	1	1	0	92	0	950	1	6	1	1		0	2604800	0	0	32000000	0	0	100	6	28	9000	0	0	0	0	0	225	225	225	225	225	1024	570	570	570	570	570	0	21882	1	4340	140	5304	2652	28	1		16	1	1024	16	10	5465	1	800	400		512	20	8	6253	1	240	120	2	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20	副本掉落\Raid战宝军械库10人\gear_1_1.tab	1	副本掉落\Raid战宝军械库10人\T8_1.tab	1	副本掉落\Raid战宝军械库10人\Stone_Level3.tab	1	副本掉落\Raid战宝军械库10人\craft_boss.tab	1	34307	0	0	0	0	0	0	0	0	0	1392	1000000	1000000	1048576	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\军阵小BOSS死亡通用.lua					107	500	0	0	0	0	0	0	0	0	1200	10000	-1	0	0	0	0	0	0	1	0	254	1	1.00	0	960	15	520	0	1	0		0	-1	7	0	0	0	0	副本掉落\副本通用\Craft_10.tab	1		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0		0	0	0	0	0	0					1	6400	0		0	1					102	1					
21883	岳承志	雁荡枪王		2	0	26	1	1	0	92	0	950	1	6	1	1		0	2681600	0	0	32000000	0	0	100	6	28	9000	0	0	0	0	0	225	225	225	225	225	1024	570	570	570	570	570	0	21883	1	7560	280	5304	2652	28	1	33	0	1	1024	23	10	5465	1	720	360	1	1024	16	8	6246	1	320	160	2	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20	副本掉落\Raid战宝军械库10人\gear_2_1.tab	1	副本掉落\Raid战宝军械库10人\T8_2.tab	1	副本掉落\Raid战宝军械库10人\Stone_Level3.tab	1	副本掉落\Raid战宝军械库10人\craft_boss.tab	1	34309	0	0	0	0	0	0	0	0	0	1392	1000000	1000000	1048576	战宝军械库	0	0	1	1	1	600		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\军阵小BOSS死亡通用.lua					107	500	0	0	0	0	0	0	0	0	1200	10000	-1	0	0	0	0	0	0	1	0	254	1	1.00	0	960	15	520	0	2	0		0	-1	7	0	0	0	0	副本掉落\副本通用\Craft_10.tab	1		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0		0	0	0	0	0	0					1	6400	0		0	1					102	1					
21884	防守小BOSS用总控			2	0	26	1	1	0	90	0	950	1	6	0	0		0	372000	0	0	4186055	0	0	100	6	0	9000	0	0	0	0	60	36	36	36	36	36	1024	214	90	90	90	90	0	21884	1	5304	2652	5304	2652	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0						0	0	0	0	0	0	0	0	0	0	500		3840	0	0	0	0	0	0	0	1	3071	0	1	0	960	15	350	0	-1	0		0	-1	7	0	0	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0							1					
21885	破城锤			2	0	28	1	3	0	91	0	950	1	5	1	1		0	60800	0	0	0	0	0	100	6	0	9000	0	0	0	0	0	0	0	0	0	0	1024	570	570	570	570	570	0	21885	1	0	0	1818	909	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	34697	0	0	0	0	0	0	0	0	0	2	0	0	0	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\攻城锤.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	1	510	0	1	0	960	13	365	0	-1	0		0	-1	7	0	0	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0						102	1					
21886	骨牢			2	0	28	1	3	0	90	0	950	1	5				0	12100	0	0	0	0	0	100	6	22	9000	0	0	0	0	0	0	0	0	0	0	1024	290	290	290	290	290	0	21886	1	0	0	1818	909	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	34698	0	0	0	0	0	0	0	0	0	2	0	0	0	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0						0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	0	1	510	0	1	0	960	13	350	0	-1	0		0	-1	7	0	0	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	6400	0		0							1					
21887	武库守卫			2	0	28	1	1	0	91	0	950	159	5	1	1		0	48000	0	0	800000	0	0	100	6	30	9000	0	0	0	0	0	0	0	0	0	0	1024	290	290	290	290	290	0	21887	1	1036	140	1861	930	28	1	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20				0		0		0	34354	0	0	0	0	0	0	0	0	0	4273	3895	11847	838860	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\场景小怪通用掉落军资脚本.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	5	124	1	1	0	960	13	365	0	1	0		0	-1	7	0	0	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0							1					
21888	神策叛军			2	0	28	1	1	0	91	0	950	1	5	1	1		0	63800	0	0	800000	0	0	100	6	30	9000	0	0	0	0	0	0	0	0	0	0	1024	290	290	290	290	290	0	21888	1	924	140	2443	1221	28	1	42	0	1	1024	32	10	634	19	240	0	2	512	20	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20				0		0		0	34398	0	0	0	0	0	0	0	0	0	4273	3895	11847	838860	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\场景小怪通用掉落军资脚本.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	5	124	1	1	0	960	13	365	0	1	0		0	-1	7	0	0	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0							1					
21889	武库守卫			2	0	28	1	1	0	91	0	950	1	5	1	1		0	48000	0	0	800000	0	0	100	6	30	9000	0	0	0	0	0	0	0	0	0	0	1024	570	570	570	570	570	0	21889	1	1036	140	1818	909	28	1	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20				0		0		0	34355	0	0	0	0	0	0	0	0	0	4273	0	0	0	战宝军械库	0	0	1	1	1	0		0		0		0		0	0	0	scripts\Map\战宝军械库\npc\场景小怪通用掉落军资脚本.lua					0	0	0	0	0	0	0	0	0	0	1000	10000	-1	0	0	0	0	0	0	1	5	124	1	1	0	960	13	365	0	1	0		0	-1	7	0	0	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0							1					
