ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
2837	蝙蝠帮2-低级				0	28			275	30		900	28	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2837	13	60	30	60	30	28	1	19							7	160																						28800											1928										1	40	52	629145	战斗通用NPC(大量)				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2868	倭寇1-中级30				0	28			275	30		900	39	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2868	13	60	30	60	30	28	1	19							7	160																						28800											1969										1	40	52	629145	战斗通用NPC(大量)				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2869	倭寇2-中级30				0	28			275	30		900	39	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2869	13	60	30	60	30	28	1	19							7	160																						28800											1970										1	40	52	629145	战斗通用NPC(大量)				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2872	天竺僧3-中级40				0	0				1		950	31	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2872		3	2	3	2			32								32								32								32																	2042										1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2873	天竺僧4-中级40				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2873		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2874	天竺僧5-高级50				0	0				1		950	51	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2874		3	2	3	2			32								32								32								32																	2044										1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2875	天竺僧6-高级50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2875		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2876	江湖闲散势力1-低级10				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2876		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2877	江湖闲散势力2-低级20				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2877		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2878	江湖闲散势力3-中级30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2878		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2879	江湖闲散势力4-中级40				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2879		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2880	江湖闲散势力5-高级50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2880		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2881	江湖闲散势力6-高级50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2881		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2882	地鼠门1-低级10				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2882		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(大量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
