ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
2895	浩气盟10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2895		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2896	浩气盟30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2896		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2897	浩气盟50-70				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2897		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2898	恶人谷10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2898		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2899	恶人谷30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2899		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2900	恶人谷50-70				0	0				28		950		3				180	1334			1649					22						21	19	19	19	19	19		32	28	28	28	28		2900		64	32	64	32			32								32								32								32																											1	33	42	629145	战斗通用NPC(少量)					1																											0												0				3	28	226																																																							0				0									0	0	0	0															1											0					
2901	长歌门10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2901		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2902	长歌门30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2902		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2903	长歌门50-70				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2903		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2907	昆仑10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2907		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2908	昆仑30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2908		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2909	昆仑50-70				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2909		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2910	镖局10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2910		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2911	镖局30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2911		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2912	镖局50-70				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2912		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2913	商会10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2913		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2914	商会30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2914		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2915	商会50-70				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2915		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2916	少林10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2916		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2917	少林30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2917		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2918	少林50-70				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2918		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2919	明教10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2919		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2920	明教30-50				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2920		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2921	明教50-70				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2921		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2922	万花10-30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2922		3	2	3	2			32								32								32								32																											1	1	1	629145	战斗通用NPC(少量)																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
