ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
30301	z据点			2	0	0	1	1	0	95	0	950	1	6	0	0		180	23761276	0	0	21385149	0	0	100	6	22	9000	0	0	0	0	0	218	218	218	218	218	1024	326	28	28	28	28	0	30301	1	9328	4664	9328	4664	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	0	0	0	0	0	0	0	0	0	0		45416	138000	838860	逐鹿中原	0	0	1	1	0	0		0		0		0		0	0	0						0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	0	1	0	0	1	1440	420	15	775	5000	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0	0		0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0			0	0	1	204	0					
30304	新建数据1									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30304		3	2	3	2																																												39224														逐鹿中原																																0	9000											0					2																																																																																																							
30305	新建数据2									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30305		3	2	3	2																																												39225														逐鹿中原																																0	9000											0					2																																																																																																							
30306	苦役			2	0	29	1	1	0	95	0	950	1	5	1	1		180	247513	0	0	222761	0	0	100	6	22	9000	0	0	0	0	0	128	128	128	128	128	1024	205	19	19	19	19	0	30306	1	1116	557	1116	557	28	1	28	0	1	1024	18	10	28	1	80	40	1	1024	16	8	28	1	240	120	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	39226	39537	39538												逐鹿中原	0	0	1	1	0	0	<G>这活啊，没完没了的，什么时候才到头呢？	1000		0		0		0	0	0	scripts/Map/逐鹿中原/npc/据点争夺_据点守卫.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	1440	420	9	775	0	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29	0		0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0			0	0	1	204	0					
30307	新建数据4									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30307		3	2	3	2																																												39227														逐鹿中原																																0	9000											0					2																																																																																																							
30308	新建数据5									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30308		3	2	3	2																																												39228														逐鹿中原																																0	9000											0					2																																																																																																							
30309	新建数据6									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30309		3	2	3	2																																												39229														逐鹿中原																																0	9000											0					2																																																																																																							
30310	恶人谷大将				3	49				98				2					50500000			2000000											0	290	290	290	290	290		433	37	37	37	37		30310		44640	6789	44640	6789	28	1	28		1	1024	18	10	8822	1							17191	1	32																30									39230											18694	57111	838860	逐鹿中原					1		<G>打起精神，坚守岗位，不能让敌人有机可乘！	1000									scripts/Map/逐鹿中原/npc/据点争夺_据点守将.lua																									5	254	0				2	1030	5000																																																							49					0	0	0	0	0																																1024	1					
30311	新建数据8									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30311		3	2	3	2																																												39231														逐鹿中原																																0	9000											0					2																																																																																																							
30312	新建数据9									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30312		3	2	3	2																																												39232														逐鹿中原																																0	9000											0					2																																																																																																							
30313	新建数据10									1									5			4											8	3	3	3	3	3		6	1	1	1	1		30313		3	2	3	2																																												39233														逐鹿中原																																0	9000											0					2																																																																																																							
30314	狼牙翼卫					29				96				4				300	123078			110770											140	242	242	242	242	242		228	21	21	21	21		30314		1157	578	1157	578	8839	1	26		1	1024	16	10	8827	1		40					8828	1																	20									39337	39389										935	2843	838860	逐鹿中原																	scripts/Map/逐鹿中原/npc/据点争夺_据点守卫.lua															0	9000											0				4	860	586																																																							29				20																																					204						
30315	恶人谷禁卫				3	49				96			29	5				300	990000			240000											0	142	142	142	142	142		228	21	21	21	21		30315		1691	845	1691	845	28	1	44		1	1024	34	10	8825	1							8826	1	160	80															20									39332											2921	8885	838860	逐鹿中原					1		<G>把浩气盟打个落花流水！	1000									scripts/Map/逐鹿中原/npc/据点争夺_据点守卫.lua															0	9000									5	254	0				9	860	1833																																																							49					0	0	0	0	0																																204	1		0			
