QuestID	QuestName	Class	CanShare	CanRepeat	CanAssist	NeedAccept	IsEscortQuest	QuestLevel	RequiredLevel	StartMapID	StartNpcTemplateID	StartDoodadTemplateID	StartItemType	StartItemIndex	MinLevel	MaxLevel	RequireGender	RequireRoleType	CooldownID	PrequestLogic	PrequestID1	PrequestID2	PrequestID3	PrequestID4	SubsequenceID	ForceIndex	StartTime	EndTime	RequireSkillID	MinSkillLevel	RequireLifeSkillID	MinLifeSkillLevel	StartForceIndex1	StartForceValue1	StartForceIndex2	StartForceValue2	StartForceIndex3	StartForceValue3	StartForceIndex4	StartForceValue4	StartRequireItemType1	StartRequireItemIndex1	StartRequireItemAmount1	StartRequireItemType2	StartRequireItemIndex2	StartRequireItemAmount2	StartRequireItemType3	StartRequireItemIndex3	StartRequireItemAmount3	StartRequireItemType4	StartRequireItemIndex4	StartRequireItemAmount4	OfferItemType1	OfferItemIndex1	OfferItemAmount1	OfferItemType2	OfferItemIndex2	OfferItemAmount2	OfferItemType3	OfferItemIndex3	OfferItemAmount3	OfferItemType4	OfferItemIndex4	OfferItemAmount4	EndMapID	EndNpcTemplateID	EndDoodadTemplateID	EndItemType	EndItemIndex	FinishTime	EndRequireItemType1	EndRequireItemIndex1	EndRequireItemAmount1	IsDeleteEndRequireItem1	IsCancelDeleteRequireItem1	DropNpcTemplateID1	DropDoodadTemplateID1	DropItemRate1	IsDropForEach1	EndRequireItemType2	EndRequireItemIndex2	EndRequireItemAmount2	IsDeleteEndRequireItem2	IsCancelDeleteRequireItem2	DropNpcTemplateID2	DropDoodadTemplateID2	DropItemRate2	IsDropForEach2	EndRequireItemType3	EndRequireItemIndex3	EndRequireItemAmount3	IsDeleteEndRequireItem3	IsCancelDeleteRequireItem3	DropNpcTemplateID3	DropDoodadTemplateID3	DropItemRate3	IsDropForEach3	EndRequireItemType4	EndRequireItemIndex4	EndRequireItemAmount4	IsDeleteEndRequireItem4	IsCancelDeleteRequireItem4	DropNpcTemplateID4	DropDoodadTemplateID4	DropItemRate4	IsDropForEach4	EndRequireItemType5	EndRequireItemIndex5	EndRequireItemAmount5	IsDeleteEndRequireItem5	IsCancelDeleteRequireItem5	DropNpcTemplateID5	DropDoodadTemplateID5	DropItemRate5	IsDropForEach5	EndRequireItemType6	EndRequireItemIndex6	EndRequireItemAmount6	IsDeleteEndRequireItem6	IsCancelDeleteRequireItem6	DropNpcTemplateID6	DropDoodadTemplateID6	DropItemRate6	IsDropForEach6	EndRequireItemType7	EndRequireItemIndex7	EndRequireItemAmount7	IsDeleteEndRequireItem7	IsCancelDeleteRequireItem7	DropNpcTemplateID7	DropDoodadTemplateID7	DropItemRate7	IsDropForEach7	EndRequireItemType8	EndRequireItemIndex8	EndRequireItemAmount8	IsDeleteEndRequireItem8	IsCancelDeleteRequireItem8	DropNpcTemplateID8	DropDoodadTemplateID8	DropItemRate8	IsDropForEach8	KillNpcTemplateID1	KillNpcAmount1	KillNpcTemplateID2	KillNpcAmount2	KillNpcTemplateID3	KillNpcAmount3	KillNpcTemplateID4	KillNpcAmount4	QuestValue1	QuestValue2	QuestValue3	QuestValue4	QuestValue5	QuestValue6	QuestValue7	QuestValue8	EndForceIndex1	EndValue1	EndForceIndex2	EndValue2	EndForceIndex3	EndValue3	EndForceIndex4	EndValue4	RelationDoodadID1	RelationDoodadID2	RelationDoodadID3	RelationDoodadID4	RelationDoodadID5	RelationDoodadID6	RelationDoodadID7	RelationDoodadID8	HidePresent	PresentAll1	PresentAll2	PresentAccordToForce1	PresentAccordToForce2	PresentItemType1	PresentItemIndex1	PresentItemAmount1	PresentItemType2	PresentItemIndex2	PresentItemAmount2	PresentItemType3	PresentItemIndex3	PresentItemAmount3	PresentItemType4	PresentItemIndex4	PresentItemAmount4	PresentItemType5	PresentItemIndex5	PresentItemAmount5	PresentItemType6	PresentItemIndex6	PresentItemAmount6	PresentItemType7	PresentItemIndex7	PresentItemAmount7	PresentItemType8	PresentItemIndex8	PresentItemAmount8	PresentItemType9	PresentItemIndex9	PresentItemAmount9	PresentItemType10	PresentItemIndex10	PresentItemAmount10	PresentItemType11	PresentItemIndex11	PresentItemAmount11	PresentItemType12	PresentItemIndex12	PresentItemAmount12	PresentItemType13	PresentItemIndex13	PresentItemAmount13	PresentItemType14	PresentItemIndex14	PresentItemAmount14	PresentItemType15	PresentItemIndex15	PresentItemAmount15	PresentItemType16	PresentItemIndex16	PresentItemAmount16	PresentItemType17	PresentItemIndex17	PresentItemAmount17	PresentItemType18	PresentItemIndex18	PresentItemAmount18	PresentItemType19	PresentItemIndex19	PresentItemAmount19	PresentItemType20	PresentItemIndex20	PresentItemAmount20	PresentItemType21	PresentItemIndex21	PresentItemAmount21	PresentItemType22	PresentItemIndex22	PresentItemAmount22	PresentItemType23	PresentItemIndex23	PresentItemAmount23	PresentItemType24	PresentItemIndex24	PresentItemAmount24	PresentItemType25	PresentItemIndex25	PresentItemAmount25	PresentItemType26	PresentItemIndex26	PresentItemAmount26	PresentItemType27	PresentItemIndex27	PresentItemAmount27	PresentItemType28	PresentItemIndex28	PresentItemAmount28	PresentItemType29	PresentItemIndex29	PresentItemAmount29	PresentItemType30	PresentItemIndex30	PresentItemAmount30	PresentItemType31	PresentItemIndex31	PresentItemAmount31	PresentItemType32	PresentItemIndex32	PresentItemAmount32	PresentExp	PresentMoney	AffectForceIndex1	AffectValue1	AffectForceIndex2	AffectValue2	AffectForceIndex3	AffectValue3	AffectForceIndex4	AffectValue4	AffectSkillID	Proficiency	RepeatCutPercent	PresentAssistIntimacy	PresentAssistExp	ScriptName	_Cat	_Type	_AreaQuest	RewardSkillID	CostMoney	RequireSchoolMask	RequireReputeAll	RequireForceID1	RequireReputeLevelMin1	RequireReputeLevelMax1	RequireForceID2	RequireReputeLevelMin2	RequireReputeLevelMax2	RequireForceID3	RequireReputeLevelMin3	RequireReputeLevelMax3	RequireForceID4	RequireReputeLevelMin4	RequireReputeLevelMax4	_ExpRewardType	_RunTime	_RestTime	_DropItemKills1	_DropItemKills2	_DropItemKills3	_DropItemKills4	_ExpRewardInfo	_IsAssistByScript	_ScriptExtraExp	_IsCalcExpByScript	_ScriptDifficulty	PresentAssistThew	PresentAssistStamina	PresentAssistFriendship	RequireCamp	_DropItemKills5	_DropItemKills6	_DropItemKills7	_DropItemKills8	PresentPrestige	PresentCoinType1	PresentCoinAmount1	PresentContribution	AchievementID	PresentTrain	TeamRequireMode	RequireApprentice	AssistMentorValue	TitlePoint	AddTongDevelopmentPoint	AddTongFund	PresentJustice	PresentExamPrint	PresentActivityAward	PresentArenaAward	PresentExp2Contribution	RewardSkillMaxLevel	Activity	HungUp	AddTongResource	IsAdventure	PreAdventureTaskID	AfterAdventureTaskID	PlayerIdentityExp	PlayerIdentityType
207	还鸡致歉	6	1		0			25		5	621				23						209																																												5	530					5	539	5					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																			1				5	3442	1																																																																																														7600	5900	11	400													少林																			2	360						参考经验--7450;下限经验--5950;上限经验--8950;期望杀怪总数(供参考)--14个普通怪	1	1650	1	3														45					0	2					35									
208	逃难之路	6			0			25		5	621				23						537				209																																								5	621												1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576										1																																																																																																																													10700	5500	11	100													少林		215																								参考经验--9050;下限经验--7250;上限经验--10850;期望杀怪总数(供参考)--26个普通怪		3450	1	4														10					0	2					50									
209	找寻食物	6			0			15		5	621				13						208				210																																								5	621					5	540	5			502		1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							6300	620	11	400													少林																			2			12				参考经验--5900;下限经验--4750;上限经验--7100;期望杀怪总数(供参考)--22个普通怪		1550	1	3														35					0	0					25									
210	寻求帮助	6			0			25		5	621				23						209																																												5	531												1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							6500	5000	11	100													少林																				150						参考经验--7450;下限经验--5950;上限经验--8950;期望杀怪总数(供参考)--23个普通怪		550	1	3														15					0	2					25									
211	深深歉意	6			0			15		5					13						215																																												5	530												1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							0	0	0	0													少林																										参考经验--700;下限经验--0;上限经验--1250;期望杀怪总数(供参考)--0个普通怪		0																1					0	0					0									
212	驱赶野猪	6	1		0			15		5					13						215																																												5													1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576		502	8																																1																																																																																																				0	0	0	0													少林																			2	180						参考经验--3350;下限经验--2700;上限经验--4000;期望杀怪总数(供参考)--9个普通怪	0	0																0					0	0					0									
213	定情玉佩	6			0			15		5					13						212																																5	542	1										5						5	542	1					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							0	0	0	0													少林																				180						参考经验--700;下限经验--0;上限经验--1250;期望杀怪总数(供参考)--0个普通怪	1	0	1	1														0					0	0					0									
214	盲女心意	6			0			25		5	538				23						220																																5	541	1										5	537					5	541	1					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							6700	5200	11	100													少林					2															180						参考经验--7450;下限经验--5950;上限经验--8950;期望杀怪总数(供参考)--22个普通怪	1	750	1	3														15					0	2					30									
215	金疮药	6	1	0	0	1	0	24	0	5		0	0	0	22	999999999	0	0	0		8145				216	0	0	86400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	531	0	0	0	0	0	0	0	1	1	0	0	1048576	0	0	0	0	1	1	0	0	1048576	0	0	0	0	1	1	0	0	1048576	0	0	0	0	1	1	0	0	1048576	0	0	0	0	1	1	0	0	1048576	0	0	0	0	1	1	0	0	1048576	0	0	0	0	1	1	0	0	1048576	0	0	0	0	1	1	0	0	1048576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0	0	0																																																													0	0	0	0	0	0	0	0	0	0	0	0	100	0	0		少林	123		0	0	0	1	0	0	12	0	0	12	0	0	12	0	0	12		120	5	0	0	0	0	参考经验--1050;下限经验--0;上限经验--1900;期望杀怪总数(供参考)--0个普通怪	0	0		2	4	4	5	7	0	0	0	0	0	-1	0	0	-1	1	1		5	0	0	0	0	0	0	0	0									
216	顽梗的一刀流	6			0			15		5					13						215																																												5													1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							0	0	0	0													少林																				150						参考经验--700;下限经验--0;上限经验--1250;期望杀怪总数(供参考)--0个普通怪	0	0																0					0	0					0									
217	经书感化	6			0			26		5	531				24						8086				218																												5	536	1										5	542					5	536	1					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																			1				5	7947	288	5	7948	289																																																																																											6700	5500	11	100													少林					2														2	150						参考经验--7600;下限经验--6100;上限经验--9150;期望杀怪总数(供参考)--23个普通怪	1	600	1	3														15					0	2					30									
218	心平气和	6			0			26		5	542				24						217				334																																								5	531												1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																			1				5	7957	125																																																																																														4250	4000	11	100													少林					2															150						参考经验--4600;下限经验--3650;上限经验--5500;期望杀怪总数(供参考)--13个普通怪	0	600	1															15					0	2					30									
219	另有心思	6	1		0			15		5					13						8145																																5	665	1										5	539					5	665	1					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							0	0	0	0													少林																				150						参考经验--700;下限经验--0;上限经验--1250;期望杀怪总数(供参考)--0个普通怪	1	0	1	1														1					0	0					0									
220	湖中找玉	6						25		5	538				23						8089																																												5	538					5	542	1				246	1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							10850	5500	11	400													少林					2														2	180						参考经验--9050;下限经验--7250;上限经验--10850;期望杀怪总数(供参考)--23个普通怪	0	4600	1	4														45					0	3					60									
221	孝女送茶	6			0			15		5					13						8145																																5	543	1										5	536					5	543	1					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							0	0	0	0													少林																				180						参考经验--700;下限经验--0;上限经验--1250;期望杀怪总数(供参考)--0个普通怪	1	0	1	1														1					0	0					0									
222	取水	6			0			15		5					13						221																																5	537	1										5	536					5	538	1					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							0	0	0	0													少林																				420						参考经验--3350;下限经验--2700;上限经验--4000;期望杀怪总数(供参考)--0个普通怪	1	0	1															1					0	0					0									
223	犹豫不决	6	1		0			25		5	545				23						705				224																																								5	533												1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							3550	3100	11	100													少林					2																					参考经验--4450;下限经验--3550;上限经验--5350;期望杀怪总数(供参考)--14个普通怪	0		1															10					0	1					10									
224	望而却步	6			0			25		5	533				23						223																																												5	545												1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																			1				5	7948	119																																																																																														3550	3100	11	100												scripts\Map\少林\quest\望而却步.lua	少林					2																					参考经验--4450;下限经验--3550;上限经验--5350;期望杀怪总数(供参考)--14个普通怪	0		1															10					0	1					10									
225	村医讨方	6	1		0			25		5	540				23						8087				226																																								5	540					5	544	1					1048576									1048576									1048576									1048576									1048576									1048576									1048576									1048576																																																																																																																																							6500	5000	11	100													少林					2														2	150						参考经验--7450;下限经验--5950;上限经验--8950;期望杀怪总数(供参考)--23个普通怪	1	550	1	3														15					0	2					25									
