NodeID	Description	MapID	CityID	Camp	TongID	NeedOpen	WorldRoadTrackEnd	ScriptFile	X	Y	Z	IdleFrame	MinLevel	MaxLevel	StartWaitFrame1	EndWaitFrame1	SwitchWaitFrame1	StartWaitFrame2	EndWaitFrame2	SwitchWaitFrame2	StartWaitFrame3	EndWaitFrame3	SwitchWaitFrame3	StartWaitFrame4	EndWaitFrame4	SwitchWaitFrame4	StartWaitFrame5	EndWaitFrame5	SwitchWaitFrame5	StartWaitFrame6	EndWaitFrame6	SwitchWaitFrame6
0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	a	1	0	0	0	0	0	Scripts/Road/Scripts/Road/Scripts/Road/	10215	37867	0	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
2	b	1	0	0	0	0	0	Scripts/Road/Scripts/Road/Scripts/Road/	12488	34534	0	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
3	稻香村驿站	1	1	0	0	1	0	scripts\Traffic\免车费.lua	20318	26242	1051390	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
4	稻香村出口	1	0	0	0	0	0	scripts\Traffic\降低车费.lua	36753	20325	1047690	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
5	稻香到扬州终点	6	605	0	0	0	0	scripts\Traffic\降低车费.lua	48779	32588	1049167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	扬州到稻香村	6	0	0	0	0	0	scripts\Traffic\降低车费.lua	17741	55457	1048548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	纯阳到长安出发	7	7	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	43563	3855	1119171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	纯阳到长安	7	0	0	0	0	0	scripts\Traffic\降低车费.lua	54818	2648	1094627	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
9	少林驿站	5	5	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	7579	13758	1048919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	少林到洛阳	5	0	0	0	0	0	scripts\Traffic\降低车费.lua	6120	15071	1048087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	天策到洛阳出发	11	11	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	59721	8433	1049599	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
12	天策到洛阳	11	0	0	0	0	0	scripts\Traffic\降低车费.lua	56931	3695	1044548	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
13	万花到长安出发	2	2	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	85244	73030	1169238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	万花到长安	2	0	0	0	0	0	scripts\Traffic\降低车费.lua	85816	76884	1171149	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
15	金水驿站	13	13	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	64110	62523	1050257	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
16	金水到扬州	13	0	0	0	0	0	scripts\Traffic\降低车费.lua	86414	5683	1058127	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
17	金水到洛阳	13	0	0	0	0	0	scripts\Traffic\降低车费.lua	52623	86052	1060986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	扬州码头近	6	606	0	0	1	0	scripts\Traffic\免车费.lua	78926	57755	1048761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	扬州码头远	6	0	0	0	0	0	scripts\Traffic\降低车费.lua	89117	48876	1048576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	长安到枫华谷	15	20	0	0	0	0	scripts\Traffic\降低车费.lua	84879	70617	1064260	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
