FromNodeID	ToNodeID	CostMoney	TrackID	ForceEndRoadTrack	Velocity	EnableBezier
1	2	100	1	1	48	0
3	4	1	2	0	48	0
7	8	415	3	1	48	0
5	6	2728	4	1	48	0
6	4	1	5	1	56	0
9	10	106	6	1	48	0
11	12	280	7	1	48	0
13	14	85	8	1	48	0
15	16	4894	9	1	48	0
15	17	2334	10	1	48	0
18	19	803	11	0	30	0
22	23	359	12	1	48	0
22	34	100	13	1	48	0
24	25	3924	14	1	48	0
25	23	100	15	1	60	0
26	27	2226	16	0	34	0
28	29	2694	17	0	30	0
30	595	2425	18	0	48	0
32	33	1502	19	0	34	0
16	25	100	20	1	60	0
37	35	2810	21	1	48	0
35	36	699	22	1	48	0
35	20	3064	23	1	48	0
39	36	1154	24	1	48	0
39	14	100	25	1	60	0
8	39	100	26	1	60	0
41	40	2093	27	1	48	0
43	41	368	28	1	48	0
12	43	100	29	1	60	0
43	10	100	30	1	60	0
41	44	1663	31	1	48	0
76	75	130	32	0	35	0
44	45	776	33	1	48	0
34	45	1	34	1	60	0
44	46	3749	35	1	48	0
17	46	1	36	1	60	0
47	48	2872	37	0	30	0
19	48	1	38	0	60	0
49	50	461	39	1	45	0
20	50	5	40	1	60	0
52	51	1030	41	1	48	0
40	52	1	42	1	60	0
1321	895	269	43	0	48	0
54	53	4658	44	1	48	0
4	54	1	45	1	56	0
55	56	1576	46	1	48	0
56	4	1	47	1	56	0
38	42	736	48	0	30	0
57	58	528	49	0	30	0
151	152	1	50	0	48	0
59	60	133	51	0	35	0
62	61	352	52	0	35	0
64	63	579	53	0	35	0
66	65	465	54	0	35	0
67	68	1	55	0	30	0
68	33	1	56	0	30	0
70	69	474	57	0	35	0
71	72	350	58	0	35	0
73	74	580	59	0	35	0
21	22	4226	60	1	48	0
10	12	30	61	1	48	0
111	652	1	62	0	48	0
78	77	2628	63	0	48	0
80	79	2967	64	0	48	0
81	82	2545	65	0	48	0
83	84	6922	66	1	48	0
86	85	1098	67	0	30	0
86	86	1	68	0	48	0
88	87	486	69	1	48	0
89	90	2349	70	0	48	0
92	91	1202	71	1	48	0
93	21	1393	72	1	48	0
94	93	190	73	1	48	0
95	93	100	74	1	48	0
94	92	1	75	1	60	0
97	96	6197	76	1	48	0
98	97	7387	77	1	48	0
95	98	1	78	1	60	0
100	99	2224	79	1	48	0
100	96	1	80	1	60	0
102	101	6591	81	1	48	0
104	101	9787	82	1	48	0
104	37	1	83	1	60	0
102	88	1	84	1	60	0
103	105	56	85	1	48	0
107	106	9785	86	0	30	0
641	428	4226	87	1	48	0
109	108	1405	88	1	48	0
103	109	1	89	1	60	0
111	110	770	90	1	48	0
111	94	1	91	1	48	0
47	85	2797	92	0	30	0
112	47	4782	93	0	30	0
114	113	1	94	0	48	0
116	115	9	95	1	48	0
118	117	7790	96	1	48	0
