ID	Name	TurnToFight_Text_1	TurnToFight_Type_1	TurnToFight_Rate_1	TurnToFight_Text_2	TurnToFight_Type_2	TurnToFight_Rate_2	TurnToFight_Text_3	TurnToFight_Type_3	TurnToFight_Rate_3	Death_Text_1	Death_Type_1	Death_Rate_1	Death_Text_2	Death_Type_2	Death_Rate_2	Death_Text_3	Death_Type_3	Death_Rate_3	TeammateDeath_Text_1	TeammateDeath_Type_1	TeammateDeath_Rate_1	TeammateDeath_Text_2	TeammateDeath_Type_2	TeammateDeath_Rate_2	TeammateDeath_Text_3	TeammateDeath_Type_3	TeammateDeath_Rate_3	Idle_Text_1	Idle_Type_1	Idle_Rate_1	Idle_Text_2	Idle_Type_2	Idle_Rate_2	Idle_Text_3	Idle_Type_3	Idle_Rate_3	Custom_Text_1	Custom_Type_1	Custom_Rate_1	Custom_Text_2	Custom_Type_2	Custom_Rate_2	Custom_Text_3	Custom_Type_3	Custom_Rate_3	TurnToIdle_Text_1	TurnToIdle_Type_1	TurnToIdle_Rate_1	TurnToIdle_Text_2	TurnToIdle_Type_2	TurnToIdle_Rate_2	TurnToIdle_Text_3	TurnToIdle_Type_3	TurnToIdle_Rate_3	KillEnemy_Text_1	KillEnemy_Type_1	KillEnemy_Rate_1	KillEnemy_Text_2	KillEnemy_Type_2	KillEnemy_Rate_2	KillEnemy_Text_3	KillEnemy_Type_3	KillEnemy_Rate_3	Escape_Text_1	Escape_Type_1	Escape_Rate_1	Escape_Text_2	Escape_Type_2	Escape_Rate_2	Escape_Text_3	Escape_Type_3	Escape_Rate_3
0			1	1000																																																																					
1	1~5级山贼杂兵			0		1	0		0	0		1	0								1	0							0	0	0		0	0														1	0								1	0								1	0						
2	山贼小头目	又一个来送死的	1	20	兄弟们给我上	1	30	这次你就别想跑了	1	30	没想到你还有两下子……	1	50	小子算你狠，我大哥不会放过你的！哇……	1	20																																								不自量力，哈哈	5	80							弟兄们给我顶住，我去叫帮手！	5	50						
3	王富																												瞧一瞧看一看啊，新到的各式杂货，什么都有了。	1	30																																										
4	陈商	你们是什么人！你们要做什么！		300	救命啊！	1	300				啊……	1	100																	1	0		1	0		1	0																																				
5	余半仙																												月晕而风，础润而雨，看来要变天了。	1	30	十五年一劫，谁也逃不掉。	1	30																																							
6	王大石																													1	0		1	0																																							
7	王婆婆																													1	0		1	0		1	0																																				
8	李复																												昔之善战者，先为不可胜，以待敌之可胜。	1	20	师傅……我该怎么办？	1	10	善守者，藏于九地之下。善攻者，动于九天之上。	1	50																																				
9	咸鱼																												我不知道我不知道……	1	30	看不出你还这么有耐心，我就告诉你实话吧……实话就是我什么都不知道。	1	10																																							
10	张忠																												这些小孩子都跑到哪里去了？	1	30																																										
11	农户																																																																								
12	董虎	你不怕死吗？	1	300	连我也敢惹，你也不打听打听我是谁！	1	300	受死吧！！！	1	300	十二连环坞会为我报仇的……你要为你今天做的付出代价！	1	1000																																											这种三脚猫功夫也敢来惹我，回去娘胎里再练几年吧，哈哈哈哈。	1	1000															
13	李东流	保护好将军。																											万花仙谷，与世隔绝，进出都靠这凌云梯。			凌云悬梯，天下奇绝，万花之门户也			工圣奇技，天下一绝																																						
14	子虚																												打劫！	1	30	天下风云，不正如这棋局吗？	1	30	哈哈，乌有老鬼，这局你输定了！	1	30																																				
15	乌有																												哎呀，棋差一招啊！	1	30	对弈在于心而不在于棋！	1	30																																							
16	防风																												最近谷内的信件多了起来。	1	30	师弟，又要给家里寄信啊！	1	30																																							
17	葛晚星																												哎哟......哎哟......	1	100	救命啊！有人来帮帮我吗？	1	50																																							
18	雪卿																												我还是最喜欢在这里俯看情昼海	1	30	呵呵，这里可以看到裴师伯的小屋呢！	1	30	师兄，你要经常陪雪卿来这里看风景哦！	1	30																																				
19	施伦																												师妹，时候不早了，我们回去吧。	1	30	情昼海之美，实非言语所能表达！	1	30	师妹，看那！可以隐约看到摘星楼呢！	1	30																																				
20	僧一行																												阿甘，把钳木机关器给我。	1	30	机关之术除了精巧实用，亦重外观修饰。	1	30																																							
21	阿甘																												噶机......噶机......嘎嘎......	1	30																																										
22	丁菊																												等我眼睛好了，就又可以看见相公了！	1	30	治好了眼睛，一定和相公回寇岛！	1	30	孙老先生真是能起死回生的神仙啊！	1	30																																				
23	老渔翁																												用笔习字，用竿钓鱼，其实道理都是一样的。	1	30																																										
24	王知味																												要做好吃的，还是得靠这本《九羊神功》！	1	30	南疆之菜果然与中原大不相同，真想好好学学。	1	30																																							
25	酒中仙																												千杯醉不倒......嗝，唯我酒中仙......嗝！	1	30	以酒醉，当然以酒解醉！世人无知，不知唯酒能解酒也！	1	30																																							
26	一刀流守卫	想救这个和尚，没那么容易！	1	300	这和尚把我弄疯了，干脆杀了你们！	1	300																																																																		
27		敢在爷面前撒野，看我不灭了你！		100																																																																					
28		哇哈哈，就让大爷我陪你好好玩玩！		100																																																																					
