Operation	Index	Desc	TYPE
Speak	0	在帮会频道发言	Common
JoinManagerChannel	1	加入官员频道，并可以查看频道发言。	Common
SpeakInManagerChannel	1	在官员频道发言。	Common
CheckOperationRecord	1	查看帮会操作记录。	Common
ModifyAnnouncement	2	修改帮会公告。	Common
ModifyOnlineMessage	2	修改帮会上线提示。	Common
ModifyIntroduction	2	修改帮会介绍。	Common
ModifyRules	2	修改帮会帮规。	Common
ModifyMemorabilia	2	修改帮会大事记。	Common
DevelopTechnology	3	投资科技树。	Common
ProductItem	3	生产道具	Common
ModifyCalendar	4	增加/编辑/删除帮会相关的日历项。	Common
ManageTask	4	发起/取消帮会任务。	Common
ManageVote	4	发起/取消投票。	Common
PutRepositoryPage1	5	往仓库内第一页存放物品。	Common
GetFromRepositoryPage1	6	从仓库内第一页取出物品。	Common
PutRepositoryPage2	7	往仓库内第二页存放物品。	Common
GetFromRepositoryPage2	8	从仓库内第二页取出物品。	Common
PutRepositoryPage3	9	往仓库内第三页存放物品。	Common
GetFromRepositoryPage3	10	从仓库内第三页取出物品。	Common
PutRepositoryPage4	11	往仓库内第四页存放物品。	Common
GetFromRepositoryPage4	12	从仓库内第四页取出物品。	Common
PutRepositoryPage5	13	往仓库内第五页存放物品。	Common
GetFromRepositoryPage5	14	从仓库内第五页取出物品。	Common
PutRepositoryPage6	15	往仓库内第六页存放物品。	Common
GetFromRepositoryPage6	16	从仓库内第六页取出物品。	Common
PutRepositoryPage7	17	往仓库内第七页存放物品。	Common
GetFromRepositoryPage7	18	从仓库内第七页取出物品。	Common
PutRepositoryPage8	19	往仓库内第八页存放物品。	Common
GetFromRepositoryPage8	20	从仓库内第八页取出物品。	Common
PutRepositoryPage9	21	往仓库内第九页存放物品。	Common
GetFromRepositoryPage9	22	从仓库内第九页取出物品。	Common
PutRepositoryPage10	23	往仓库内第十页存放物品。	Common
GetFromRepositoryPage10	24	从仓库内第十页取出物品。	Common
ManageWage	25	管理工资	Common
Diplomacy	26	外交权限	Common
AddToGroup	0	加人入某一用户组。	Advance
MoveFromGroup	0	将人从某一用户组中移除。	Advance
ModifyMemberRemark	2	编辑他人的备注。	Advance
ModifyGroupName	3	修改组名。	Advance

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
