ID	TabType1	TabIndex1	StackNum1	Rate1	TabType2	TabIndex2	StackNum2	Rate2	TabType3	TabIndex3	StackNum3	Rate3	TabType4	TabIndex4	StackNum4	Rate4	TabType5	TabIndex5	StackNum5	Rate5	TabType6	TabIndex6	StackNum6	Rate6	TabType7	TabIndex7	StackNum7	Rate7	TabType8	TabIndex8	StackNum8	Rate8	RateType1	RateType2	RepresentType	ScriptName
1	5	5223	1	78643	5	5224	1	78643	5	5235	1	419430	5	5242	1	471860	5	5229	1	314573	5	5230	1	104858	5	5231	1	314573	5	5232	1	104858	1	2		
2	5	11682	1	523239	5	11683	1	314573	5	11684	1	209715	5	11685	1	1049	5	6038	1	1048576	5	6025	1	40330	5	6073	1	314573	5	6070	1	209715	1	2		
3	5	6072	1	524288	5	6073	1	524288									5	6038	5	1048576	5	6037	1	125829	5	6040	1	41943	5	6205	1	83886	1	2		
4	5	6072	1	393216	5	6038	3	314573	5	6073	1	314573	5	6206	1	26214	5	6036	1	52	5	6060	1	1048576	5	6058	2	1048576	5	8025	1172	52429	1	2		
5	5	6072	1	393216	5	6038	3	314573	5	6070	1	314573	5	6206	1	26214	5	6033	1	52	5	6060	1	1048576	5	6058	2	1048576	5	8025	1173	52429	1	2		
6	5	6072	1	393216	5	6038	3	314573	5	6073	1	314573	5	6204	1	26214	5	6034	1	52429	5	6060	1	1048576	5	6037	1	1048576	5	8025	1174	52429	1	2		
7	5	6072	1	393216	5	6038	3	314573	5	6070	1	314573	5	6204	1	26214	5	6035	1	52429	5	6060	1	1048576	5	6037	1	1048576	5	8025	1175	52429	1	2		
8	5	6045	1	524288	5	6199	1	262144	5	6205	1	262144					5	8025	1168	209715	5	8025	1169	209715	5	8025	1170	209715	5	8025	1171	209715	1	2		
9	5	6029	10	1048576	5	6032	10	1048576																									2	2		
10	5	6667	1	524288	5	6666	1	524288									5	6669	1	262144	5	6253	1	419430	5	6676	1	786432					1	2		
11	5	6580	1	262144	5	6581	1	262144	5	6582	1	262144	5	6583	1	262144	5	6584	1	786432	5	6585	1	786432	5	6586	1	419430	5	6587	1	419430	1	2		
12	5	6676	1	524288	5	6635	1	209715	5	6595	1	209715	5	6597	1	104858	5	6246	1	524288	5	6247	1	314573	5	6248	1	209715					1	1		
13	5	6676	1	471859	5	6636	1	314573	5	6599	1	157286	5	6601	1	104858	5	6254	1	1048576	5	6254	1	786432	5	6254	1	524288	5	6255	1	524288	1	2		
14	5	6676	1	1048576	5	6637	1	786432	5	6603	1	125829					5	6254	1	1048576	5	6255	1	1048576	5	6255	1	524288	5	6255	1	524288	2	2		
15	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4018	1	1048576	5	6747	1	1048576													2	2		
16	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4019	1	1048576	5	6748	1	1048576													2	2		
17	5	6714	5	1048576	5	7156	1	1048576	5	6720	5	1048576	5	6721	5	1048576	5	6735	5	1048576	8	4020	1	1048576	8	4006	1	1048576	5	6749	1	1048576	2	2		
18	5	6714	5	1048576	5	6726	5	1048576	5	6727	5	1048576	5	6735	10	1048576	8	4022	1	1048576	8	514	1	1048576	5	6754	1	1048576	5	6750	1	1048576	2	2		
19	7	4962	1	1048576	7	4963	1	1048576	7	4964	1	1048576																					2	2		
20	5	10390	3	1048576	5	10389	5	1048576	8	4021	1	1048576	5	11538	1	1048576	5	11541	1	1048576	5	8835	1	1048576	5	6752	1	1048576					2	2		
21	5	6714	10	1048576	5	6732	5	1048576	5	24806	1	1048576					5	10389	6	1048576	8	33	1	1048576	5	8836	1	1048576	5	6753	1	1048576	2	2		
22	5	7156	1	1048576	5	6733	5	1048576	5	7041	4	1048576	5	6735	10	1048576	5	24806	2	1048576	5	10389	7	1048576	8	4022	1	1048576	5	6755	1	1048576	2	2		
23	5	6714	5	1048576	5	6736	5	1048576	5	7041	6	1048576	5	6735	10	1048576	5	24806	4	1048576	5	10389	7	1048576	5	8837	1	1048576	5	10373	1	1048576	2	2		
24	5	4933	1	52429	5	4838	5	471859	5	4841	5	471859	8	2076	1	52429	5	4924	1	125829	5	10766	1	83886	5	10767	1	83886	5	10439	1	62914	1	2		
25	5	7251	1	1048576	5	7181	1	1048576	5	7465	1	1048576	5	7436	1	1048576	5	7161	10	0	5	5256	40	1048576	5	7041	6	1048576					2	2		
