ID	BeChangedMagic	Type	MagicValue	TargetMagic1	TargetMagic2	TargetMagic3	TargetMagic4	TargetMagic5	TargetMagic6	TargetMagic7	TargetMagic8
1	atPhysicsCriticalStrike	1	500	atPhysicsHitValue	atStrainBase	atPhysicsOvercomeBase	atMagicOvercome	atPhysicsCriticalDamagePowerBase	atHasteBase		
2	atMagicCriticalStrike	1	500	atStrainBase	atMagicOvercome	atMagicCriticalDamagePowerBase	atMagicHitValue	atHasteBase			
3	atSolarCriticalStrike	1	500	atSolarHitValue	atStrainBase	atSolarOvercomeBase	atSolarCriticalDamagePowerBase	atHasteBase			
4	atNeutralCriticalStrike	1	500	atNeutralHitValue	atStrainBase	atNeutralOvercomeBase	atNeutralCriticalDamagePowerBase	atHasteBase			
5	atLunarCriticalStrike	1	500	atLunarHitValue	atStrainBase	atLunarOvercomeBase	atLunarCriticalDamagePowerBase	atHasteBase			
6	atPoisonCriticalStrike	1	500	atPoisonHitValue	atStrainBase	atPoisonOvercomeBase	atPoisonCriticalDamagePowerBase	atHasteBase			
7	atDodge	2	1000	atParryBase	atParryValueBase	atToughnessBase					
8	atPhysicsHitValue	3	500	atPhysicsCriticalStrike	atStrainBase	atPhysicsOvercomeBase	atMagicOvercome	atPhysicsCriticalDamagePowerBase	atHasteBase		
9	atSolarHitValue	3	500	atSolarCriticalStrike	atStrainBase	atSolarOvercomeBase	atSolarCriticalDamagePowerBase	atHasteBase			
10	atNeutralHitValue	3	500	atNeutralCriticalStrike	atStrainBase	atNeutralOvercomeBase	atNeutralCriticalDamagePowerBase	atHasteBase			
11	atLunarHitValue	3	500	atLunarCriticalStrike	atStrainBase	atLunarOvercomeBase	atLunarCriticalDamagePowerBase	atHasteBase			
12	atPoisonHitValue	3	500	atPoisonCriticalStrike	atStrainBase	atPoisonOvercomeBase	atPoisonCriticalDamagePowerBase	atHasteBase			
13	atParryBase	4	1000	atDodge	atParryValueBase	atToughnessBase					
14	atParryValueBase	5	81	atDodge	atParryBase	atToughnessBase					
15	atStrainBase	6	500	atAllTypeCriticalStrike	atAllTypeHitValue	atPhysicsOvercomeBase	atMagicOvercome	atAllTypeCriticalDamagePowerBase	atHasteBase		
