AttributeID	CategoryTitle
	
atAgilityBase	身法
atAgilityBasePercentAdd	身法
atSpunkBase	元气
atSpunkBasePercentAdd	元气
atStrengthBase	力道
atStrengthBasePercentAdd	力道
atSpiritBase	根骨
atSpiritBasePercentAdd	根骨
atVitalityBasePercentAdd	体质
atDecriticalDamagePowerBase	化劲
atDecriticalDamagePowerPercent	化劲
atParryBase	招架
atParryPercent	招架
atParryValueBase	招架
atParryValuePercent	招架
atDodge	闪避
atToughnessBase	御劲
atToughnessPercent	御劲
atGlobalResistPercent	减伤
atDropDefence	抗摔
atHasteBase	加速
atStrainBase	无双
atStrainPercent	无双
atBasePotentialAdd	全属性
atAllTypeHitValue	全命中
atAllTypeCriticalStrike	全会心
atAddSprintPowerCost	气力值
atAddSprintPowerMax	气力值
atAddSprintPowerRevive	气力值
atActiveThreatCoefficient	威胁值
atLunarAttackPowerBase	内功攻击
atMagicAttackPowerBase	内功攻击
atNeutralAttackPowerBase	内功攻击
atPoisonAttackPowerBase	内功攻击
atSolarAndLunarAttackPowerBase	内功攻击
atSolarAttackPowerBase	内功攻击
atLunarCriticalStrike	内功会心
atLunarCriticalStrikeBaseRate	内功会心
atMagicCriticalStrike	内功会心
atNeutralCriticalStrike	内功会心
atNeutralCriticalStrikeBaseRate	内功会心
atPoisonCriticalStrike	内功会心
atPoisonCriticalStrikeBaseRate	内功会心
atSolarAndLunarCriticalStrike	内功会心
atSolarCriticalStrike	内功会心
atSolarCriticalStrikeBaseRate	内功会心
atLunarHitValue	内功命中
atMagicHitValue	内功命中
atNeutralHitValue	内功命中
atPoisonHitValue	内功命中
atSolarAndLunarHitValue	内功命中
atSolarHitValue	内功命中
atLunarOvercomeBase	内功破防
atMagicOvercome	内功破防
atNeutralOvercomeBase	内功破防
atNeutralOvercomePercent	内功破防
atPoisonOvercomeBase	内功破防
atSolarAndLunarOvercomeBase	内功破防
atSolarOvercomeBase	内功破防
atManaReplenishExt	内力恢复
atManaReplenishPercent	内力恢复
atMaxManaAdditional	内力上限
atMaxManaBase	内力上限
atMaxManaPercentAdd	内力上限
atDamageToManaForSelf	内力偷取
atModifyCostManaPercent	内力消耗
atPhysicsAttackPowerBase	外功攻击
atPhysicsCriticalStrike	外功会心
atPhysicsHitValue	外功命中
atPhysicsOvercomeBase	外功破防
atLifeReplenishExt	气血恢复
atLifeReplenishPercent	气血恢复
atMaxLifeAdditional	气血上限
atMaxLifeBase	气血上限
atMaxLifePercentAdd	气血上限
atLunarMagicShieldBase	内功防御
atNeutralMagicShieldBase	内功防御
atPoisonMagicShieldBase	内功防御
atSolarMagicShieldBase	内功防御
atPhysicsDefenceAdd	外功防御
atPhysicsShieldAdditional	外功防御
atPhysicsShieldPercent	外功防御
atDamageToLifeForSelf	生命偷取
atDivingFrameBase	水下呼吸
atMoveSpeedPercent	移动速度
atTherapyCoefficient	治疗成效
atTherapyPowerBase	治疗成效
atBeTherapyCoefficient	被治疗成效
atAddHorseSprintPowerCost	马术气力值
atAddHorseSprintPowerMax	马术气力值
atAddHorseSprintPowerRevive	马术气力值
atAllTypeCriticalDamagePowerBase	全会心效果
atLunarCriticalDamagePowerPercent	内功会心效果
atMagicCriticalDamagePowerBase	内功会心效果
atMagicCriticalDamagePowerPercent	内功会心效果
atNeutralCriticalDamagePowerBase	内功会心效果
atNeutralCriticalDamagePowerPercent	内功会心效果
atPoisonCriticalDamagePowerBase	内功会心效果
atPoisonCriticalDamagePowerPercent	内功会心效果
atSolarAndLunarCriticalDamagePowerBase	内功会心效果
atSolarCriticalDamagePowerBase	内功会心效果
atSolarCriticalDamagePowerPercent	内功会心效果
atPhysicsCriticalDamagePowerBase	外功会心效果
atPhysicsCriticalDamagePowerPercent	外功会心效果

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
