LEVEL_ID	DESCRIPTION
0	<text>text="\\\n第一关：十二连环坞\\\n第二关：野兽\\\n第三关：地鼠门\\\n第四关：天一教\\\n第五关：雷神机甲\\\n"</text>
1	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
2	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
3	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
4	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
5	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
6	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
7	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
8	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
9	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
