AdultTabIndex	Name	Desc
0		
32	测试马道具2	测试马道具
500	劣黄马	<text>text="“劣黄马”是毛色黄亮的马匹。" font=164</text><text>text="\\\n大唐驿站专用马，脚程可达百里，有长力。" font=18</text>
501	劣青马	<text>text="“劣青马”是毛色青白的马匹。" font=164</text><text>text="\\\n大唐驿站专用马，脚程可达百里，有长力。" font=18</text>
502	劣红马	<text>text="“劣红马”是毛色红亮的马匹。" font=164</text><text>text="\\\n大唐驿站专用马，脚程可达百里，有长力。" font=18</text>
503	青骢	<text>text="“青骢”是一种青白杂色的马。" font=164</text><text>text="\\\n《隋书》：\\\n吐谷浑有青海，中有小山。其俗至动辄方牝马与其上，言其龙种。尝得波斯草马放入海，因生骢驹，日行千里，故世称青海驹。" font=18</text>
504	黄骠	<text>text="“黄骠”又名“黄骢骠”，是唐太宗爱马。" font=164</text><text>text="\\\n《东志》：\\\n唐太宗破窦建德，乘马名黄骢骠。命乐工制《黄骢叠》，曲宫商也。" font=18</text>
505	红骊	<text>text="“红骊”又名“大骊”，乃是东汉光武帝爱骥。" font=164</text><text>text="\\\n光武以所乘大骊赠孝忠。" font=18</text>
506	忽雷驳	<text>text="“忽雷驳”是唐初猛将秦琼坐骑。" font=164</text><text>text="\\\n秦叔宝所乘马号忽雷驳，常饮于酒。每月于中试，能竖越三领地黑毡。及胡国公卒，嘶鸣不食而死。" font=18</text>
507	月绝影	<text>text="“月绝影”又名“绝影”，是三国枭雄曹操的坐骑。" font=164</text><text>text="\\\n月绝影是大宛良马，顾名思义跑起来快得连影子也跟不上，绝影无影。" font=18</text>
508	照夜白	<text>text="“照夜白”是唐玄宗最喜爱的御马。" font=164</text><text>text="\\\n照夜白曾跟随唐玄宗南征北战，立下无数战功，是皇帝的宠爱之马。\\\n杜甫诗曰：曾观先帝照夜白，龙池十日飞霹雳。" font=18</text>
509	望云骓	<text>text="“望云骓”是唐皇爱骥。" font=164</text><text>text="\\\n《望云骓马歌》：\\\n望云骓，尔之种类世世奇。\\\n当时项王乘尔祖，分配英豪称霸主。\\\n尔身今日逢圣人，从幸巴渝归入秦。\\\n功成事遂身退天之道，何必随群逐队到死蹋红尘。" font=18</text>
510	绝地	<text>text="“绝地”是周朝时期周穆王八骏之一。" font=164</text><text>text="\\\n传说中的神骏，足不践土，脚不落地，可以腾空而飞。" font=18</text>
511	越影	<text>text="“越影”乃是周穆王八骏之一。" font=164</text><text>text="\\\n据八骏《拾遗记》记载：\\\n周穆王有宝马，名曰越影，可“逐日而行”。速度之快，当可与影子赛跑。" font=18</text>
512	翻雨	<text>text="“翻雨”是汉朝时乌孙国进贡宝马。" font=164</text><text>text="\\\n《张骞传》：\\\n元狩中得乌孙马好，名曰天马。及得宛汗血马益壮，更名乌孙马曰西极马，宛马曰天马。\\\n\\\n\\\n" font=18</text>
513	龙骧	<text>text="“龙骧”是齐太祖萧道成爱骥的称号。" font=164</text><text>text="\\\n《齐书》：齐太祖常乘所骑赤马入殿。及践祚号此马为龙骧将军。" font=18</text>
514	红鸣马	<text>text="“红鸣马”是普通的红色马匹。" font=164</text><text>text="\\\n南疆马种，速度较慢，负重力较强。" font=18</text>
515	乌云踏雪	<text>text="“乌云踏雪”是三国时蜀国猛将张飞的坐骑。" font=164</text><text>text="\\\n关外名驹，千里绝群，张飞之马。据说，此马和他人一般的黑，估计若是晚上出行，没有人能看得见。" font=18</text>
516	桃李马	<text>text="“桃李马”是普通的滇马一系。" font=164</text><text>text="\\\n古文有云：\\\n乘骐骥以驰骋兮，来吾导夫先路。" font=18</text>
517	生皮足饰	
518	生皮鞍饰	
519	生皮头饰	
520	生皮胸饰	
521	熟化皮足饰	
522	熟化皮鞍饰	
523	熟化皮头饰	
524	熟化皮胸饰	
525	厚皮足饰	
526	夜奔腾	<text>text="“夜奔腾”又名“奔宵”，乃是周穆王八骏之一。" font=164</text><text>text="\\\n体型强健，马色光亮，可夜行万里。" font=18</text>
527	厚皮头饰	
528	厚皮胸饰	
529	铁制鞍具	
530	赤焰马	<text>text="“赤焰马”是唐代时西域贡马。" font=164</text><text>text="\\\n高九尺，颈与身等，昂举若凤，不知日行几何也。" font=18</text>
531	踏炎乌骓	<text>text="“踏焱乌骓”为稀有马种，乌骓马的变异。" font=164</text><text>text="\\\n踏焱乌骓通体黑缎子一样，背长腰短而平直，四肢关节筋腱发育壮实，四个马蹄部位火红，双眼好似鸽子血，浑身有血丝纹理，是乌骓中的顶级上品。" font=18</text>
532	铁纹障泥	
533	铁皮足饰	
534	铁皮鞍饰	
535	铁皮头饰	
536	铁皮胸饰	
537	硬甲足饰	
538	硬甲鞍饰	
539	硬甲头饰	
540	硬甲胸饰	
541	生铁足饰	
542	生铁鞍饰	
543	生铁头饰	
544	生铁胸饰	
545	云渊足饰	
546	云渊鞍饰	
547	云渊头饰	
548	云渊胸饰	
549	太白仙鹿	<text>text="“太白仙鹿”乃是唐代酒仙太白穿行太行山麓时的坐骑。" font=164</text><text>text="\\\n诗曰：\\\n紫霄宫阙起，群仙引玉京。\\\n坐乘一仙鹿，前引双红旌。" font=18</text>
550	黑风	<text>text="“黑风”乃秦朝大将蒙恬的坐骑。" font=164</text><text>text="\\\n黑风通体黑缎子一样，油光放亮，也是西楚霸王项羽坐骑乌骓的母亲。" font=18</text>
551	燎原火	<text>text="“燎原火”是三国时期蜀国名将黄忠的爱驹。" font=164</text><text>text="\\\n燎原火是一匹汗血马，性情暴躁，极具攻击性，牙齿异常锋利，力量与速度都在同类中屈指可数。" font=18</text>
552	小毛驴	<text>text="云贵一带盛产的小毛驴。" font=164</text><text>text="\\\n形似马，灰褐色，头大耳长，蹄小坚实，体质健壮，抵抗力强，性情温顺。" font=18</text>
553	染血足饰	
554	太白仙鹿	<text>text="“太白仙鹿”乃唐朝酒仙太白穿行太行山麓时的坐骑。" font=164</text><text>text="\\\n诗曰：\\\n紫霄宫阙起，群仙引玉京。\\\n坐乘一仙鹿，前引双红旌。" font=18</text>
555	染血头饰	
556	染血胸饰	
557	精铁足饰	
558	精铁鞍饰	
559	精铁头饰	
560	精铁胸饰	
561	银龙笼套	
562	银龙蹄铁	
563	银龙鞍具	
564	银龙障泥	
565	黑骑足饰	
