ID	ClassID	BoneType	ClassName	BoneName	Divide	Step
0	0	0			0	1
1	4	34	眼部轮廓	眼睛凸出		
2	4	35		眼睛位置	1	
3	4	36		眼睛大小		
4	4	37		眼睛倾斜		
5	4	38		眼睛间距		
6	4	39		眼睛开合		
7	4	40		眉骨凸出		
8	4	41		眉毛倾斜		
9	4	42		眉毛高度		
10	4	43		瞳孔大小		
11	4	44		瞳孔位置	1	
12	4	45		上眼睑高度		
13	4	46		下眼睑高度		
14	4	47		外眼角倾斜		
15	4	48		内眼角倾斜		
16	3	20	嘴部轮廓	嘴巴位置	1	
17	3	21		嘴巴大小		
18	3	22		下颚倾斜		
19	3	23		嘴唇开合		
20	3	24		嘴巴凸出		
21	3	25		嘴角位置		
22	3	26		上唇厚度		
23	3	27		下唇厚度		
24	3	28		上唇凸出		
25	3	29		下唇凸出		
26	3	30		上唇位置	1	
27	3	31		下唇位置		
28	3	32		左嘴角高度		
29	3	33		右嘴角高度		
30	2	12	鼻子轮廓	鼻子大小		
31	2	13		鼻子高度		
32	2	14		鼻头高度		
33	2	15		鼻头位置		
34	2	16		鼻头宽度		
35	2	17		鼻尖弯度		
36	2	18		鼻梁宽度		
37	2	19		鼻梁高度		
38	1	0	脸部轮廓	颧骨位置		
39	1	1		颧骨凸出		
40	1	2		脸颊宽度		
41	1	3		脸颊高度		
42	1	4		上脸宽度		
43	1	5		下脸宽度	1	
44	1	6		脸蛋丰满		
45	1	7		下巴宽度		
46	1	8		下巴位置	1	
47	1	9		下巴长度		
48	1	10		下巴尖宽度		
49	1	11		下巴凸出		

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
