FellowPetID	SkillID1	Level1	SkillID2	Level2	SkillID3	Level3	SkillID4	Level4	SkillID5	Level5	SkillID6	Level6	SkillID7	Level7	SkillID8	Level8	SkillID9	Level9	SkillID10	Level10	SkillID11	Level11	SkillID12	Level12	SkillID13	Level13	SkillID14	Level14	SkillID15	Level15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9296	1																												
2	9296	2																												
3	9296	3																												
4	9296	10	9303	1																										
5	9296	11	9303	2																										
6	9296	12	9303	3	9385	1																								
7	9296	13																												
8	9296	14																												
9	9296	16	9303	4																										
10	9296	17	9303	5																										
11	9296	18																												
12	9296	19	9303	6	9385	2	9386	1																						
13	9296	20	9303	7	9385	3	9386	2																						
14	9296	21	9303	8	9385	4	9386	3																						
15	9296	22	9303	9	9385	5	9386	4																						
16	9296	24																												
17	9296	23																												
18	9296	26																												
19	9296	27																												
20	9296	66																												
21	9296	28	9303	10																										
22	9296	67																												
23	9296	68																												
24	9296	69																												
25	9296	70																												
26	9296	30	9303	12	9385	7																								
27	9296	29	9303	11	9385	6																								
28	9296	31	9303	13	9385	8																								
29	9296	32	9303	14	9385	9	9386	5	9387	1																				
30	9296	33	9303	15	9385	10	9386	6	9387	2																				
31	9296	34	9303	16	9385	11	9386	7	9387	3																				
32	9296	35	9303	17	9385	12	9386	8	9387	4																				
34	9296	36	9303	18	9385	13																								
35	9296	37	9303	19	9385	14																								
36	9296	38	9303	20	9385	15																								
37	9296	39	9303	21	9385	16																								
38																														
41	9296	40	9303	22	9385	17	9386	9																						
42	9296	41	9303	23	9385	18	9386	10																						
43	9296	42	9303	24	9385	19	9386	11																						
44	9296	43	9303	25	9385	20	9386	12																						
45	9296	71																												
46	9296	4																												
47	9296	5																												
48	9296	15																												
49	9296	25	9303	26																										
50	9296	44																												
51	9296	45	9303	27																										
52	9296	46	9303	28	9385	21																								
53	9296	47	9303	29	9385	22																								
54	9296	48	9303	30	9385	23																								
55	9296	49	9303	31	9385	24																								
56	9296	50	9303	32	9385	25																								
57	9296	51	9388	1	9303	33	9385	26	9386	13	9387	5																		
58	9296	52	9303	34	9385	27	9386	14	9387	6																				
59	9296	53	9386	15	9303	35	9385	28	9387	7																				
60	9296	54	9303	36																										
61	9296	55	9303	37	9385	29	9386	16	9387	8	9388	2																		
62	9296	56	9303	38	9385	30	9386	17	9387	9	9388	3																		
63	9296	72																												
64	9296	57	9303	39	9385	31	9386	18	9387	10																				
65	9296	58	9303	40	9385	32	9386	19																						
66																														
67	9296	59	9303	41	9385	33	9386	20																						
68	9296	60	9303	42	9385	34	9386	21																						
69	9296	61	9303	43	9385	35	9386	22																						
70	9296	6																												
71	9296	7																												
72	9296	62																												
73	9296	63																												
74	9296	64	9303	44	9385	36	9386	23																						
75	9296	65																												
76	9296	8																												
77	9296	9																												
78	9296	73																												
79	9296	75	9303	46	9385	38	9386	25																						
80	9296	74	9303	45	9385	37	9386	24	9387	11																				
81	9296	76	9303	47																										
82	9296	77	9303	48	9385	39																								
83	9296	78	9303	49	9385	40	9386	26	9387	12																				
84	9296	79	9303	50	9385	41																								
85	9296	80																												
86	9296	81																												
87	9296	82	9303	51	9385	42	9386	27																						
88	9296	83	9303	52	9386	28	9385	43																						
89	9296	84	9303	53	9385	44	9386	29																						
90	9296	85	9303	54	9385	45	9386	30																						
91	9296	86	9303	55	9385	46	9386	31																						
92	9296	87	9303	56	9385	47	9386	32																						
