KungfuIndex	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5	SkillID6	SkillID7	SkillID8	SkillID9	SkillID10	SkillID11	SkillID12	SkillID13	SkillID14	SkillID15	SkillID16
0	14	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
1	232	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
2	179	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
3	400	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
4	367	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
5	553	0	0	0	0	0	0	0	537	8670	0	0	0	34	0	17
6	2209	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
7	3095	0	0	0	0	0	0	0	0	0	0	3373	3374	34	0	17
8	1579	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
9	3962	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
10	5258	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
11	13044	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
12	14064	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17
13	16028	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
