ID	Name	Introduction	Describe
0			
1	第一步：大侠之路·武林门派	回门派拜见掌门。	　　侠士行走江湖已有些时日，不如今日便返回门派拜见掌门，请掌门指点你武艺如何才能更加精进吧！
2	第二步：大侠之路·试炼之地	找到神秘老人引你进入试炼之地。	　　不知从何时出现了一位神秘老者可用奇门遁术将人送入不会醒来的梦中，进入该梦境中将会遇到有生以来与自己交过手的各种敌人。武学势必要在不断的切磋中方能精进。因此那里便有了一个名字——试炼之地！你且去扬州或者成都的日常区找那位神秘老者，送你去那试炼之地吧。
3	第三步：大侠之路·吐气纳息	打开武学界面升级一次技能。	　　练功不是一朝一夕就能有所成的。在这个过程中修心养性，逐步提升自己的修为境界，这样招式的威力自然就会有所提升，还有可能领悟到更深的招式。（打开武学界面，用鼠标点住技能图标旁边的加号不放，即可将修为灌注到招式中。）
4	第四步：大侠之路·复入试炼	找到神秘老人引你进入试炼之地。	　　试炼之地可是个修行武艺的好地方！在试炼之地中不断试炼，可获得大量修为。切换奇穴与升级技能均需要消耗修为。侠士若是休整好了，便告知神秘老者，他可再将侠士引入那试炼之地。
5	第五步：大侠之路·活动日历	查看日历了解今日之可做事。	　　江湖上每天都有许多事情发生，若你没有及时得知，错过了时机，可能就要后悔了！在游戏界面右上角的小地图周边，有日历面板的按钮，点击它，可查看每日可参与的活动。
6	第六步：大侠之路·神行千里	使用技能“神行千里”前往阴山大草原找到在此寻药的谷之岚。	　　在那阴山大草原的中心有个“阴山黑市”，若是运气好，没准可以获得些珍奇药材。你便也去那阴山大草原寻谷之岚吧，或许机缘巧合之下有些收获也说不定呢！（侠士可使用技能“神行千里”打开世界地图，从中点击阴山大草原，即可打开阴山大草原的中地图。再在阴山大草原的中地图中点击选取阴山黑市附近的神行点，即可神行至阴山黑市附近。）
7	第七步：大侠之路·往事成昔	完成“往事成昔玉成珏”系列任务，打通第十二重奇穴第三层。	　　祁道长断臂以后，经脉运转便有愈加僵化之相，近日来已然难以提聚真气。我们此番来到这阴山大草一来为了寻些珍惜药材，为祁道长疗伤，二来也是为了纾解祁道长的抑郁之情。不知侠士可否助一臂之力，解开祁道长的心结……想来在这期间，侠士也能对这武学有些新的领悟吧！（完成“往事成昔玉成珏”，打通第十二重奇穴第三层）
8	第八步：大侠之路·剑仆聆剑	找到藏剑山庄大庄主的剑仆聆剑。	　　传言那藏剑山庄的大庄主此刻也在这大草原，前些日子他的剑仆聆剑似是受了点小伤，刚好遇到我，便赠了他些治疗跌打损伤的药。想来这些天已经用完了，我这还有些，请你帮我带去给他吧！
9	第九步：大侠之路·庄主之托	完成“戈壁藏寒铁”系列任务，打通第十二重奇穴第四层。	　　这次有幸随大庄主来到草原，感觉看什么都很新鲜。我自小在藏剑山庄长大，每天面对最多的就是剑冢里的残剑。多希望有一天我的剑术也能像大庄主一样，能够独步武林，万人景仰。不过我们初来这大草原，虽是路过，却也要停留些时日，有些事还要请你帮忙呀！（完成“戈壁藏寒铁”系列任务，打通第十二重奇穴第四层）
10	第十步：大侠之路·几盏清茶	去阴山黑市的茶馆找到茶馆老板娘赵云睿。	　　虽说江湖风起云涌，可这茶却是咱们每天必不可少的。那阴山大草原的中心有个“阴山黑市”，若是侠士得了闲，每日可前往阴山黑市的茶馆中吃吃茶。我这初来大草原之人也去过好几次了呢！茶馆是个鱼龙混杂的地方，老板娘赵云睿是个八面玲珑的人，能打探到许多连官府都不知道的消息呢。不过现在这世道乱着呢，想来她那里的生意也不甚好做。侠士若肯给她帮帮忙，她定不会亏待侠士的！
11	第十一步：大侠之路·茶话江湖	完成在茶馆老板娘赵云睿的委托。	　　虽说江湖上风起云涌，可这吃茶却是每天必不可少的。侠士若是得了闲，可前往阴山大草原的茶馆那吃吃茶。茶馆是个鱼龙混杂的地方，老板娘赵云睿虽是个八面玲珑的人，想来生意也不甚好做。侠士若是去寻了那老板娘赵云睿，给她帮帮忙，她定不会亏待了你。
12	第十二步：大侠之路·江湖贡献	根据左上角箭头提示查看自己的江湖贡献值。	　　只要您积累了足够的江湖贡献，就可以到我这里以比较低廉的价格换取一件江湖贡献装了。不过有一点好叫客官知道，越高级的江湖贡献装所需要花费的江湖贡献值就越多。您若是不知道自己有多少江湖贡献值，就点击界面左上角的【设置】按钮，将【江湖贡献值】或其他需要显示的货币勾选出来，即可在界面最上方一直显示了。
13	第十三步：大侠之路·玄字柒肆	了解江湖贡献，并用其购买装备。	　　只要积累了足够的江湖贡献，就可以到玄字柒肆这里以比较低廉的价格换取一件江湖贡献装了。不过有一点好叫客官知道，越高级的江湖贡献装所需要花费的江湖贡献值就越多。
14	第十四步：大侠之路·侠义之人	了解侠义值，并用其购买装备。	　　这江湖就是个大染缸，鱼龙混杂，什么人都有。侠士若是做了好事，或者在团队秘境中击杀了首领，都可以获得海量的侠义值。侠义值亦可以用来购买装备，这侠义值装备可比江湖贡献装好上那么几个档，快去侠义值商人玄字叁玖那去看看吧！
