ID	NpcID	BossName
0	0	
1	16097	柳惊涛
2	15663	机关骰子
3	16321	汉唐
4	16282	密室机关
5	1861	叶芳致
6	6773	叶无心
7	7098	叶琦菲
8	7278	夜啸
9	13254	塔纳刀王
10	13239	水云
11	13240	苏髓
12	3420	人熊
13	3405	邓文峰
14	3423	商仲永
15	6235	李千水
16	2767	方季常
17	2774	平三指
18	2985	震天甲士
19	3131	华铁颅
20	2797	冯度
21	2796	王彦直
22	2795	鬼影小次郎
23	6236	鲁飞
24	2020	虎啸
25	2021	射云
26	2022	华鹤炎
27	6234	神策暗刺卫
28	2177	罗翼
29	2140	常万山
30	2188	杜姬欣
31	6239	温纱儿
32	3945	阿里曼监察使
33	3951	阿里曼入教主祭司
34	3958	卫栖梧
35	5520	沙利亚
36	6275	阿斯玛
37	4768	殷不为
38	4864	肖童
39	6292	刘大海
40	4972	秦雷
41	6242	狼牙夜幕刺客
42	4006	上衫勇刀
43	4004	雾影奈叶、猿飞菖蒲
44	6293	源明雅
45	3766	八歧大蛇
46	6241	吉汰
47	279	柳随风
48	298	孙敬萧
49	2762	李尧
50	282	玄悲
51	283	陌香
52	285	方宇谦
53	5739	范霸
54	5738	赵天龙
55	57	朴宗资
56	5684	煞灵魔尸
57	5716	塔玛
58	5717	司徒一一
59	5875	夕罗双
60	5881	藤原樱奈
61	5882	梅剑雄
62	6212	慧钟
63	6214	千叶佛像
64	6330	风云火三使
65	5900	罗翼
66	5902	庞虎文
67	988	杨心羽
68	5749	阿里曼监察使
69	5755	阿里曼入教主祭司
70	5762	卫栖梧
71	5791	沙利亚
72	6360	卢元霸
73	6361	齐宗强
74	6362	肖红
75	6364	汪莽
76	6306	尸灵武者
77	6598	谢云流
78	6279	野村一郎
79	6181	服部胧藏
80	6060	玄阴子
81	6547	程傲
82	6529	王积薪
83	6207	道衍
84	6530	李裳秋
85	6066	方鹤影
86	7747	叶凌烈
87	7471	叶无心
88	7439	叶火汐
89	7444	叶昊天
90	7721	叶金素
91	7462	叶冬辰
92	7481	叶秋池
93	5067	王海银
94	5068	朱癸
95	5744	平等
96	5072	掌火
97	5095	镇恶
