ForceID	MapID
0	0
10144	49
10144	51
10145	49
10145	51
10081	16
10081	18
10080	16
10080	18
10002	5
10002	14
10003	5
10003	14
10062	11
10062	20
10026	11
10026	20
10028	2
10028	17
10021	2
10021	17
10015	7
10015	19
10014	7
10014	19
10225	122
10225	123
10224	122
10224	123
10176	102
10176	116
10175	102
10175	116
10243	150
10243	142
10242	150
10242	142
10268	159
10268	169
10389	197
10389	193
10389	196
10390	197
10390	193
10390	196
10447	213
10447	219
10448	213
10448	219
10464	243
10464	256

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
