ID	Group	Region	Name	Type	MiddleMap0	ImagesPath	Tip	movie_id
0	0	0		NORMAL				0
1	3	2	稻香村	BIRTH	稻香村		<text>text="稻香村， 淮南道\\\n野外场景\\\n\\\n怪物等级：\\\n2 - 8\\\n\\\n任务等级：\\\n0 - 10" font=162</text>	0
2	2	1	万花	SCHOOL	万花		<text>text="万花谷， 山南东道\\\n门派场景\\\n\\\n怪物等级：\\\n16 - 26\\\n48 - 49\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	52
3	1	0	测试1	TEST	测试1			
5	2	1	少林	SCHOOL	少林		<text>text="少林， 都畿道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 24\\\n32 - 34\\\n48 - 50\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	50
6	1	2	扬州	CITY	扬州;扬州城		<text>text="扬州， 淮南道\\\n城市场景\\\n\\\n怪物等级：\\\n27 - 33\\\n\\\n任务等级：\\\n27 - 33\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香" font=162</text>	
7	2	1	纯阳	SCHOOL	纯阳		<text>text="纯阳派， 京畿道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 26\\\n47 - 48\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	56
8	1	1	洛阳	OLD_CITY	洛阳;洛阳城南		<text>text="洛阳， 都畿道\\\n城市场景\\\n\\\n怪物等级：\\\n26 - 32\\\n\\\n任务等级：\\\n26 - 32\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香" font=162</text>	
9	3	1	洛道	VILLAGE	洛道		<text>text="洛道， 河南道\\\n野外场景\\\n\\\n怪物等级：\\\n42 - 50\\\n\\\n任务等级：\\\n42 - 50\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	
10	3	5	寇岛	VILLAGE	寇岛		<text>text="寇岛， 江南东道\\\n野外场景\\\n\\\n怪物等级：\\\n42 - 48\\\n\\\n任务等级：\\\n42 - 48\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n防风\\\n天名精" font=162</text>	
11	2	1	天策	SCHOOL	天策		<text>text="天策府， 都畿道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 25\\\n48 - 50\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	55
12	3	1	枫华谷	OLD_VILLAGE	枫华谷		<text>text="枫华谷， 京畿道\\\n野外场景\\\n\\\n怪物等级：\\\n33 - 41\\\n\\\n任务等级：\\\n33 - 41\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	
13	3	1	金水镇	VILLAGE	金水镇		<text>text="金水镇， 淮南道\\\n野外场景\\\n\\\n怪物等级：\\\n33 - 43\\\n\\\n任务等级：\\\n33 - 43\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	
14	4	1	灵霄峡	DUNGEON	灵霄峡		<text>text="灵霄峡：32+(5人)/70+(5人)" font=162</text>	
15	1	1	长安	OLD_CITY	长安;长安城		<text>text="长安， 京畿道\\\n城市场景\\\n\\\n怪物等级：\\\n11 - 15\\\n27 - 30\\\n\\\n任务等级：\\\n10 - 15\\\n25 - 27\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香" font=162</text>	
16	2	2	七秀	SCHOOL	七秀		<text>text="七秀， 淮南道\\\n门派场景\\\n\\\n怪物等级：\\\n14 - 27\\\n48 - 49\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>	51
17	4	1	天工坊	DUNGEON	天工坊		<text>text="天工坊：25+(5人)/70+(5人)" font=162</text>	
18	4	2	无盐岛	DUNGEON	无盐岛		<text>text="无盐岛：36+(5人)/70+(5人)" font=162</text>	
19	4	1	空雾峰	DUNGEON	空雾峰		<text>text="空雾峰：26+(5人)/70+(5人)" font=162</text>	
20	4	1	天地三才阵	DUNGEON	天地三才阵		<text>text="三才阵：24+(5人)/70+(5人)" font=162</text>	
21	3	2	巴陵县	VILLAGE	巴陵县		<text>text="巴陵县， 江南西道\\\n野外场景\\\n\\\n怪物等级：\\\n50 - 55\\\n58 - 60\\\n\\\n任务等级：\\\n50 - 55\\\n58 - 60\\\n\\\n矿物：\\\n铁矿\\\n银矿\\\n银砂矿\\\n\\\n草药：\\\n防风\\\n五味子\\\n金银花\\\n田七\\\n天麻\\\n金创小草\\\n枸杞" font=162</text>	
22	3	2	南屏山	VILLAGE	南屏山		<text>text="南屏山， 江南东道\\\n野外场景\\\n\\\n怪物等级：\\\n59 - 65\\\n70\\\n\\\n任务等级：\\\n60 - 67\\\n69 - 70\\\n\\\n矿物：\\\n铁矿\\\n银矿\\\n银砂矿\\\n\\\n草药：\\\n五味子\\\n金银花\\\n田七\\\n天麻\\\n金创小草\\\n枸杞\\\n远志" font=162</text>	
