PQID	MapID	WatchNPC	MiddleMapType	Reward	QuestList	MinShowLevel	JoinMethod	ImageFile	nFrame	MainTitle	MainText	MainIcon	SubTitle	SubText	Tip	ValueText1	ValueType1	ValueColour1	Icon1	ValueMax1	ValueText2	ValueType2	ValueColour2	Icon2	ValueMax2	ValueText3	ValueType3	ValueColour3	Icon3	ValueMax3	ValueText4	ValueType4	ValueColour4	Icon4	ValueMax4	ValueText5	ValueType5	ValueColour5	Icon5	ValueMax5	ValueText6	ValueType6	ValueColour6	Icon6	ValueMax6
0	0	0	0			95		ui/Image/UICommon/PqUI4.UITex	2			1			“M”键打开地图，勾选活动，即可前往各接头人处了解公共事件的玩法和相关情况		0	0	17	0		0	0	17	0		0	0	17	0		0	0	17	0		0	0	0	0		0	0	0	0
1	194	37873	116			90	交材料任务，帮助我方守军	ui/Image/UICommon/PqUI4.UITex	7	晋祠		3	重建晋祠	帮助晋祠的重建	多亏了侠士与少林的各位师傅相助，我们才得以夺回晋祠。师傅们与我方守军在战斗中多有受伤，请侠士前去协助他们疗伤。请找晋祠接头人王岳明身旁的慧阳接取任务。“M”键打开地图，勾选活动，即可显示接头人的位置。	重建进度	2	1	1	1000																									
2	194	37874	117			90	击杀进攻的狼牙	ui/Image/UICommon/PqUI4.UITex	7	晋祠		1	守卫晋祠	阻止狼牙军夺取晋祠	晋祠现已被我方夺回，狼牙兵随时会对晋祠发起进攻，我们必须要坚守住！	阻挡敌军	2	1	1	500	保护唐军和少林弟子	2	2	1	100																				
3	194	37875	118			90	击败李怀仙，或击杀占据晋祠的狼牙军	ui/Image/UICommon/PqUI4.UITex	7	晋祠		5	援助晋祠	从狼牙军手里夺回晋祠	晋祠现正被狼牙兵占领，请即刻援助晋祠，与我方守军、少林棍僧一同，将狼牙兵赶出晋祠！	击败李怀仙	3	1	10	100	或 击杀敌军	2	1	17	500	保护进攻的太原守军	2	2	1	100															
4	194	37876	119			90		ui/Image/UICommon/PqUI4.UITex	7	晋祠		4	运送粮食	运送粮食																															
5	194	37877	120			90	交材料任务，帮助杏花村村民和丐帮弟子	ui/Image/UICommon/PqUI5.UITex	5	杏花村		3	重建杏花村	帮助杏花村的重建	多亏了侠士与蒋方文长老相助，我们才得以夺回杏花村。村民们被那群混蛋折磨的受了伤，孩子们也受到了惊吓，请侠士前去安抚他们。而那些神志不清的丐帮弟子都昏迷了，侠士看看能不能把他们唤醒。请找杏花村接头人温茹身旁的温小茜接取任务。	重建进度	2	1	1	1000																									
6	194	37878	121			90	击杀进攻的狼牙	ui/Image/UICommon/PqUI5.UITex	5	杏花村		1	守卫杏花村	阻止蔡希德军夺取杏花村	杏花村现已被我方夺回，红衣教徒与狼牙兵随时会对杏花村发起进攻，我们必须要坚守住！	阻挡敌军	2	1	1	500	保护守卫的丐帮弟子	2	2	1	100																				
7	194	37879	122			90	击败月华，或击杀占据杏花村红衣教弟子和狼牙军	ui/Image/UICommon/PqUI5.UITex	5	杏花村		2	村民的暴动	从敌军手里收复杏花村	杏花村现已被狼牙兵和红衣教徒占领。红衣教徒逼问拷打村民交出“天人醉”，村民们苦不堪言。请即刻援助杏花村，与丐帮弟子一同，将红衣教徒和狼牙兵赶出杏花村！	击败月华	3	1	10	100	或 击杀敌军	2	1	17	500	保护进攻的丐帮弟子	2	2	1	100															
8	194	37880	123			90		ui/Image/UICommon/PqUI5.UITex	5	杏花村		5	杏花村的反击	杏花村的反击																															
9	194	37881	124			90	击碎狼牙云梯、攻城车、投石车，击杀进攻的狼牙军	ui/Image/UICommon/PqUI5.UITex	3	怀德门		1	守卫太原·怀德门	抵挡住狼牙军对怀德门的攻击	“M”键可查看狼牙攻城器械的位置。在狼牙云梯到达城墙前将其击碎能大大缓解我方的压力；攻城车会近距离攻击城墙和城门，投石车会远距离攻击我方城墙以及城内的民居，击碎他们。那一波波冲锋的狼牙兵，碾碎他们！	阻挡敌军	2	1	1	2000																									
10	194	37882	125			90	交材料任务	ui/Image/UICommon/PqUI5.UITex	3	怀德门		3	备战待敌·怀德门	为抵挡狼牙军队做准备	坚守城池的同时，我们需利用契机尽快完善防御！请找怀德门瓮城上卫敬德旁边的后勤官刘挽弓接取任务。	重建进度	2	1	1	2000																									
11	194	37883	126			90	击碎狼牙云梯、攻城车、投石车，击杀进攻的狼牙军	ui/Image/UICommon/PqUI5.UITex	4	迎泽门		1	守卫太原·迎泽门	抵挡住狼牙军对迎泽门的攻击	“M”键可查看狼牙攻城器械的位置。在狼牙云梯到达城墙前将其击碎能大大缓解我方的压力；攻城车会近距离攻击城墙和城门，投石车会远距离攻击我方城墙以及城内的民居，击碎他们；那一波波冲锋的狼牙兵，碾碎他们！	阻挡敌军	2	1	1	2000																									
12	194	37884	127			90	交材料任务	ui/Image/UICommon/PqUI5.UITex	4	迎泽门		3	备战待敌·迎泽门	为抵挡狼牙军队做准备	坚守城池的同时，我们需利用契机尽快完善防御！请找迎泽门瓮城上黄延庆旁边的后勤官洛诚接取任务。	重建进度	2	1	1	2000																									
13	194	37885	128			90	击碎狼牙云梯、攻城车、投石车，击杀进攻的狼牙军	ui/Image/UICommon/PqUI4.UITex	2	朝曦门		1	守卫太原·朝曦门	抵挡住狼牙军对朝曦门的攻击	“M”键可查看狼牙攻城器械的位置。在狼牙云梯到达城墙前将其击碎能大大缓解我方的压力；攻城车会近距离攻击城墙，投石车会远距离攻击我方城墙以及城内的民居，击碎他们。那一波波冲锋的狼牙兵，碾碎他们！	阻挡敌军	2	1	1	3000																									
