dwForceID	bJumping	nJumpCount	dwSkillID	nSkillLevel
21	1	0	13185	1
21	0	0	13169	1
21	1	1	13185	1
21	1	2	13193	1
21	1	3	13193	1
21	1	4	13193	1
21	1	5	13198	1
21	1	5	13154	1
21	1	6	13179	1
21	1	7	13191	1
21	1	8	13179	1
21	1	9	13193	1
21	1	10	13179	1
21	1	11	13185	1
22	1	0	14739	1
22	0	0	14739	1
22	1	1	14740	1
22	1	2	14741	1
22	1	3	14742	1
22	1	4	14743	1
22	1	5	15051	1
22	1	6	14772	1
22	1	7	15051	1
22	1	8	14772	1
22	1	9	14772	1
22	1	10	14772	1
22	1	11	14772	1

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
