dwID	nPriority	szName	UserData	szDes	dwFrame	szLinkFrame	nPreTime	szStartTime	szEndTime	nResTime	szLinkIni	szLinkWidget	szActivityExplain	Show
0			-1		0		-1			-1				1
1	50	首充有礼		FirstPay	17	ui/Image/UICommon/BigBtn.UITex					ui/Config/Default/FirstCharge.ini	Wnd_FirstCharge		
2	99	充值送豪礼·5月		Pay	14	ui/Image/UICommon/BigBtn.UITex	1495090800	1495090800	1496905200	1497510000	ui/Config/Default/ChargeGift2.ini	Wnd_Charge2	<text>text="活动简介：" font=164</text><text>text="\\\n       充值送好礼，精美挂件、特效帐篷背挂【倦风尘】免费拿！活动期间全区全服累计充值时间、消耗通宝金额总和达到相应额度，即可在任意区服免费领取精美腰部挂件【鹤鸣映扇】、【醉卧花阴】，背部挂件【燕影横窗】、【壶中天星】，以及特效帐篷背挂【倦风尘】！\\\n充值游戏时间、消耗通宝同样有效，活动开启后4天内更有150%积分回馈（回馈积分仍以大区计算）！\\\n\\\n\\\n\\\n\\\n" font=18</text><text>text="充消有效时间：" font=164</text><text>text="\\\n        " font=18</text><text>text="2017年5月18日7点-2017年6月8日7点\\\n" font=166</text><text>text="150%积分时间：" font=164</text><text>text="\\\n        2017年5月18日7点-2017年5月22日7点\\\n\\\n" font=18</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n        同一账号全区全服以下充值消耗方式金额有效，充值消耗后无需小退游戏！\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间、通宝兑换时间\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n        实物购买：商城购买实体周边\\\n\\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="\\\n        60≤充值消耗＜120   可领取  腰部挂件【鹤鸣映扇】、【醉卧花阴】（二选一）\\\n        120≤充值消耗＜180  可领取  背部挂件【燕影横窗】、【壶中天星】（二选一）\\\n        180≤充值消耗＜240  可领取  腰部挂件【鹤鸣映扇】、【醉卧花阴】（二选一）\\\n        240≤充值消耗＜300  可领取  背部挂件【燕影横窗】、【壶中天星】（二选一）\\\n        充值消耗≥300      　 可领取  特效背部挂件【倦风尘】\\\n        以上充值奖励领取时为不绑定限时道具礼盒，可交易，打开礼盒后获得真正的充值奖励（拾取绑定的永久挂件/跟宠/坐骑等）。道具礼盒消失时间为每次活动结束后4周，账号充值消耗金额需满足对应档次才能使用对应奖励礼盒。\\\n        注：领奖界面将于活动结束后一周消失，请及时领取奖励。\\\n" font=18</text>	1
3	98	充值送豪礼·6月		Pay2	14	ui/Image/UICommon/BigBtn.UITex	1496905200	1496905200	1500534000	1501138800	ui/Config/Default/ChargeGift.ini	Wnd_Charge	<text>text="活动简介：" font=164</text><text>text="\\\n        充值送好礼，精美挂件、双人画舫【兰芷风烟】免费拿！活动期间全区全服累计充值时间、消耗通宝金额总和达到相应额度，即可在任意区服免费领取精美腰部挂件【坠星】、【步光阴】，背部挂件【垂阳】、【敛红尘】，以及双人画舫【兰芷风烟】！\\\n        充值游戏时间、消耗通宝同样有效，活动开启后4天内更有150%积分回馈（回馈积分仍以大区计算）！\\\n\\\n\\\n" font=18</text><text>text="充值有效时间：" font=164</text><text>text="\\\n        " font=18</text><text>text="2017年6月8日7点-2017年7月20日7点\\\n" font=166</text><text>text="150%积分时间：" font=164</text><text>text="\\\n        2017年6月8日7点-2017年6月12日7点\\\n\\\n" font=18</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n        同一账号全区全服以下充值消耗方式金额有效，充值消耗后无需小退游戏！\\\n        " font=18</text><text>text="充值时间：" font=7</text><text>text="直接充值游戏时间、游戏币购买通宝时间、通宝兑换时间\\\n        " font=18</text><text>text="消耗通宝：" font=7</text><text>text="通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n        " font=18</text><text>text="实物购买：" font=7</text><text>text="商城购买实体周边\\\n\\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="　\\\n        60≤充值消耗＜120   可领取  腰部挂件【坠星】、【步光阴】（二选一）\\\n        120≤充值消耗＜180  可领取  背部挂件【垂阳】、【敛红尘】（二选一）\\\n        180≤充值消耗＜240  可领取  腰部挂件【坠星】、【步光阴】（二选一）\\\n        240≤充值消耗＜300  可领取  背部挂件【垂阳】、【敛红尘】（二选一）\\\n        充值消耗≥300       可领取  双人画舫【兰芷风烟】\\\n        以上充值奖励领取时为不绑定限时道具礼盒，可交易，打开礼盒后获得真正的充值奖励（拾取绑定的永久挂件/跟宠/坐骑等）。道具礼盒消失时间为每次活动结束后4周，账号充值消耗金额需满足对应档次才能使用对应奖励礼盒。\\\n        注：领奖界面将于活动结束后一周消失，请及时领取奖励。\\\n" font=18</text>	1
4	60	10亿通宝回馈	245	TongBaoGift	14	ui/Image/OperationActivity/OperationAcitivty11.UITex	1322110800	1478822400	1479970800	1480575600	ui/Config/Default/20yiFeedBack.ini	Wnd_20yiFeedBack	<text>text="活动简介：" font=168</text><text>text="\\\n\\\n        1000万人民币真情回馈亿万剑侠迷！\\\n        活动期间充值消耗，即可获得抽奖资格，全区全服累计10亿通宝，先抽先得！\\\n\\\n" font=18</text><text>text="充消有效时间：" font=168</text><text>text="\\\n" font=18</text><text>text="\\\n        11月11日0点-11月24日7点\\\n" font=166</text><text>text="\\\n抽奖有效时间：\\\n" font=168</text><text>text="\\\n        11月11日0点-12月1日7点\\\n" font=18</text><text>text="\\\n活动说明：" font=168</text><text>text="\\\n\\\n        1、侠士在活动期间大区内充值时间或消耗通宝，" font=18</text><text>text="每满30元即可每天抽奖一次，持续14天" font=164</text><text>text="。\\\n        2、充值、消耗累计金额有效上限为300元，即每个账号最多每天抽奖10次，最多累计抽奖140次。\\\n        3、抽奖次数于每天0点重置，前一天未使用完的抽奖次数一直保留，直到活动结束。\\\n        4、11月30日至12月1日早7点前无抽奖次数限制，玩家可使用完所有剩余抽奖次数。\\\n        5、活动期间抽奖获得的通宝预计将于12月8日发放。\\\n\\\n" font=18</text><text>text="充值消耗说明：\\\n" font=168</text><text>text="\\\n        同一账号同大区以下充值消耗方式金额有效：\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n        实物购买：商城购买实体周边\\\n" font=18</text>	
5	98	免费直升90级		Welfare	3	ui/Image/OperationActivity/OperationAcitivty11.UITex	1492664400	1492664400	1495090800	1495090800	ui/Config/Default/FreeTo90.ini	Wnd_FreeTo90	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n        老玩家福利，免费直升90级！\\\n        剑网3公测至今，侠士充值消耗总额满720元，即可免费领取秒升90级道具！还附赠本门派全套装备和背包、坐骑等必备物品哦！\\\n\\\n" font=18</text><text>text="活动时间：" font=164</text><text>text="\\\n\\\n" font=33</text><text>text="        " font=165</text><text>text="2017年4月20日5点-2017年5月18日7点 " font=166</text><text>text="\\\n" font=20</text><text>text="\\\n" font=18</text><text>text="充消有效时间：" font=164</text><text>text="\\\n\\\n        2009年8月28日-2017年5月18日7点\\\n\\\n" font=18</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n\\\n        同一账号全区全服以下充值消耗方式金额有效：\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n        实物购买：商城购买实体周边\\\n 　　注：开服未满60天的服务器充值消耗正常累计，但无法领取直升道具（可去其他老服领取）。\\\n\\\n" font=18</text><text>text="奖励说明：" font=164</text><text>text="\\\n\\\n        奖励道具为【九阳修髓丹】，使用后获得以下效果：\\\n        可将自身等级提升至90级，该道具在人物角色等级满90级时消失；\\\n        " font=18</text><text>text="并赠送" font=27</text><text>text="：\\\n       【桃李马】1匹：移动速度提升70%。\\\n       【轻容百花包】 4个：可使包囊储物空间增加16格。\\\n\\\n        注：领奖界面将于2017年5月18日7点消失，请及时领取奖励。\\\n" font=18</text>	
6	100	七周年回馈		YearsReward		ui/Image/OperationActivity/OperationAcitivty11.UITex	1251442800	1251442800	1483945200	1483945200	ui/Config/Default/YearsCharge.ini	Wnd_YearsCharge	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n        七年充消，累计回馈！全场2倍积分！\\\n        自剑网3运营起，至2017年1月9日，七年多时间里侠士在剑网3全区全服所有充值时间、通宝消费均会累积计算，侠士根据自身消费金额可免费领取腰部挂件【穹苍白羽】/【凤翥北斗】二选一、背部挂件【赤血天狼】/【素馨菡萏】二选一、跟宠【九影】/【云梦】二选一、七周年特效称号【傲岸】、酷炫坐骑【玄焰】/【翔月】二选一以及陈月同款动作特效罗伞【寒琼】！\\\n        且侠士在8月25日7点-8月29日7点期间的充值消耗将获得2倍回馈积分！\\\n\\\n" font=18</text><text>text="充消有效时间：" font=164</text><text>text="\\\n\\\n        " font=18</text><text>text="2009年8月28日-2017年1月9日7点\\\n" font=166</text><text>text="\\\n" font=18</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n\\\n        同一账号全区全服以下充值消耗方式金额有效，充值消耗后无需小退游戏！\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间、通宝兑换时间\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n        实物购买：商城购买实体周边\\\n\\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="\\\n\\\n七年充值消耗金额累积计算：\\\n        180≤充值消耗＜360       可领取  腰部挂件【穹苍白羽】/【凤翥北斗】二选一\\\n        360≤充值消耗＜720       可领取  背部挂件【赤血天狼】/【素馨菡萏】二选一\\\n        720≤充值消耗＜1440     可领取  跟宠【九影】/【云梦】二选一\\\n        1440≤充值消耗＜2160   可领取  七周年特效称号【傲岸】\\\n        2160≤充值消耗＜2880   可领取  酷炫坐骑【玄焰】/【翔月】二选一\\\n        2880≤充值消耗              可领取  陈月同款动作特效罗伞【寒琼】\\\n\\\n        以上充值奖励领取时为不绑定限时道具礼盒，可交易，打开礼盒后获得真正的充值奖励（拾取绑定的永久挂件/跟宠/坐骑等）。道具礼盒消失时间为本次活动结束后１周，充值消耗达到对应额度方可打开道具礼盒。\\\n        \\\n        注：领奖界面将于1月9日7点消失，道具礼盒消失时间为2017年1月16日7点，请及时领取奖励。\\\n" font=18</text>	
7	800	我为剑网3代言		Endorsement	2	ui/Image/OperationActivity/OperationAcitivty11.UITex	1251442800	1251442800	1420095600	1420095600	ui/Config/Default/Endorsement.ini	Wnd_Endorsement		
8	700	英雄聚义		Hero	4	ui/Image/OperationActivity/OperationAcitivty11.UITex	1251442800	1251442800	1420095600	1420095600	ui/Config/Default/HeroTogether.ini	Wnd_HeroTogether		
9	96	双11·大惠战		DoubleEleven	22	ui/Image/UICommon/BigBtn.UITex	1478761200	1478822400;1478822400	1478908800;1479366000	1479366000	ui/Config/Default/Double11Day.ini	Wnd_Double11Day	<text>text="1、300%积分回馈！" font=65</text><text>text="\\\n\\\n" font=18</text><text>text="活动时间：" font=68</text><text>text="11月11日0点-24点\\\n" font=18</text><text>text="精彩内容：" font=68</text><text>text="史上最高积分返还，全场3倍24小时，一次赚足畅爽一年！\\\n\\\n注：以下充值消耗方式才可获得积分回馈：\\\n" font=18</text><text>text="充值时间：" font=68</text><text>text="直接充值游戏时间、游戏币购买通宝时间、通宝兑换时间。\\\n" font=18</text><text>text="消耗通宝：" font=68</text><text>text="通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）。\\\n" font=18</text><text>text="实物购买：" font=68</text><text>text="商城购买实体周边。\\\n\\\n\\\n" font=18</text><text>text="2、挂件、坐骑、宠物、小玩意全场5折！" font=65</text><text>text=" \\\n\\\n" font=18</text><text>text="活动时间：" font=68</text><text>text="11月11日0点-24点\\\n" font=18</text><text>text="精彩内容：" font=68</text><text>text="积分商城通宝半价仅限一天，挂件、坐骑、宠物、小玩意全场优惠，遗失的美好一个都不能少！\\\n\\\n\\\n" font=18</text><text>text="3、武器收集、外装收集通宝半价！" font=65</text><text>text="\\\n\\\n" font=18</text><text>text="活动时间：" font=68</text><text>text="11月11日0点-24点\\\n" font=18</text><text>text="精彩内容：" font=68</text><text>text="武器收集、外装拓印消耗通宝减半，希望收集各种外装的侠士切莫错过机会！\\\n\\\n" font=18</text><text>text="4、代付福利【真橙之心】免费拿！" font=65</text><text>text="\\\n\\\n活动时间：11月11日0点-11月17日维护前\\\n精彩内容：为你脱单添砖加瓦，单笔代付达100元，双方均可额外获得限时7天【真橙之心】1个。\\\n\\\n注：\\\n1、代付每单满100元，即可获得一次奖励，多付多得，但不可拆分。例如角色A先向角色B发了价值为100元的代付请求，之后又发了一次价值100元的代付请求，角色A和角色B均可获得2个【真橙之心】奖励。而如果角色C向角色D发了价值为200元的代付请求，角色C和角色D均只能获得1个【真橙之心】奖励。\\\n\\\n2、代付金额每单单独计算，不可累计，例如角色A先向角色B发了价值为50元的代付请求，之后又发了一次价值60元的代付请求，但角色A和角色B均不能获得【真橙之心】奖励。\\\n\\\n\\\n\\\n\\\n" font=18</text><text>text="5、成衣店海量外装限时9折！" font=65</text><text>text="\\\n\\\n" font=18</text><text>text="活动时间：" font=68</text><text>text="11月11日0点-11月17日维护前\\\n成衣店全场限时九折，永不落伍的经典款等你来拿！\\\n\\\n\\\n" font=18</text><text>text="6、全新大图谱包限时上架！" font=65</text><text>text="\\\n\\\n" font=18</text><text>text="活动时间：" font=68</text><text>text="11月11日0点-11月17日维护前\\\n" font=18</text><text>text="精彩内容：" font=68</text><text>text="全新大图谱包，随机开出10个图谱，快速激活各部位外观收集！\\\n\\\n\\\n\\\n" font=18</text>	
