BookID	PresentExamPrint
0	0
2	4
3	2
4	4
5	11
6	4
7	7
8	12
9	15
10	13
11	13
12	3
13	7
14	9
15	14
16	17
17	14
18	14
19	14
20	16
21	18
22	21
23	3
24	14
25	0
26	4
27	21
28	20
29	2
30	13
31	15
32	33
33	17
34	21
35	17
36	19
37	9
38	19
39	17
40	2
41	20
42	20
43	20
44	24
45	14
46	15
47	22
48	26
49	27
50	13
51	27
52	32
53	17
54	28
55	31
56	28
57	29
58	29
59	38
60	37
61	32
62	36
63	27
64	24
65	20
66	21
67	21
68	21
69	22
70	24
71	23
72	25
73	25
74	25
75	25
76	27
77	16
78	28
79	31
80	30
81	27
82	30
83	30
84	19
85	20
86	35
87	4
88	34
89	9
90	37
91	20
92	20
93	20
94	22
95	21
96	21
97	25
98	22
99	23
100	27
101	25
102	28
103	28
104	23
105	30
106	29
107	24
108	30
109	30
110	19
111	36
112	22
113	32
114	30
115	13
116	6
117	6
118	12
119	12
120	27
121	9
122	9
123	12
124	14
125	14
126	19
127	19
128	22
129	22
130	14
131	14
132	14
133	24
134	24
135	24
136	24
137	24
138	7
139	16
140	16
141	32
142	32
143	32
144	13
145	12
146	13
147	16
153	33
154	20
155	34
156	29
157	29
158	27
159	22
160	27
161	19
162	22
163	36
164	35
165	37
166	24
167	20
168	20
169	20
170	20
171	25
172	20
173	20
174	20
175	20
176	20
177	20
187	41
188	36
189	32
190	44
191	20
192	20
193	15
194	43
195	27
196	16
198	44
199	44
200	44
202	22

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
