ID	Name	Type	TypeName	SubType	SubTypeName	MinLevel	MaxPlayerNum	Camp	MapID	QuestsID	Priority	Day	StartTime	LastTime	PraiseType
0		0		0		20	25	7	0	0	0	1;2;3;4;5;6;7;	7	24	0
1	天工坊	1	小队秘境	1	风起稻香	21	5		17		32				
2	天地三才阵	1	小队秘境	1	风起稻香	20	5		20		33				
3	空雾峰	1	小队秘境	1	风起稻香	22	5		19		34				
4	灵霄峡	1	小队秘境	1	风起稻香	28	5		14		35				
5	无盐岛	1	小队秘境	1	风起稻香	36	5		18		36				
6	剑冢	1	小队秘境	1	风起稻香	14	5		51		37				
7	荻花宫前山	1	小队秘境	1	风起稻香	44	5		26		38				
8	风雨稻香村	1	小队秘境	1	风起稻香	50	5		34		39				
9	日轮山城	1	小队秘境	1	风起稻香	44	5		28		40				
10	天子峰	1	小队秘境	1	风起稻香	54	5		33		41				
11	英雄天工坊	1	小队秘境	1	风起稻香	70	5		37		42				
12	英雄天地三才阵	1	小队秘境	1	风起稻香	70	5		36		43				
13	英雄空雾峰	1	小队秘境	1	风起稻香	70	5		43		44				
14	英雄灵霄峡	1	小队秘境	1	风起稻香	70	5		45		45				
15	英雄无盐岛	1	小队秘境	1	风起稻香	70	5		41		46				
16	英雄剑冢	1	小队秘境	1	风起稻香	70	5		62		47				
17	英雄荻花宫前山	1	小队秘境	1	风起稻香	70	5		40		48				
18	英雄风雨稻香村	1	小队秘境	1	风起稻香	70	5		47		49				
19	英雄日轮山城	1	小队秘境	1	风起稻香	70	5		44		50				
20	英雄天子峰	1	小队秘境	1	风起稻香	70	5		42		51				
21	小仙踪林	1	小队秘境	2	巴蜀风云	20	5		116		69				
22	法王窟	1	小队秘境	2	巴蜀风云	69	5		106		70				
23	无量宫	1	小队秘境	2	巴蜀风云	70	5		107		71				
24	寂灭厅	1	小队秘境	2	巴蜀风云	75	5		110		72				
25	毒神殿	1	小队秘境	2	巴蜀风云	76	5		75		73				
26	仙踪林	1	小队秘境	2	巴蜀风云	72	5		71		74				
27	英雄法王窟	1	小队秘境	2	巴蜀风云	80	5		115		75				
28	英雄无量宫	1	小队秘境	2	巴蜀风云	80	5		114		76				
29	英雄寂灭厅	1	小队秘境	2	巴蜀风云	80	5		113		77				
30	英雄毒神殿	1	小队秘境	2	巴蜀风云	80	5		112		78				
31	英雄仙踪林	1	小队秘境	2	巴蜀风云	80	5		111		79				
32	低级唐门密室	1	小队秘境	2	巴蜀风云	20	5		123		80				
33	唐门密室	1	小队秘境	2	巴蜀风云	80	5		125		81				
34	低级光明顶秘道	1	小队秘境	2	巴蜀风云	20	5		142		82				
35	光明顶秘道	1	小队秘境	2	巴蜀风云	80	5		141		83				
36	流离岛	1	小队秘境	3	安史之乱	20	5		169		108				
37	一线天	1	小队秘境	3	安史之乱	80	5		167		109				
38	华清宫	1	小队秘境	3	安史之乱	85	5		161		110				
39	英雄流离岛	1	小队秘境	3	安史之乱	90	5		170		111				
40	英雄一线天	1	小队秘境	3	安史之乱	90	5		157		112				
41	英雄华清宫	1	小队秘境	3	安史之乱	90	5		162		113				
42	华清宫回忆录	1	小队秘境	3	安史之乱	90	5		163		114				
43	直城门	1	小队秘境	3	安史之乱	90	5		179		115				
44	墨家秘殿	1	小队秘境	3	安史之乱	90	5		184		116				
45	春明门	1	小队秘境	3	安史之乱	90	5		187		117				
46	战宝迦兰	2	团队秘境	1	风起稻香	70	10		32		52				
47	宫中神武遗迹	2	团队秘境	1	风起稻香	70	10		61		53				
48	持国天王殿	2	团队秘境	1	风起稻香	70	10		60		54				
49	荻花宫后山	2	团队秘境	1	风起稻香	70	10		67		55				
50	英雄荻花宫后山	2	团队秘境	1	风起稻香	70	10		73		56				
51	25人普通宫中神武遗迹	2	团队秘境	1	风起稻香	70	25		64		57				
52	25人普通持国天王殿	2	团队秘境	1	风起稻香	70	25		65		58				
53	英雄战宝迦兰	2	团队秘境	1	风起稻香	70	25		46		59				
54	英雄宫中神武遗迹	2	团队秘境	1	风起稻香	70	25		63		60				
55	英雄持国天王殿	2	团队秘境	1	风起稻香	70	25		66		61				
56	10人普通荻花圣殿	2	团队秘境	2	巴蜀风云	80	10		68		84				
57	10人普通龙渊泽	2	团队秘境	2	巴蜀风云	80	10		109		85				
58	10人英雄荻花圣殿	2	团队秘境	2	巴蜀风云	80	10		69		86				
59	10人英雄龙渊泽	2	团队秘境	2	巴蜀风云	80	10		119		87				
60	荻花洞窟	2	团队秘境	2	巴蜀风云	80	10		120		88				
61	烛龙殿	2	团队秘境	2	巴蜀风云	80	10		134		89				
62	持国回忆录	2	团队秘境	2	巴蜀风云	80	10		131		90				
63	会战唐门	2	团队秘境	2	巴蜀风云	80	10		136		91				
64	南诏皇宫	2	团队秘境	2	巴蜀风云	80	10		140		92				
65	25人普通荻花圣殿	2	团队秘境	2	巴蜀风云	80	25		70		93				
66	25人普通龙渊泽	2	团队秘境	2	巴蜀风云	80	25		118		94				
67	25人英雄荻花圣殿	2	团队秘境	2	巴蜀风云	80	25		72		95				
68	25人英雄龙渊泽	2	团队秘境	2	巴蜀风云	80	25		117		96				
69	英雄荻花洞窟	2	团队秘境	2	巴蜀风云	80	25		130		97				
70	英雄烛龙殿	2	团队秘境	2	巴蜀风云	80	25		133		98				
71	英雄持国回忆录	2	团队秘境	2	巴蜀风云	80	25		148		99				
72	英雄会战唐门	2	团队秘境	2	巴蜀风云	80	25		138		100				
73	英雄南诏皇宫	2	团队秘境	2	巴蜀风云	80	25		155		101				
74	战宝军械库	2	团队秘境	3	安史之乱	90	10		160		118				
75	大明宫	2	团队秘境	3	安史之乱	90	10		164		119				
76	血战天策	2	团队秘境	3	安史之乱	90	10		175		120				
77	风雪稻香村	2	团队秘境	3	安史之乱	90	10		177		121				
78	秦皇陵	2	团队秘境	3	安史之乱	90	10		182		122				
79	英雄战宝军械库	2	团队秘境	3	安史之乱	90	25		171		123				
80	英雄大明宫	2	团队秘境	3	安史之乱	90	25		165		124				
81	英雄血战天策	2	团队秘境	3	安史之乱	90	25		176		125				
82	英雄风雪稻香村	2	团队秘境	3	安史之乱	90	25		178		126				
83	英雄秦皇陵	2	团队秘境	3	安史之乱	90	25		183		127				
84	云湖天池	3	战场			95	10	6	52		128		12	13	4
85	神农洇	3	战场			95	15	6	38		129		12	13	4
86	九宫棋谷	3	战场			95	25	6	48		130		12	13	4
87	丝绸之路	3	战场			95	25	6	50		131		12	13	4
88	三国古战场	3	战场			95	15	6	135		132		12	13	4
89	浮香丘	3	战场			95	15	6	186		133		12	13	4
90	名剑大会常规赛2对2	4	名剑大会			95	2				134		12	13	5
91	名剑大会常规赛3对3	4	名剑大会			95	3				135		12	13	5
92	名剑大会常规赛5对5	4	名剑大会			95	5				136		12	13	5
93	据点贸易！浩气盟	5	阵营PVP	1	阵营日常	95	25	2			137		10	16	2
94	据点贸易！恶人谷	5	阵营PVP	1	阵营日常	95	25	4			138		10	16	2
95	戈壁晶矿引烽烟！浩气盟	5	阵营PVP	1	阵营日常	95	25	2			139				
96	戈壁晶矿引烽烟！恶人谷	5	阵营PVP	1	阵营日常	95	25	4			140				
101	昆仑	5	阵营PVP	2	据点战	90		6	30		145	2;4;	19	3	
102	龙门荒漠	5	阵营PVP	2	据点战	90		6	23		146	2;4;	19	3	
103	马嵬驿	5	阵营PVP	2	据点战	90		6	153		147	2;4;	19	3	
104	融天岭	5	阵营PVP	2	据点战	90		6	103		148	2;4;	19	3	
105	黑龙沼	5	阵营PVP	2	据点战	90		6	104		149	2;4;	19	3	
106	白龙口	5	阵营PVP	2	据点战	90		6	100		150	2;4;	19	3	
107	枫华谷·战乱	5	阵营PVP	2	据点战	90		6	139		151	2;4;	19	3	
108	无量山	5	阵营PVP	2	据点战	90		6	101		152	2;4;	19	3	
109	瞿塘峡	5	阵营PVP	2	据点战	90		6	35		153	2;4;	19	3	
110	金水镇	5	阵营PVP	2	据点战	90		6	13		154	2;4;	19	3	
111	洛道	5	阵营PVP	2	据点战	90		6	9		155	2;4;	19	3	
112	巴陵县	5	阵营PVP	2	据点战	90		6	21		156	2;4;	19	3	
113	苍山洱海	5	阵营PVP	2	据点战	90		6	105		157	2;4;	19	3	
114	南屏山	5	阵营PVP	2	据点战	90		6	22		158	2;4;	19	3	
115	无懈可击！浩气盟	5	阵营PVP	3	攻防战	90		2	25		159	6;	12	9	
116	血战到底！恶人谷	5	阵营PVP	3	攻防战	90		2	27		160	7;	12	9	
117	血战到底！浩气盟	5	阵营PVP	3	攻防战	90		4	25		161	6;	12	9	
118	无懈可击！恶人谷	5	阵营PVP	3	攻防战	90		4	27		162	7;	12	9	
119	龙争虎斗!南屏山	5	阵营PVP	3	攻防战	70		2	22		163	6;	12	9	
120	高手如林!南屏山	5	阵营PVP	3	攻防战	70		4	22		164	6;	12	9	
121	龙争虎斗!昆仑	5	阵营PVP	3	攻防战	70		2	30		165	7;	12	9	
122	高手如林!昆仑	5	阵营PVP	3	攻防战	70		4	30		166	7;	12	9	
123	长安·战乱	5	阵营PVP	4	世界首领	90		6	156		167	3;	19	3	
124	洛阳·战乱	5	阵营PVP	4	世界首领	90		6	151		168	3;	19	3	
125	枫华谷·战乱	5	阵营PVP	4	世界首领	90		6	139		169	5;	19	3	
126	长安城	5	阵营PVP	4	世界首领	90		6	172		170	5;	19	3	
127	混战	5	阵营PVP	5	野外PVP	90		6			171				
128	流离岛上流离人	6	精英任务	1	1-30	18	5			11809	1			
129	误闯剑冢的女孩	6	精英任务	1	1-30	23	5			5346	2			
130	毒海恩仇	6	精英任务	1	1-30	20	5			7288	3			
131	背叛者的首领	6	精英任务	1	1-30	23	5			2212	4			
132	密室之外盼君归	6	精英任务	1	1-30	20	5			11837	5			
133	不肖之徒	6	精英任务	1	1-30	25	5			2693	6			
134	土肥原次郎	6	精英任务	1	1-30	25	5			489	7			
135	蓬莱密谋起天工	6	精英任务	1	1-30	25	5			3031	8			
136	救命格桑	6	精英任务	1	1-30	25	5			3023	9			
137	笼中之猛兽：虎	6	精英任务	1	1-30	30	5			2099	10			
138	灵霄峡之秘	6	精英任务	1	1-30	30	5			11830	11			
139	沙利亚之死	6	精英任务	2	31-50	38	5			2565	12				
140	尸王种子	6	精英任务	2	31-50	39	5			2974	13				
141	豪胆之饮者	6	精英任务	2	31-50	41	5			1395	14				
142	不破的金钟罩	6	精英任务	2	31-50	41	5			1396	15				
143	夺剑之战：日落	6	精英任务	2	31-50	41	5			1402	16				
144	取信	6	精英任务	2	31-50	44	5			2584	17				
145	劝诫	6	精英任务	2	31-50	40	5			4107	18				
146	忍术	6	精英任务	2	31-50	46	5			11833	19				
147	红衣祭司	6	精英任务	2	31-50	46	5			11834	20				
148	叛军校尉	6	精英任务	2	31-50	48	5			11838	21				
149	风云际会	6	精英任务	3	51-70	60	5			11835	22				
150	汉人的诡计	6	精英任务	3	51-70	55	5			3643	23				
151	刺杀	6	精英任务	3	51-70	54	5			3546	24				
152	院后鼠	6	精英任务	3	51-70	64	5			3919	25				
153	怒惩元凶浩气扬	6	精英任务	3	51-70	65	5			651	26				
154	血债血偿	6	精英任务	3	51-70	64	5			771	27				
155	先行受死	6	精英任务	3	51-70	64	5			900	28				
156	还施彼身	6	精英任务	3	51-70	64	5			943	29				
157	最色的那个	6	精英任务	3	51-70	67	5			51	30				
158	除去贼首正气荡	6	精英任务	3	51-70	67	5			752	31				
159	且将剩勇追穷寇	6	精英任务	4	71-80	69	5			7138	62				
160	红衣妖人	6	精英任务	4	71-80	71	5			7139	63				
161	天一尸王	6	精英任务	4	71-80	72	5			6994	64				
