ID1	ID2	ID3	CanOpen	IconID	Name	Time	Place	Reward	Joinlevel	JoinNPC	Content
0	0	0	0								
1	0	0		3729	帮会家园	不限时间	帮会家园	金钱、江湖贡献值、五行石等	等级不限	<text>text="在" font=162</text><text>text="玄字玖贰" font=67 link="NPCGuide/120"</text><text>text="处进入" font=162</text>	<text>text="君子有情堪为家，豪侠聚义战擂台！\\\n隐元会近期开辟出一大块空地，据传极其适合建造帮会领地，领地建成后，可在领地里进行种菜、钓鱼等各种休闲活动，真可谓娱乐休闲的不二选择。\\\n有此意向的帮主可到各主城帮会区寻找帮会家园执事" font=162</text><text>text="玄字玖贰" font=67 link="NPCGuide/120"</text><text>text="购买，购得帮会领地后，所有帮会成员均可通过" font=162</text><text>text="玄字玖贰" font=67 link="NPCGuide/120"</text><text>text="进入帮会领地。\\\n" font=162</text><text>text="        " font=67</text><text>text="\\\n" font=162</text><text>text="查看帮会钓鱼" font=67 link="TongActivity/4/0/0"</text><text>text="         " font=67</text><text>text="\\\n" font=162</text><text>text="查看帮会菜园" font=67 link="TongActivity/5/0/0"</text><text>text="\\\n" font=162</text><text>text="查看帮会食堂" font=67 link="TongActivity/6/0/0"</text><text>text="         " font=67</text><text>text="\\\n" font=162</text><text>text="查看帮会蹴鞠" font=67 link="TongActivity/7/0/0"</text><text>text="\\\n" font=162</text><text>text="查看小猪快跑" font=67 link="TongActivity/8/0/0"</text><text>text="\\\n" font=162</text><text>text="查看奇宝之争" font=67 link="TongActivity/9/0/0"</text>
4	0	0		3781	帮会钓鱼	不限时间	帮会领地-唱晚池	金钱、宝箱、各种鱼类等	不限等级		<text>text="俗谚道：“春钓滩，夏钓潭，秋钓荫，冬钓阳。”古往今来，钓鱼既可怡情，也可消愁，此乃休闲生活的重要部分。\\\n\\\n当少侠想体验钓鱼的乐趣时，可到帮会领地唱晚池边的钓鱼商人" font=162</text><text>text="李霖" font=67 link="NPCGuide/129"</text><text>text="处购买鱼竿和鱼饵。使用鱼竿，即可按提示操作进行钓鱼。\\\n\\\n注：在非活动期间，少侠钓鱼偶尔会消耗一定的体力。\\\n\\\n" font=162</text><text>text="查看钓鱼活动" font=67 link="TongActivity/4/1/0"</text>
4	1	0		3781	钓鱼活动	每晚9点至11点	帮会领地唱晚池	金钱、宝箱、各种鱼类等	80		<text>text="每晚九点至十一点" font=101</text><text>text="，已满级的侠士于唱晚池边钓鱼收益大大增加，此时由于鱼儿充盈，上钩时间也会大大缩短。\\\n而且每周帮主还可自选时间在唱晚池边李霖处免费开启持续四十分钟的帮会钓鱼活动。\\\n免费的福利，不容错过！\\\n\\\n注：帮主自主开启的活动20级以上的侠士均可参与哦！\\\n" font=162</text>
5	0	0	1	3766	帮会菜园	不限时间	帮会领地西侧-山水田园	金钱、江湖贡献值、帮会资金等	不限等级		<text>text="·种植\\\n帮会成员在种子商" font=162</text><text>text="郭语成" font=67 link="NPCGuide/130"</text><text>text="处购买各种种子。菜地可以通过不断的种植和收获果实来提高菜地的熟练度和等级。\\\n\\\n·成长\\\n在作物成长期间，每日会不定时出现一些毒人对菜地进行骚扰，如不保护菜地，会降低菜地果实的收成。\\\n\\\n·收获\\\n植物成熟后，种植者和其他帮众都可进行收获，收获的果实将会通过信箱邮寄的方式寄送到种植者。\\\n\\\n·奖励\\\n少侠可将果实上交给种子商" font=162</text><text>text="郭语成" font=67 link="NPCGuide/130"</text><text>text="以获得大量江湖贡献值、金钱、帮会资金奖励。\\\n\\\n" font=162</text><text>text="查看菜园保卫战" font=67 link="TongActivity/5/1/0"</text>
5	1	0	1	3766	菜园保卫战	帮主自选时间，每周开启一次	帮会领地-祝融山	江湖贡献值、监本印文、五行石等	不限等级		<text>text="·时间" font=67</text><text>text="\\\n帮主开启活动后，如不在其侵入帮会领地山水田园前将其击杀，菜园本期收益则会大大降低。\\\n\\\n" font=162</text><text>text="·技巧" font=67</text><text>text="\\\n活动开启后，少侠可利用祝融山附近遗留的绊马索、石灰粉、发芽的土豆、腐烂的生菜等将其击杀。" font=162</text>
6	0	0		3782	帮会食堂	每天08:00~10:00、12:00~14:00、18:00~20:00	帮会大厅	各种增益效果	不限等级		<text>text="帮会领地内的" font=162</text><text>text="帮会大厅" font=67</text><text>text="内，帮会小二会定期在帮会大厅为帮众们准备各种食物，食用后会为侠士带来各种增益效果。\\\n\\\n帮会食堂的餐点还可以打包带走，可在帮会厨房内找到" font=162</text><text>text="祝宜枫" font=67 link="NPCGuide/131"</text><text>text="并支付一定的金钱就可以打包，每人打包份额默认为1份，帮会天工树【物美价廉】重数越高，食堂提供的餐点越多。\\\n\\\n注意：打包的餐点如果超过12小时还未使用，则会变质，无法食用。" font=162</text>
6	1	0		3782	食堂餐点	每天08:00~10:00、12:00~14:00、18:00~20:00	帮会大厅	各种增益效果	不限等级		<text>text="餐点明细：\\\n" font=162</text><text>text="· 鲜脆果盘" font=67</text><text>text="\\\n增加双倍阅历，持续两小时。两个小时内只能享用一次。\\\n\\\n" font=162</text><text>text="· 鲜味菜盘" font=67</text><text>text="\\\n增加300点修为。两个小时内只能享用一次。\\\n\\\n" font=162</text><text>text="· 鸡肉菜盘" font=67</text><text>text="\\\n声望获取速度增加5%。（需求天工树【吃遍天下】节点一重）\\\n\\\n" font=162</text><text>text="· 美酒佳酿" font=67</text><text>text="\\\n威望获取速度增加5%。（需求天工树【吃遍天下】节点二重）\\\n\\\n" font=162</text><text>text="· 南瓜盅" font=67</text><text>text="\\\n江湖贡献值获取速度增加5%。（需求天工树【吃遍天下】节点三重）\\\n\\\n" font=162</text><text>text="· 蒸鱼菜盘" font=67</text><text>text="\\\n命中增加%1，无双增加3%。（需求天工树【吃遍天下】节点四重）\\\n\\\n" font=162</text><text>text="· 肘子菜盘" font=67</text><text>text="\\\n气血上限和蓝上限增加2%。（需求天工树【吃遍天下】节点五重）" font=162</text>
7	0	0		3773	帮会蹴鞠	不限时间	帮会领地-流星赶月蹴鞠场	无奖励	不限等级	<text>text="在" font=162</text><text>text="韩荞生" font=67 link="NPCGuide/132"</text><text>text="或" font=162</text><text>text="黄剑翔" font=67 link="NPCGuide/133"</text><text>text="处报名参与" font=162</text>	<text>text="养国子以道，健民以强身。\\\n康庄驰逐，穷巷蹴鞠。蹴鞠这项运动源于春秋战国时期，至今流传甚远。不仅可锻人体魄，更可炼人意识，促人合作。帮会后山和风薰柳，花香醉人，在此春光无限，云淡风轻之时，邀三两好友来一场激烈又有趣的蹴鞠比赛可谓别有一番风味，挥汗如雨后，定能收获另一种欢愉。\\\n\\\n" font=162</text><text>text="蹴鞠报名" font=67 link="TongActivity/7/1/0"</text><text>text="\\\n" font=162</text><text>text="蹴鞠规则" font=67 link="TongActivity/7/2/0"</text>
7	1	0		3773	蹴鞠报名	不限时间	帮会领地-流星赶月蹴鞠场	无奖励	不限等级	<text>text="在" font=162</text><text>text="韩荞生" font=67 link="NPCGuide/132"</text><text>text="或" font=162</text><text>text="黄剑翔" font=67 link="NPCGuide/133"</text><text>text="处报名" font=162</text>	<text>text="·当己方报名人数达5人时，报名截止。\\\n·如果少侠报名后下线或重伤，则需重新报名。\\\n·报名后侠士需在一分钟之内进入球场，逾时将被取消报名资格。\\\n·入场后则可获得参赛资格，可使用踢球道具。红队和蓝队身上将背负不同颜色的彩旗，用于分辨不同队伍。\\\n\\\n" font=162</text><text>text="查看蹴鞠规则" font=67 link="TongActivity/7/2/0"</text>
