Command	CommandDesc	ID	Tips	IconID
0	宠物动作	0		0
1	青蟹·欢乐	1		
2	耀武扬威	1		
3	蟹兵·欢乐	2		
4	蟹兵·吉祥	2		
5	耀武扬威	2		
6	蟹卒·欢乐	3		
7	蟹卒·吉祥	3		
8	耀武扬威	3		
9	呆龟·欢乐	4		
10	憨龟·欢乐	5		
11	丞相·欢乐	6		
12	丞相·吉祥	6		
13	大头鹅·欢乐	7		
14	曲项向天歌	7		
15	白鹅·欢乐	8		
16	白鹅·吉祥	8		
17	曲项向天歌	8		
18	灰狐·欢乐	9		
19	灰狐·吉祥	9		
20	灰狐·平安	9		
21	灰狐·如意	9		
22	鸡小蒙·欢乐	10		
23	黄鼠狼来了！	10		
24	小鸡快跑	10		
25	吉祥虎·欢乐	11		
26	吉祥虎·吉祥	11		
27	吉祥虎·平安	11		
28	吉祥虎·如意	11		
29	琴儿来了	11		
30	兔瑞瑞·欢乐	12		
31	兔瑞瑞·吉祥	12		
32	兔瑞瑞·平安	12		
33	兔瑞瑞·如意	12		
34	兔瑞瑞·欢乐	13		
35	兔瑞瑞·吉祥	13		
36	兔瑞瑞·平安	13		
37	兔瑞瑞·如意	13		
38	兔祥祥·欢乐	14		
39	兔祥祥·吉祥	14		
40	兔祥祥·平安	14		
41	兔祥祥·如意	14		
42	兔祥祥·欢乐	15		
43	兔祥祥·吉祥	15		
44	兔祥祥·平安	15		
45	兔祥祥·如意	15		
46	兔轶轶·欢乐	17		
47	兔轶轶·欢乐	16		
48	阿甘·欢乐	18		
49	阿甘·吉祥	18		
50	阿甘·平安	18		
51	阿甘·如意	18		
52	阿甘·欢乐	19		
53	阿甘·吉祥	19		
54	阿甘·平安	19		
55	阿甘·如意	19		
56	比翼·欢乐	20		
57	比翼·吉祥	20		
58	阿宝·欢乐	21		
59	阿宝·吉祥	21		
60	阿宝·平安	21		
61	阿宝·如意	21		
62	孔明灯·欢乐	22		
63	孔明灯·吉祥	22		
64	孔明灯·欢乐	23		
65	孔明灯·吉祥	23		
66	孔明灯·欢乐	24		
67	孔明灯·吉祥	24		
68	孔明灯·欢乐	25		
69	孔明灯·吉祥	25		
70	孔明灯·平安	25		
71	孔明灯·如意	25		
72	御灯龙·欢乐	26		
73	御灯龙·吉祥	26		
74	御灯龙·平安	26		
75	御灯龙·如意	26		
76	御灯龙·欢乐	27		
77	御灯龙·吉祥	27		
78	御灯龙·平安	27		
79	御灯龙·如意	27		
80	灯龙·欢乐	28		
81	灯龙·吉祥	28		
82	转一下	29		
83	翻一下	29		
84	滚一下	29		
85	睡一下	29		
86	转一下	30		
87	翻一下	30		
88	滚一下	30		
89	睡一下	30		
90	转一下	31		
91	翻一下	31		
92	滚一下	31		
93	睡一下	31		
94	转一下	32		
95	翻一下	32		
96	滚一下	32		
97	睡一下	32		
98	滚来滚去	21		
99	吃竹子	21		
100	翻个底朝天	6		
101	翻个脚着地	6		
102	丞相转转转	6		
103	翻个底朝天	4		
104	翻个脚着地	4		
105	翻个底朝天	5		
106	翻个脚着地	5		
107	看我火焰！	27		
108	“灯灯灯灯~”	27		
109	“灯~灯~”	27		
110	看我火焰！	26		
111	“灯灯灯灯~”	26		
112	“灯~灯~”	26		
113	看我火焰！	28		
114	“灯灯灯灯~”	28		
115	“灯~灯~”	28		
116	蹭一下	29		
117	蹭一下	30		
118	蹭一下	31		
119	蹭一下	32		
120	旺财·欢乐	33		
121	旺财·吉祥	33		
122	旺财·平安	33		
123	旺财·如意	33		
124	球球·欢乐	35		
125	球球·吉祥	35		
126	球球·平安	35		
127	球球·如意	35		
128	花花·欢乐	36		
129	花花·吉祥	36		
130	花花·平安	36		
131	花花·如意	36		
132	桃桃·欢乐	37		
133	桃桃·吉祥	37		
134	桃桃·平安	37		
135	桃桃·如意	37		
136	抓尾巴	35		
137	清洁，喵	35		
138	好困啊	35		
139	抓尾巴	36		
140	清洁，喵	36		
141	好困啊	36		
142	抓尾巴	37		
143	清洁，喵	37		
144	好困啊	37		
145	小青·欢乐	42		
146	小青·吉祥	42		
147	小青·平安	42		
148	小青·如意	42		
149	小白·欢乐	41		
150	小白·吉祥	41		
151	小白·平安	41		
152	小白·如意	41		
153	清清·欢乐	43		
154	清清·吉祥	43		
155	清清·平安	43		
156	清清·如意	43		
157	泊泊·欢乐	44		
158	泊泊·吉祥	44		
159	泊泊·平安	44		
160	泊泊·如意	44		
161	杂耍高手	42		
162	杂耍高手	41		
163	杂耍高手	43		
164	杂耍高手	44		
165	坐下来吧	42		
166	坐下来吧	41		
167	坐下来吧	43		
168	坐下来吧	44		
169	蛇舞纳福	42		
170	蛇舞纳福	41		
171	蛇舞纳福	43		
172	蛇舞纳福	44		
173	顶起蛋壳	42		
174	顶起蛋壳	41		
175	顶起鱼篓	43		
176	顶起鱼篓	44		
177	不二·欢乐	45		
178	不二·吉祥	45		
179	不二·平安	45		
180	不二·如意	45		
181	蟹将·欢乐	46		
182	蟹将·吉祥	46		
183	耀武扬威	46		
184	蟹帅·欢乐	47		
185	蟹帅·吉祥	47		
186	耀武扬威	47		
187	小灰·欢乐	48		
188	小灰·吉祥	48		
189	曲项向天歌	48		
190	小锦·欢乐	49		
191	小锦·吉祥	49		
192	阿里·欢乐	50		
