SchoolType	Hard	KungfuIndex	jump_male1	jump_male2	jump_female1	jump_female2	pick_weapon_male1	pick_weapon_male2	insert_weapon_male1	insert_weapon_male2	pick_weapon_female1	pick_weapon_female2	insert_weapon_female1	insert_weapon_female2	posestate_male1	posestate_male2	posestate_female1	posestate_female2	SchoolImage	SchoolFrame	szRoute1Name	szRoute1Image	szRoute1Frame	szRoute2Name	szRoute2Image	szRoute2Frame	SkillID1	MaleAniID1	FemaleAniID1	PlayCount1	PoseState1	SkillID2	MaleAniID2	FemaleAniID2	PlayCount2	PoseState2	SkillID3	MaleAniID3	FemaleAniID3	PlayCount3	PoseState3	SkillID4	MaleAniID4	FemaleAniID4	PlayCount4	PoseState4	Introduce
默认	1	0	0;0	0;0	0;0	0;0	0;0	0;0	0;0	0;0	0;0	0;0	0;0	0;0	-1	-1	-1	-1		0		ui\Image\denglu\sign4.uitex			ui\Image\denglu\sign4.uitex		0			1	-1	0			1	-1	0			1	-1	0			1	-1	
jh	0	0	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	270;271	270;271	235;236	235;236	270;271	270;271	235;236	235;236																																	
wh	5	2	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	218;219	218;219	227;228	227;228	218;219	218;219	227;228	227;228					ui\Image\denglu\sign3.uitex	2	花间游		13	离经易道(15级可选)		11	190	344;332	344;332			142	335;320	335;320			182	325	325			141	319	319			<text>text="内功远程门派，也是最强的单体治疗，辅助能力较强，单挑罕逢敌手。" font=162 </text>
cy	5	4	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	270;271	270;271	235;236	235;236	270;271	270;271	235;236	235;236					ui\Image\denglu\sign3.uitex	7	紫霞功		12	太虚剑意(15级可选)		5	355	643	643			305	620	620			311	604	604			364	605	605			<text>text="外功近战与内功远程兼修的门派，特色气场辅助，高爆发，控场强。" font=162 </text>
tc	4	3	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	210;211	210;211	237;238	237;238	210;211	210;211	237;238	237;238					ui\Image\denglu\sign3.uitex	5	傲血战意		2	铁牢律(15级可选)		0	2611	485	485			402	454	454			415	455	455			403	472	472			<text>text="外功近战门派，能骑马作战，高血量，高外防，在团队中发挥重要作用。" font=162 </text>
sl	3	1	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	1636;1637	1636;1637	239;240	239;240	1636;1637	1636;1637	239;240	239;240					ui\Image\denglu\sign3.uitex	6	易筋经		7	洗髓经(15级可选)		10	238	1620				247	1630				261	1607				246	1628				<text>text="内功近战门派，拥有高血量、高内防，在团队中发挥重要作用。" font=162 </text>
qx	2	5	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	216;217	216;217	241;242	241;242	216;217	216;217	241;242	241;242					ui\Image\denglu\sign3.uitex	1	冰心诀		3	云裳心经(15级可选)		1	567	510	510	5		561	503	503			553	500	500			3003	542;543	542;543			<text>text="内功远程门派，同时拥有瞬发治疗，高闪躲、高机动，控制能力亦强。 " font=162 </text>
cj	3	8	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	270;271	270;271	235;236	235;236	270;271	270;271	235;236	235;236					ui\Image\denglu\sign3.uitex	0	问水诀		14	山居剑意		8	1600	714;715	714;715			1593	710;711	710;711			1646	721	721			1579	706	706			<text>text="外功近战门派，短剑重剑交替使用，同时拥有高闪避、高群攻、高机动等特性。" font=162 </text>
wd	3	6	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	849;850	849;850	851;852	851;852	849;850	849;850	851;852	851;852					ui\Image\denglu\sign3.uitex	3	毒经		9	补天诀(15级可选)		15	2211	805	805			2230	822	822			2235	829	829			2233	828	828			<text>text="内功远程门派，是最强群体治疗角色，乃团队中的核心，拥有特色灵兽攻击。" font=162 </text>
tm	4	7	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	3220;3221;3218;3219	1147;1148	1147;1148	1149;1150	1149;1150	1147;1148	1147;1148	1149;1150	1149;1150					ui\Image\denglu\sign3.uitex	4	惊羽诀		6	天罗诡道(15级可选)		4	3096	1114;1115	1114;1115			3113	1132	1132			3093	1100	1100			3105	1123;1124	1123;1124			<text>text="内外远程兼修的门派，使用机关暗器，有着高爆发的潜力，还能隐匿行踪狙击敌人。" font=162 </text>
