a	szActivityID	szImagePath	dwClassify
0		0	
1	29	ui\Image\Active\ActivityFistPage\Daily\Daily_DaZhanRiChang.tga	1
2	315	ui\Image\Active\ActivityFistPage\Daily\Daily_ZhuChengChaGuan.tga	1
3	300;304;305;313;357	ui\Image\Active\ActivityFistPage\Daily\Daily_GongGongRiChang.tga	1
4	316	ui\Image\Active\ActivityFistPage\Daily\Daily_ZhiZhongZhenDuo.tga	1
5	244	ui\Image\Active\ActivityFistPage\Daily\Daily_JuDianMaoYi.tga	1
6	16;18;27;28;31;44;76;77;136;137;409;	ui\Image\Active\ActivityFistPage\Daily\Daily_ZhanChangShouSheng.tga	1
7	119	ui\Image\Active\ActivityFistPage\Daily\Daily_QingXiuBuCuoDaZuo.tga	0
8	124	ui\Image\Active\ActivityFistPage\Daily\Daily_QingXiuBuCuoYanwu.tga	0

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
