LinkID	MapID	NpcID	Kind	x	y	z	NpcName
0	0	0	0	0	0	0	
0	6	385					扬州车夫
0	6	16113					上官玲
0	15	14657					阿里曼黄金圣盒
0	15	16212					青青
0	74	0					阿伦
0	108	6960					吏部御史
0	108	6987					殿试主考官
0	151	0	111	110	110	110	测试用
1	6	1247	扬州新手武学训练师	46221	31580	1048977	枚成才
1	8	2406	洛阳新手武学训练师	59397	22810	1084672	枚成器
1	15	3682	长安新手武学训练师	28518	45878	1064007	枚成功
2	6	5474	扬州新手少林接引				澄实
2	8	5473	洛阳新手少林接引				澄实
2	15	5439	长安新手少林接引	32539	45432	1060864	澄实
3	6	5465	扬州新手万花接引				僧一行
3	8	5466	洛阳新手万花接引				僧一行
3	15	5427	长安新手万花接引	33961	45516	1060864	僧一行
4	6	5472	扬州新手七秀接引				萧白胭
4	8	5471	洛阳新手七秀接引				萧白胭
4	15	5437	长安新手七秀接引	32562	43889	1063549	萧白胭
5	6	5470	扬州新手纯阳接引				卓凤鸣
5	8	5469	洛阳新手纯阳接引				卓凤鸣
5	15	5433	长安新手纯阳接引	31926	48056	1060864	卓凤鸣
6	6	5468	扬州新手天策接引				曹雪阳
6	8	5467	洛阳新手天策接引				曹雪阳
6	15	5435	长安新手天策接引	32065	46030	1060864	曹雪阳
7	6	3860	扬州新手采金	47393	30102	1048949	金不患
7	8	3862	洛阳新手采金	58089	20220	1083711	蒙劭伟
7	15	3864	长安新手采金	29718	45957	1064053	王武霍
8	6	3861	扬州新手神农	45332	29049	1049056	龙止情
8	8	3863	洛阳新手神农	57423	20496	1083747	秦芹
8	15	3338	长安新手神农	26368	44618	1063431	朱晓月
9	6	3495	扬州新手庖丁	48681	22218	1049454	苏勤
9	8	2339	洛阳新手庖丁	57680	20395	1083725	张达
9	15	3337	长安新手庖丁	26485	44885	1063720	陆定州
10	6	2266	扬州新手铸造	53859	58391	1051810	铁头
10	8	2337	洛阳新手铸造	57296	21596	1083282	程彪
10	15	3755	长安新手铸造	40711	102711	1063579	金锤
11	6	3493	扬州新手缝纫	47381	24098	1050898	绣娘
11	8	3503	洛阳新手缝纫	36065	86224	1058044	邹榆
11	15	3757	长安新手缝纫	39623	103687	1064591	谢文莉
12	6	2263	扬州新手医术	57416	61153	1051790	松若云
12	8	3507	洛阳新手医术	36048	83958	1057365	赵婷婷
12	15	3335	长安新手医术	25239	45119	1063637	林云儿
13	6	392	扬州新手烹饪	42485	25479	1049596	丁聚财
13	8	2338	洛阳新手烹饪	58437	19352	1083719	王九
13	15	3336	长安新手烹饪	33451	47531	1060864	蔡春华
14	6	2586	扬州新手仓库	49773	29820	1052718	杨澄
14	8	2585	洛阳新手仓库	61550	25643	1083838	罗甫
14	15	3785	长安新手仓库	28808	47211	1064190	杨清
15	6	3669	扬州新手信使	62629	57795	1051859	扬州信使
15	8	3674	洛阳新手信使	17508	87738	1060125	洛阳信使
15	15	3675	长安新手信使	41005	91690	1061636	信使
16	6	1249	扬州新手守卫	42068	22111	1050023	再来镇守卫
16	8	3786	洛阳新手守卫	59539	18190	1083865	风雨镇守卫
16	15	2468	长安新手守卫	27361	45622	1063936	沈晓云
43	5	552	少林入门	45398	46425	1127424	澄理
44	2	99	万花入门	46332	47544	1162265	孙思邈
45	16	2131	七秀入门	16039	14229	1071394	萧白胭
46	7	715	纯阳入门	8074	11787	1174080	卓凤鸣
47	11	1641	天策入门	57922	25598	1062764	朱剑秋
48	5	2703	少林马商	7196	13465	1048925	高赞
49	2	102	万花马商	44991	39578	1116515	苏难行
50	16	2649	七秀马商	26657	69636	1057493	镜璇
51	7	763	纯阳马商	45253	29567	1147361	燕小霞
52	11	1746	天策马商	42322	52979	1058489	毛四
53	8	5742	洛阳刀宗接引	16825	81583	1063491	恶人谷战场接引人
54	8	5097	洛阳跨服战场报名区域	15747	81621	1063579	浩气盟战场接引人
55	8	827	洛阳刀宗声望商	13705	82816	1062719	堀北明
56	8	4673	洛阳昆仑声望商	18371	82091	1062730	利智垣
57	6	5742	扬州刀宗接引	86304	74651	1054909	恶人谷战场接引人
58	6	5097	扬州跨服战场报名区域	87380	74672	1054909	浩气盟战场接引人
59	6	827	扬州刀宗声望商	89281	73569	1054147	堀北明
60	6	4673	扬州昆仑声望商	84797	73210	1054148	利智垣
61	15	5742	长安刀宗接引	56544	99124	1063593	恶人谷战场接引人
62	15	5097	长安跨服战场报名区域	57047	97516	1063664	浩气盟战场接引人
63	15	827	长安刀宗声望商	56862	99125	1063593	堀北明
64	15	4673	长安昆仑声望商	56182	97379	1063649	利智垣
65	8	6081	洛阳莫杀	30143	81619	1054990	莫杀
66	15	6069	长安平素素	40272	94109	1061636	平素素
67	25	5144	浩气盟天歌道长	45562	56790	1064443	天歌道长
68	27	4781	恶人谷大头	39509	15921	1057667	大头
69	6	7279	扬州新手藏剑接引				藏剑老者
69	8	7279	洛阳新手藏剑接引				藏剑老者
69	15	7279	长安新手藏剑接引				藏剑老者
70	49	6628	藏剑入门	78522	72617	1118129	叶晖
71	49	7055	藏剑马商	64711	60574	1112788	叶宝驹
72	8	3784	洛阳甲字声望商	30885	86680	1060251	紫庄
73	15	3732	长安甲字声望商	55165	102917	1063675	韦临
74	6	3879	扬州甲字声望商				贺功强
75	8	813	洛阳阳宝哥	55846	23734	1081540	阳宝哥
76	10	7247	寇岛足利义满				足利义满
77	60	7312	达摩洞道海	28382	3335	1316241	道海
78	8	7589	洛阳节日大使	28629	75933	1055808	节日大使
79	8	7534	洛阳智尊宝	27768	90352	1060160	智尊宝
80	8	7164	洛阳王雪儿	30692	85474	1060110	王雪儿
81	15	7572	长安节日大使	46757	92557	1061636	节日大使
82	15	7534	长安智尊宝	54496	92638	1061696	智尊宝
83	15	7164	长安王雪儿	56595	104026	1065823	王雪儿
84	6	7590	扬州节日大使	68379	52537	1056384	节日大使
85	6	7534	扬州智尊宝	70801	45553	1052160	智尊宝
86	6	7164	扬州王雪儿	66161	67159	1053325	王雪儿
87	16	7698	七秀叶紫衣	16299	14317	1076160	叶紫衣
88	7	7696	纯阳李灵霄	31461	16792	1157760	李灵霄
89	11	7700	天策杨立欣	58576	24969	1070336	杨立欣
90	2	7697	万花西门雪	46029	46629	1162176	西门雪
91	5	7701	少林道天常	40744	45277	1122432	道天常
92	49	7699	藏剑叶珍	72572	85013	1115392	叶珍
93	15	6271	长安丘怀	55801	93797	1061696	丘怀
