TabID	Name	Title	Image1	Note1	Image2	Note2	Image3	Note3	Description
0									
6	加入少林	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\少林接引.tga	<text>text="1.通过与新手镇的少林接引人对话，可以被送至少林驿站。\\\n" font=18</text><text>text="少林接引人" font=18 link="NPCGuide/2"</text><text>text=" \\\n需在新手镇才可查看位置。" font=18</text>	ui\Image\Helper\少林入门.tga	<text>text="2.沿着山路进入少林山门，找到澄理就可加入少林了。\\\n少林 " font=18</text><text>text="澄理" font=18 link="NPCGuide/43"</text>			<text>text="少林：\\\n        少林武学讲究以禅入武，禅武结合。招式大开大阖，稳重而不迟滞，一招一式之间无不充斥佛光普照之意，修行到后期更可将气劲运于全身，金刚护体，即便被打中，对手也会受到极大损伤，可谓常立于不败之地。" font=18</text>
7	加入万花	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\万花接引.tga	<text>text="1.通过与新手镇的万花接引人对话，可以被送至万花驿站。\\\n" font=18</text><text>text="万花接引人" font=18 link="NPCGuide/3"</text><text>text=" \\\n需在新手镇才可查看位置。" font=18</text>	ui\Image\Helper\万花入门.tga	<text>text="2.登上三星望月第二层，找到孙思邈就可以加入万花了。\\\n万花 " font=18</text><text>text="孙思邈" font=18 link="NPCGuide/44"</text>			<text>text="万花：\\\n        万花武学最精妙之处乃是点穴截脉，可控人生死于一线。通过将精湛医术与点穴手法结合起来，既可为伙伴疗伤续命，稳定战局，也可挺身而出，用精妙手法制敌控场，实乃掌控全局第一武学。" font=18</text>
8	加入七秀	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\七秀接引.tga	<text>text="1.通过与新手镇的七秀接引人对话，可以被送至七秀码头。\\\n" font=18</text><text>text="七秀接引人" font=18 link="NPCGuide/4"</text><text>text=" \\\n需在新手镇才可查看位置。" font=18</text>	ui\Image\Helper\七秀入门.tga	<text>text="2.在忆盈楼找到叶芷青，就可以加入七秀了。\\\n七秀 " font=18</text><text>text="叶芷青" font=18 link="NPCGuide/45"</text>			<text>text="七秀：\\\n        七秀作为纯女性门派，招式华丽而不繁琐，曼华绝伦的舞姿当中暗藏种种玄机，或者弱敌于无形之处，或者助友于转瞬之间，眼花缭乱让人防不胜防，常常能在出人意料之时决定战局的倾覆。" font=18</text>
9	加入纯阳	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\纯阳接引.tga	<text>text="1.通过与新手镇的纯阳接引人对话，可以被送至纯阳驿站。\\\n" font=18</text><text>text="纯阳接引人" font=18 link="NPCGuide/5"</text><text>text=" \\\n需在新手镇才可查看位置。" font=18</text>	ui\Image\Helper\纯阳入门.tga	<text>text="2.在纯阳宫找到李忘生，就可以加入纯阳了。\\\n纯阳 " font=18</text><text>text="李忘生" font=18 link="NPCGuide/46"</text>			<text>text="纯阳：\\\n        纯阳武学融合了道家真谛，万法自然，随心所欲之间不但可将自身内力如意运转，更可用自身能力构造出一片太极气场，攻守如一，进退自如。随他敌强敌弱，顺其自然，自以不变应万变。" font=18</text>
10	加入天策	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\天策接引.tga	<text>text="1.通过与新手镇的天策接引人对话，可以被送至天策驿站。\\\n" font=18</text><text>text="天策接引人" font=18 link="NPCGuide/6"</text><text>text=" \\\n需在新手镇才可查看位置。" font=18</text>	ui\Image\Helper\天策入门.tga	<text>text="2.在天策府找到李承恩，就可以加入天策了。\\\n天策 " font=18</text><text>text="李承恩" font=18 link="NPCGuide/47"</text>			<text>text="天策：\\\n        天策武学不同于其他武林门派，天策武功往往直接由战争中的技击演化而来，实用性极强，招招致命，没有一丁点花哨之处。再配合天策府独有的兵书阵法和马上战斗，进退自如，威力惊人，霸道无比。" font=18</text>
11	门派马商1	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\少林地图.tga	<text>text="少林门派马商“高赞”所在位置，少林侠士可花10金的价格向马商购买一匹马。购买后，按“B”打开背包，右键点击图标来装备马匹。使用“T”便可上马。\\\n" font=18</text>	ui\Image\Helper\万花地图.tga	<text>text="万花门派马商“苏难行”所在位置，万花侠士可花10金的价格向马商购买一匹马。侠士按“C”打开人物属性界面，在分页里可以看到坐骑界面。\\\n" font=18</text><text>text="马匹界面" font=18 link="PanelLink/characterPanel/Ride"</text>	ui\Image\Helper\七秀地图.tga	<text>text="七秀门派马商“镜璇”所在位置，七秀侠士可花10金的价格向马商购买一匹马。" font=18</text>	
12	门派马商2	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\纯阳地图.tga	<text>text="纯阳门派马商“燕小霞”所在位置，纯阳侠士可花10金的价格向马商购买一匹马。" font=18</text>	ui\Image\Helper\天策地图.tga	<text>text="天策门派马商“毛四”所在位置，天策侠士可花10金的价格向马商购买一匹马。" font=18</text>	ui\Image\Helper\藏剑马商位置.tga	<text>text="藏剑门派马商“叶宝驹”所在位置，藏剑侠士可花10金的价格向马商购买一匹马。" font=18</text>	
13	门派马商3	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\五毒马商位置.tga	<text>text="五毒门派马商“苗小封”所在位置，五毒侠士可花10金的价格向马商购买一匹马。" font=18</text>	ui\Image\Helper\唐门马商位置.tga	<text>text="唐门门派马商“唐放”所在位置，唐门侠士可花10金的价格向马商购买一匹马。" font=18</text>	ui\Image\Helper\明教马商位置.tga	<text>text="明教门派马商“艾尼瓦尔”所在位置，明教侠士可花10金的价格向马商购买一匹马。" font=18</text>	
26	加入浩气盟	恭喜你达到67级，现在你可以选择加入恶人谷或浩气盟！	ui\Image\Helper\天歌道长.tga	<text>text="1.在浩气盟闻道草堂找到天歌道长，接取任务［长空令下斩雄娘］。\\\n浩气盟 " font=18</text><text>text="天歌道长" font=18 link="NPCGuide/67"</text><text>text=" " font=18</text>	ui\Image\Helper\谢渊.tga	<text>text="2.完成这一系列任务后即可找到谢渊，选择是否进入浩气盟。" font=18</text>			<text>text="浩气盟：\\\n        中原武林内部纷争不断、犹如散沙，外有邪派强敌压境、危机四伏，天枢谢渊带领浩气七星和众热血豪侠，意欲力挽狂澜，为武林正道浴血奋战！\\\n        浩气盟既非门派，也非帮会，所以没有门户之见，也不会有势力之争，只是联合各派英豪，以求群策群力，剑指苍穹，扬天下之浩然正气！" font=18</text>
