nLevel	dwCopyID1	dwCopyID2	dwCopyID3	dwCopyID4	dwCopyID5	dwCopyID6	dwCopyID7	dwCopyID8	dwCopyID9	dwCopyID10	dwCopyID11	dwCopyID12	dwCopyID13	dwCopyID14	dwCopyID15	dwCopyID16	dwCopyID17	dwCopyID18	dwCopyID19	dwCopyID20
0	0	0	0	0	0	0	0	0	0	0										
18	51	219																		
19	51	219																		
20	51	116	219																	
21	51	116	219																	
22	51	116																		
23	51	116																		
24	20	　	　																	
25	20	17	123	142	169	196	256													
26	20	17	19	142	169	196														
27	20	17	19	142	169	196														
28	17	19	142	169	196															
29	19	142	169	196																
32	14																			
33	14																			
34	14																			
35	14																			
40	18																			
41	18																			
42	18																			
43	18																			
46	26																			
47	26																			
48	26	28																		
49	26	28																		
50	26	28	34																	
56	33																			
57	33																			
58	33																			
59	33																			
60	33																			
61	33																			
62	33																			
63	33																			
71	106	107																		
72	106	107																		
73	107	71																		
74	71																			
75	71	110																		
76	110																			
77	110	75																		
78	75																			
79	75																			
80	167																			
85	161																			
90	162	163	170	179	184	195														
91	203	204	209	218																
92	203	204	209	218																
93	203	204	209	218																
94	203	204	209	218	242															
95	262	263	264	240	241	242	257	220	221											

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
