Level	ForceID	MapID1	AreaID1	MapID2	AreaID2	MapID3	AreaID3	MapID4	AreaID4	MapID5	AreaID5	MapID6	AreaID6	MapID7	AreaID7	MapID8	AreaID8	MapID9	AreaID9	MapID10	AreaID10	MapID11	AreaID11	MapID12	AreaID12	MapID13	AreaID13	MapID14	AreaID14	MapID15	AreaID15	MapID16	AreaID16	MapID17	AreaID17	MapID18	AreaID18	MapID19	AreaID19	MapID20	AreaID20	MapID21	AreaID21	MapID22	AreaID22
0	0	0		0		0		0		0		0		0		0		0		0																									
1	0	1																																											
2	0	1																																											
3	0	1																																											
4	0	1																																											
5	0	1																																											
6	0	1																																											
7	0	1																																											
8	0	1																																											
9	0	1																																											
10	0	1																																											
11	0	1																																											
12	0	1																																											
13	0	1																																											
14	0	1																																											
15	0	5		2		11		7		16		49		102		150		122		159		193		213		243																			
15	1	5																																											
15	2	2																																											
15	3	11																																											
15	4	7																																											
15	5	16																																											
15	6	102		102																																									
15	7	122																																											
15	8	49																																											
15	9	159																																											
16	1	5																																											
16	2	2																																											
16	3	11		11																																									
16	4	7																																											
16	5	16		16																																									
16	6	102		102																																									
16	7	122																																											
16	8	49																																											
17	1	5		5		5																																							
17	2	2		2																																									
17	3	11		11																																									
17	4	7		7																																									
17	5	16		16																																									
17	6	102																																											
17	7	122																																											
17	8	49																																											
17	9	159																																											
18	1	5																																											
18	2	2		2		2																																							
18	3	11		11																																									
18	4	7																																											
18	5	16		16																																									
18	6	102																																											
18	7	122																																											
18	8	49																																											
19	1	5																																											
19	2	2		2		2																																							
19	3	11		11																																									
19	4	7		7																																									
19	5	16																																											
19	6	102																																											
19	7	122																																											
19	8	49																																											
19	9	159																																											
20	1	5		5		5		5																																					
20	2	2		2																																									
20	3	11		11																																									
20	4	7		7		7																																							
20	5	16		16																																									
20	6	102																																											
20	7	122																																											
20	8	49		49		49																																							
21	1	5		5		5																																							
21	2	2		2																																									
21	3	11		11																																									
21	4	7		7																																									
21	5	16																																											
21	6	102		102																																									
21	7	122																																											
21	8	49		49																																									
21	9	159																																											
22	1	5																																											
22	2	2		2		2																																							
22	3	11		11																																									
22	4	7		7		7																																							
22	5	16		16																																									
22	6	102																																											
22	8	49		49																																									
23	1	5		5		5		5																																					
23	2	2		2		2																																							
23	3	11																																											
23	4	7		7																																									
23	5	16		16																																									
23	6	102																																											
23	7	122		122		122																																							
23	8	49		49																																									
23	9	159																																											
24	1	5																																											
24	2	2		2																																									
24	3	11		11		11																																							
24	4	7		7																																									
24	5	16																																											
24	6	102																																											
24	7	122		122		122																																							
24	8	49		49																																									
24	9	159																																											
25	1	5		7																																									
25	2	2		16																																									
25	3	11		5																																									
25	4	7		11																																									
25	5	16		2																																									
25	6	102		15																																									
25	7	122																																											
25	8	49																																											
25	9	159																																											
25	10	150																																											
25	21	193																																											
25	22	213																																											
25	23	243																																											
26	1	7																																											
26	2	16																																											
26	3	5																																											
26	4	11																																											
26	5	2																																											
26	6	15																																											
26	8	49																																											
27	1	7		8																																									
27	2	16		15																																									
27	3	5		8																																									
27	4	15		11																																									
27	5	6		2																																									
27	6	15																																											
27	8	6		49																																									
