dwIndex	Taiyuan_Dynamic_Type	NpcTemplate	nFrame	nArrowFrame
0	0	0	0	0
1	116	37873	8	15
2	117	37874	7	14
3	118	37875	12	18
4	119	37876	9	17
5	120	37877	8	15
6	121	37878	6	13
7	122	37879	7	14
8	123	37880	12	18
9	124	37881	6	13
10	125	37882	8	15
11	126	37883	6	13
12	127	37884	8	15
13	128	37885	6	13
14	129	37886	8	15
15	130	37887	12	18
16	131	37888	9	17
17	132	37889	6	13
18	133	37890	9	17
19	134	37891	12	18
20	135	37892	6	13
21	136	37893	9	17
22	137	37894	9	17
23	138	37895	9	17
24	139	37896	12	18
25	140	37897	6	13
26	141	37898	12	13
27	142	37899	6	13
28	143	37900	9	17
29	144	37901	6	13
30	145	37902	9	17
31	146	37903	12	18
32	147	37904	12	18
33	148	37905	12	18
34	149	37906	8	15
35	150	37907	8	15
36	151	38167	6	13
37	153	41626	6	13
38	157	43710	6	13

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
