ID	Image	frame	ani_loop_count(0 代表不是动，非常0代表动画，-1是循环播，正数是播的次数)
0		-1	0
1	ui\Image\ChaptersTga\wangyifeng.tga		
2	ui\Image\ChaptersTga\chenheshang.tga		
3	ui\Image\ChaptersTga\liugongzi.tga		
4	ui\Image\ChaptersTga\motiyeluo.tga		
5	ui\Image\ChaptersTga\xieyuan.tga		
6	ui\Image\ChaptersTga\xueyanlongwang.tga		
7	ui\Image\ChaptersTga\zhihuiwang.tga		
8	ui\Image\ChaptersTga\lifu.tga		
9	ui\Image\ChaptersTga\qiuyeqing.tga		
10	ui\Image\ChaptersTga\李承恩- 天策府统领.tga		
11	ui\Image\ChaptersTga\穆玄英.tga		
12	ui\Image\ChaptersTga\莫雨.tga		
13	ui\Image\ChaptersTga\哥舒翰- 潼关守备军大元帅.tga		
14	ui\Image\ChaptersTga\萧沙- 血眼龙王.tga		
15	ui\Image\ChaptersTga\陆危楼- 明教教主.tga		
16	ui\Image\ChaptersTga\狄飞霜- 长歌门弟子.tga		
17	ui\Image\ChaptersTga\谷碧湖- 激浪庄小姐.tga		
18	ui\Image\ChaptersTga\陶寒亭- 黑鸦.tga		
19	ui\Image\ChaptersTga\楚小妹.tga		
20	ui\Image\ChaptersTga\方紫霞- 陶寒亭爱侣.tga		
21	ui\Image\ChaptersTga\宋南天.tga		
22	ui\Image\ChaptersTga\谢云流- 刀宗宗主.tga		
23	ui\Image\ChaptersTga\何方易- 明教左护法.tga		
24	ui\Image\ChaptersTga\何方易- 明教左护法.tga		
25	ui\Image\ChaptersTga\秦颐岩- 镇军大将军.tga		
26	ui\Image\ChaptersTga\郭岩- 风火神龙.tga		
27	ui\Image\ChaptersTga\唐玄宗- 大唐皇帝.tga		
28	ui\Image\ChaptersTga\杨玉环- 大唐贵妃.tga		
29	ui\Image\ChaptersTga\杨国忠- 大唐宰相.tga		
30	ui\Image\ChaptersTga\高力士- 骠骑大将军.tga		
31	ui\Image\ChaptersTga\颜杲卿.tga		
32	ui\Image\ChaptersTga\秦肃观- 江湖义士.tga		
33	ui\Image\ChaptersTga\杨云- 江湖义士.tga		
34	ui\Image\ChaptersTga\马天忌- 丐帮传功长老.tga		
35	ui\Image\ChaptersTga\詹毅- 逍遥钓叟.tga		
36	ui\Image\ChaptersTga\郭珠- 郭岩之女.tga		
37	ui\Image\ChaptersTga\阿史那从礼- 天狼.tga		
38	ui\Image\ChaptersTga\曼迦耶- 常胜王.tga		
39	ui\Image\ChaptersTga\噶尔东赞- 风狼.tga		
40	ui\Image\ChaptersTga\史朝义- 副宗主.tga		
41	ui\Image\ChaptersTga\耶律嫣- 泽狼.tga		
42	ui\Image\ChaptersTga\独孤问俗- 地狼.tga		
43	ui\Image\ChaptersTga\尹素颜- 水狼.tga		
44	ui\Image\ChaptersTga\沙叱博- 雷狼.tga		
45	ui\Image\ChaptersTga\黑齿元佑- 拜月长老.tga		
46	ui\Image\ChaptersTga\令狐伤- 逐日长老.tga		
47	ui\Image\ChaptersTga\苏曼莎- 摘星长老.tga		
48	ui\Image\ChaptersTga\安禄山- 大燕皇帝.tga		
49	ui\Image\ChaptersTga\天策安史之乱诗-1.tga		
50	ui\Image\ChaptersTga\天策安史之乱诗-2.tga		
51	ui\Image\ChaptersTga\陶寒亭复仇-1.tga		
52	ui\Image\ChaptersTga\陶寒亭复仇-2.tga		
53	ui\Image\ChaptersTga\杨贵妃-1.tga		
54	ui\Image\ChaptersTga\杨贵妃-2.tga		
55	ui\Image\ChaptersTga\丐帮君山风景-1.tga		
56	ui\Image\ChaptersTga\丐帮君山风景-2.tga		
57	ui\Image\ChaptersTga\丐帮君山风景-3.tga		
58	ui\Image\ChaptersTga\丐帮君山风景-4.tga		
59	ui\Image\ChaptersTga\毛毛莫雨枫华谷-1.tga		
60	ui\Image\ChaptersTga\毛毛莫雨枫华谷-2.tga		
61	ui\Image\ChaptersTga\毛毛莫雨枫华谷-3.tga		
62	ui\Image\ChaptersTga\毛毛莫雨枫华谷-4.tga		
63	ui\Image\ChaptersTga\毛毛莫雨枫华谷-5.tga		
64	ui\Image\ChaptersTga\安婉儿.tga		
65	ui\Image\ChaptersTga\激浪庄贤士.tga		
66	ui\Image\ChaptersTga\烈焰庄贤士.tga		
67	ui\Image\ChaptersTga\W光.tga		
68	ui\Image\ChaptersTga\D光.tga		
69	ui\Image\ChaptersTga\A光.tga		
70	ui\Image\ChaptersTga\T光.tga		
71	ui\Image\ChaptersTga\W.tga		
72	ui\Image\ChaptersTga\D.tga		
73	ui\Image\ChaptersTga\A.tga		
74	ui\Image\ChaptersTga\T.tga		
75	ui\Image\ChaptersTga\shift上档键-发光.tga		
76	ui\Image\ChaptersTga\shift上档键.tga		
77	ui\Image\ChaptersTga\空格-光.tga		
78	ui\Image\ChaptersTga\空格.tga		
79	ui\Image\ChaptersTga\三段跳.tga		
80	ui\Image\ChaptersTga\一段跳.tga		
81	ui\Image\ChaptersTga\二段跳.tga		
82	ui\Image\ChaptersTga\气力值.tga		
83	ui\Image\ChaptersTga\双击W轻功起步.tga		
84	ui\Image\ChaptersTga\身轻如燕.tga		
85	ui\Image\ChaptersTga\登萍渡水.tga		
86	ui\Image\ChaptersTga\诗-丐帮.tga		
87	ui\Image\ChaptersTga\诗-丐帮弟子情同手足.tga		
88	ui\Image\ChaptersTga\丐帮轻功-四方行.tga		
89	ui\Image\ChaptersTga\箭头-2.tga		
90	ui\Image\ChaptersTga\箭头-1.tga		
91	ui\Image\ChaptersTga\目标锁定（组队模式）.tga		
92	ui\Image\ChaptersTga\双击W轻功加速.tga		
93	ui\Image\ChaptersTga\加速中按T唤马.tga		
94	ui\Image\ChaptersTga\马上双击W乘骑加速.tga		
95	ui\Image\ChaptersTga\连击W马术轻功.tga		
96	ui\Image\ChaptersTga\马上按T下马.tga		
97	ui\Image\ChaptersTga\数日后.tga		
98	ui\Image\ChaptersTga\二级石头.tga		
99	ui\Image\ChaptersTga\五行石1级1个（亮）.tga		
100	ui\Image\ChaptersTga\五行石1级1个（暗）.tga		
101	ui\Image\ChaptersTga\五行石1级3个（亮）.tga		
102	ui\Image\ChaptersTga\五行石1级3个（暗）.tga		
