ID	forceid	f1_image	f1_frame	f2_image	f2_frame	m1_image	m1_frame	m2_image	m2_frame	bAnimate	nRelateID	nHat	hudimage_left	hudimage_lframe	hudimage_mid	hudimage_mframe	hudimage_right	hudimage_rframe
0	0		-1		-1		-1		-1	0	0	-1		-1		-1		-1
1	1		-1		-1	ui\Image\PlayerAvatar\MP_SL_M1_001.tga	-1	ui\Image\PlayerAvatar\MP_SL_m2_001.tga	-1									
2	1		-1		-1	ui\Image\PlayerAvatar\MP_SL_M1_002.tga	-1	ui\Image\PlayerAvatar\MP_SL_m2_002.tga	-1									
3	2	ui\Image\PlayerAvatar\MP_WH_f1_001.tga	-1	ui\Image\PlayerAvatar\MP_WH_f2_001.tga	-1	ui\Image\PlayerAvatar\MP_WH_M1_001.tga	-1	ui\Image\PlayerAvatar\MP_WH_m2_001.tga	-1									
4	2	ui\Image\PlayerAvatar\MP_WH_f1_002.tga	-1	ui\Image\PlayerAvatar\MP_WH_f2_002.tga	-1	ui\Image\PlayerAvatar\MP_WH_M1_002.tga	-1	ui\Image\PlayerAvatar\MP_WH_m2_002.tga	-1									
5	3	ui\Image\PlayerAvatar\MP_TC_f1_001.tga	-1	ui\Image\PlayerAvatar\MP_TC_f2_001.tga	-1	ui\Image\PlayerAvatar\MP_TC_m2_001.tga	-1	ui\Image\PlayerAvatar\MP_TC_m1_001.tga	-1									
6	3	ui\Image\PlayerAvatar\MP_TC_f1_002.tga	-1	ui\Image\PlayerAvatar\MP_TC_f2_002.tga	-1	ui\Image\PlayerAvatar\MP_TC_m2_002.tga	-1	ui\Image\PlayerAvatar\MP_TC_m1_002.tga	-1									
7	5	ui\Image\PlayerAvatar\MP_QX_f1_001.tga	-1	ui\Image\PlayerAvatar\MP_QX_f2_001.tga	-1	ui\Image\PlayerAvatar\MP_QX_M1_001.tga	-1		-1									
8	5	ui\Image\PlayerAvatar\MP_QX_f1_002.tga	-1	ui\Image\PlayerAvatar\MP_QX_f2_002.tga	-1	ui\Image\PlayerAvatar\MP_QX_M1_002.tga	-1		-1									
9	6	ui\Image\PlayerAvatar\MP_WD_f1_001.tga	-1	ui\Image\PlayerAvatar\MP_WD_f2_001.tga	-1	ui\Image\PlayerAvatar\MP_WD_M1_001.tga	-1	ui\Image\PlayerAvatar\MP_WD_m2_001.tga	-1									
10	6	ui\Image\PlayerAvatar\MP_WD_f1_002.tga	-1	ui\Image\PlayerAvatar\MP_WD_f2_002.tga	-1	ui\Image\PlayerAvatar\MP_WD_M1_002.tga	-1	ui\Image\PlayerAvatar\MP_WD_m2_002.tga	-1									
