setid	uiid	pos
0	0	
903	57351	AMULET
903	57405	PENDANT
903	57459	LEFT_RING
903	57459	RIGHT_RING
904	57353	AMULET
904	57407	PENDANT
904	57461	LEFT_RING
904	57461	RIGHT_RING
905	57354	AMULET
905	57408	PENDANT
905	57462	LEFT_RING
905	57462	RIGHT_RING
906	57355	AMULET
906	57409	PENDANT
906	57463	LEFT_RING
906	57463	RIGHT_RING
907	57357	AMULET
907	57411	PENDANT
907	57465	LEFT_RING
907	57465	RIGHT_RING
908	57358	AMULET
908	57412	PENDANT
908	57466	LEFT_RING
908	57466	RIGHT_RING
909	57359	AMULET
909	57413	PENDANT
909	57467	LEFT_RING
909	57467	RIGHT_RING
910	57360	AMULET
910	57414	PENDANT
910	57468	LEFT_RING
910	57468	RIGHT_RING
911	57361	AMULET
911	57415	PENDANT
911	57469	LEFT_RING
911	57469	RIGHT_RING
912	57362	AMULET
912	57416	PENDANT
912	57470	LEFT_RING
912	57470	RIGHT_RING
913	57363	AMULET
913	57417	PENDANT
913	57471	LEFT_RING
913	57471	RIGHT_RING
914	57364	AMULET
914	57418	PENDANT
914	57472	LEFT_RING
914	57472	RIGHT_RING
915	57365	AMULET
915	57419	PENDANT
915	57473	LEFT_RING
915	57473	RIGHT_RING
916	57366	AMULET
916	57420	PENDANT
916	57474	LEFT_RING
916	57474	RIGHT_RING
917	57367	AMULET
917	57421	PENDANT
917	57475	LEFT_RING
917	57475	RIGHT_RING
918	57658	AMULET
918	57712	PENDANT
918	57766	LEFT_RING
918	57766	RIGHT_RING
919	57660	AMULET
919	57714	PENDANT
919	57768	LEFT_RING
919	57768	RIGHT_RING
920	57661	AMULET
920	57715	PENDANT
920	57769	LEFT_RING
920	57769	RIGHT_RING
921	57662	AMULET
921	57716	PENDANT
921	57770	LEFT_RING
921	57770	RIGHT_RING
922	57664	AMULET
922	57718	PENDANT
922	57772	LEFT_RING
922	57772	RIGHT_RING
923	57665	AMULET
923	57719	PENDANT
923	57773	LEFT_RING
923	57773	RIGHT_RING
924	57666	AMULET
924	57720	PENDANT
924	57774	LEFT_RING
924	57774	RIGHT_RING
925	57667	AMULET
925	57721	PENDANT
925	57775	LEFT_RING
925	57775	RIGHT_RING
926	57668	AMULET
926	57722	PENDANT
926	57776	LEFT_RING
926	57776	RIGHT_RING
927	57669	AMULET
927	57723	PENDANT
927	57777	LEFT_RING
927	57777	RIGHT_RING
928	57670	AMULET
928	57724	PENDANT
928	57778	LEFT_RING
928	57778	RIGHT_RING
929	57671	AMULET
929	57725	PENDANT
929	57779	LEFT_RING
929	57779	RIGHT_RING
930	57672	AMULET
930	57726	PENDANT
930	57780	LEFT_RING
930	57780	RIGHT_RING
931	57673	AMULET
931	57727	PENDANT
931	57781	LEFT_RING
931	57781	RIGHT_RING
932	57674	AMULET
932	57728	PENDANT
932	57782	LEFT_RING
932	57782	RIGHT_RING
933	56430	AMULET
933	56484	PENDANT
933	56538	LEFT_RING
933	56538	RIGHT_RING
934	56432	AMULET
934	56486	PENDANT
934	56540	LEFT_RING
934	56540	RIGHT_RING
935	56433	AMULET
935	56487	PENDANT
935	56541	LEFT_RING
935	56541	RIGHT_RING
936	56434	AMULET
936	56488	PENDANT
936	56542	LEFT_RING
936	56542	RIGHT_RING
937	56436	AMULET
937	56490	PENDANT
937	56544	LEFT_RING
937	56544	RIGHT_RING
938	56437	AMULET
938	56491	PENDANT
938	56545	LEFT_RING
938	56545	RIGHT_RING
939	56438	AMULET
939	56492	PENDANT
939	56546	LEFT_RING
939	56546	RIGHT_RING
940	56439	AMULET
940	56493	PENDANT
940	56547	LEFT_RING
940	56547	RIGHT_RING
941	56440	AMULET
941	56494	PENDANT
941	56548	LEFT_RING
941	56548	RIGHT_RING
942	56441	AMULET
942	56495	PENDANT
942	56549	LEFT_RING
942	56549	RIGHT_RING
943	56442	AMULET
943	56496	PENDANT
943	56550	LEFT_RING
943	56550	RIGHT_RING
944	56443	AMULET
944	56497	PENDANT
944	56551	LEFT_RING
944	56551	RIGHT_RING
945	56444	AMULET
945	56498	PENDANT
945	56552	LEFT_RING
945	56552	RIGHT_RING
946	56445	AMULET
946	56499	PENDANT
946	56553	LEFT_RING
946	56553	RIGHT_RING
947	56446	AMULET
947	56500	PENDANT
947	56554	LEFT_RING
947	56554	RIGHT_RING
948	56737	AMULET
948	56791	PENDANT
948	56845	LEFT_RING
948	56845	RIGHT_RING
949	56739	AMULET
949	56793	PENDANT
949	56847	LEFT_RING
949	56847	RIGHT_RING
950	56740	AMULET
950	56794	PENDANT
950	56848	LEFT_RING
950	56848	RIGHT_RING
951	56741	AMULET
951	56795	PENDANT
951	56849	LEFT_RING
951	56849	RIGHT_RING
952	56743	AMULET
952	56797	PENDANT
952	56851	LEFT_RING
952	56851	RIGHT_RING
953	56744	AMULET
953	56798	PENDANT
953	56852	LEFT_RING
953	56852	RIGHT_RING
954	56745	AMULET
954	56799	PENDANT
954	56853	LEFT_RING
954	56853	RIGHT_RING
955	56746	AMULET
955	56800	PENDANT
955	56854	LEFT_RING
955	56854	RIGHT_RING
956	56747	AMULET
956	56801	PENDANT
956	56855	LEFT_RING
956	56855	RIGHT_RING
957	56748	AMULET
957	56802	PENDANT
957	56856	LEFT_RING
957	56856	RIGHT_RING
958	56749	AMULET
958	56803	PENDANT
958	56857	LEFT_RING
958	56857	RIGHT_RING
959	56750	AMULET
959	56804	PENDANT
959	56858	LEFT_RING
959	56858	RIGHT_RING
960	56751	AMULET
960	56805	PENDANT
960	56859	LEFT_RING
960	56859	RIGHT_RING
961	56752	AMULET
961	56806	PENDANT
961	56860	LEFT_RING
961	56860	RIGHT_RING
962	56753	AMULET
962	56807	PENDANT
962	56861	LEFT_RING
962	56861	RIGHT_RING
963	62093	AMULET
963	62138	PENDANT
963	62183	LEFT_RING
963	62183	RIGHT_RING
964	62094	AMULET
964	62139	PENDANT
964	62184	LEFT_RING
964	62184	RIGHT_RING
965	62095	AMULET
965	62140	PENDANT
965	62185	LEFT_RING
965	62185	RIGHT_RING
966	62096	AMULET
966	62141	PENDANT
966	62186	LEFT_RING
966	62186	RIGHT_RING
967	62097	AMULET
967	62142	PENDANT
967	62187	LEFT_RING
967	62187	RIGHT_RING
968	62098	AMULET
968	62143	PENDANT
968	62188	LEFT_RING
968	62188	RIGHT_RING
969	62099	AMULET
969	62144	PENDANT
969	62189	LEFT_RING
969	62189	RIGHT_RING
970	62100	AMULET
970	62145	PENDANT
970	62190	LEFT_RING
970	62190	RIGHT_RING
971	62101	AMULET
971	62146	PENDANT
971	62191	LEFT_RING
971	62191	RIGHT_RING
972	62102	AMULET
972	62147	PENDANT
972	62192	LEFT_RING
972	62192	RIGHT_RING
973	62103	AMULET
973	62148	PENDANT
973	62193	LEFT_RING
973	62193	RIGHT_RING
974	62104	AMULET
974	62149	PENDANT
974	62194	LEFT_RING
974	62194	RIGHT_RING
975	62105	AMULET
975	62150	PENDANT
975	62195	LEFT_RING
975	62195	RIGHT_RING
976	62106	AMULET
976	62151	PENDANT
976	62196	LEFT_RING
976	62196	RIGHT_RING
977	62107	AMULET
977	62152	PENDANT
977	62197	LEFT_RING
977	62197	RIGHT_RING
978	62349	AMULET
978	62394	PENDANT
978	62439	LEFT_RING
978	62439	RIGHT_RING
979	62350	AMULET
979	62395	PENDANT
979	62440	LEFT_RING
979	62440	RIGHT_RING
980	62351	AMULET
980	62396	PENDANT
980	62441	LEFT_RING
980	62441	RIGHT_RING
981	62352	AMULET
981	62397	PENDANT
981	62442	LEFT_RING
981	62442	RIGHT_RING
982	62353	AMULET
982	62398	PENDANT
982	62443	LEFT_RING
982	62443	RIGHT_RING
983	62354	AMULET
983	62399	PENDANT
983	62444	LEFT_RING
983	62444	RIGHT_RING
984	62355	AMULET
984	62400	PENDANT
984	62445	LEFT_RING
984	62445	RIGHT_RING
985	62356	AMULET
985	62401	PENDANT
985	62446	LEFT_RING
985	62446	RIGHT_RING
986	62357	AMULET
986	62402	PENDANT
986	62447	LEFT_RING
986	62447	RIGHT_RING
987	62358	AMULET
987	62403	PENDANT
987	62448	LEFT_RING
987	62448	RIGHT_RING
988	62359	AMULET
988	62404	PENDANT
988	62449	LEFT_RING
988	62449	RIGHT_RING
989	62360	AMULET
989	62405	PENDANT
989	62450	LEFT_RING
989	62450	RIGHT_RING
990	62361	AMULET
990	62406	PENDANT
990	62451	LEFT_RING
990	62451	RIGHT_RING
991	62362	AMULET
991	62407	PENDANT
991	62452	LEFT_RING
991	62452	RIGHT_RING
992	62363	AMULET
992	62408	PENDANT
992	62453	LEFT_RING
992	62453	RIGHT_RING
1056	90005	AMULET
1056	90020	PENDANT
1056	90035	LEFT_RING
1056	90035	RIGHT_RING
1057	90006	AMULET
1057	90021	PENDANT
1057	90036	LEFT_RING
1057	90036	RIGHT_RING
1058	90007	AMULET
1058	90022	PENDANT
1058	90037	LEFT_RING
1058	90037	RIGHT_RING
1059	90008	AMULET
1059	90023	PENDANT
1059	90038	LEFT_RING
1059	90038	RIGHT_RING
1060	90009	AMULET
1060	90024	PENDANT
1060	90039	LEFT_RING
1060	90039	RIGHT_RING
1061	90010	AMULET
1061	90025	PENDANT
1061	90040	LEFT_RING
1061	90040	RIGHT_RING
1062	90011	AMULET
1062	90026	PENDANT
1062	90041	LEFT_RING
1062	90041	RIGHT_RING
1063	90012	AMULET
1063	90027	PENDANT
1063	90042	LEFT_RING
1063	90042	RIGHT_RING
1064	90013	AMULET
1064	90028	PENDANT
1064	90043	LEFT_RING
1064	90043	RIGHT_RING
1065	90014	AMULET
1065	90029	PENDANT
1065	90044	LEFT_RING
1065	90044	RIGHT_RING
1066	90015	AMULET
1066	90030	PENDANT
1066	90045	LEFT_RING
1066	90045	RIGHT_RING
1067	90016	AMULET
1067	90031	PENDANT
1067	90046	LEFT_RING
1067	90046	RIGHT_RING
