dwSkill	bKoMove
0	0
5363	0
5364	0
5366	0
5528	1
6337	0
6351	0
6352	0
6353	0
6354	1
6355	0
6356	0
6357	0
6358	0
6359	0
6360	0
6361	0
6362	0
6363	0
6364	0
6365	0
6366	0
6367	0
6368	0
6369	0
6370	0
6371	0
6372	0
6373	0
6374	1
6376	0
6377	0
6378	0
6379	0
6380	0
6381	0
6382	0
6383	0
6384	0
6385	0
6386	0
6387	0
6388	0
6389	0
6390	0
6391	0
6392	0
6393	0
6394	0
6395	0
6396	0
6397	0
6398	0
6581	0
6582	0
6583	0
6584	0
6585	0
6588	0
6600	0
6606	0
6607	0
6608	0
6609	0
6610	0
6611	1

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
