PointID	Name
0	
1	第一重
2	第二重
3	第三重
4	第四重
5	第五重
6	第六重
7	第七重
8	第八重
9	第九重
10	第十重
11	第十一重
12	第十二重
13	第一重
14	第二重
15	第三重
16	第四重
17	第五重
18	第六重
19	第七重
20	第八重
21	第九重
22	第十重
23	第十一重
24	第十二重
25	第一重
26	第二重
27	第三重
28	第四重
29	第五重
30	第六重
31	第七重
32	第八重
33	第九重
34	第十重
35	第十一重
36	第十二重
37	第一重
38	第二重
39	第三重
40	第四重
41	第五重
42	第六重
43	第七重
44	第八重
45	第九重
46	第十重
47	第十一重
48	第十二重
49	第一重
50	第二重
51	第三重
52	第四重
53	第五重
54	第六重
55	第七重
56	第八重
57	第九重
58	第十重
59	第十一重
60	第十二重
61	第一重
62	第二重
63	第三重
64	第四重
65	第五重
66	第六重
67	第七重
68	第八重
69	第九重
70	第十重
71	第十一重
72	第十二重
73	第一重
74	第二重
75	第三重
76	第四重
77	第五重
78	第六重
79	第七重
80	第八重
81	第九重
82	第十重
83	第十一重
84	第十二重
85	第一重
86	第二重
87	第三重
88	第四重
89	第五重
90	第六重
91	第七重
92	第八重
93	第九重
94	第十重
95	第十一重
96	第十二重
97	第一重
98	第二重
99	第三重
100	第四重
101	第五重
102	第六重
103	第七重
104	第八重
105	第九重
106	第十重
107	第十一重
108	第十二重
109	第一重
110	第二重
111	第三重
112	第四重
113	第五重
114	第六重
115	第七重
116	第八重
117	第九重
118	第十重
119	第十一重
120	第十二重
121	第一重
122	第二重
123	第三重
124	第四重
125	第五重
126	第六重
127	第七重
128	第八重
129	第九重
130	第十重
131	第十一重
132	第十二重
133	第一重
134	第二重
135	第三重
136	第四重
137	第五重
138	第六重
139	第七重
140	第八重
141	第九重
142	第十重
143	第十一重
144	第十二重
145	第一重
146	第二重
147	第三重
148	第四重
149	第五重
150	第六重
151	第七重
152	第八重
153	第九重
154	第十重
155	第十一重
156	第十二重
157	第一重
158	第二重
159	第三重
160	第四重
161	第五重
162	第六重
163	第七重
164	第八重
165	第九重
166	第十重
167	第十一重
168	第十二重
169	第一重
170	第二重
171	第三重
172	第四重
173	第五重
174	第六重
175	第七重
176	第八重
177	第九重
178	第十重
179	第十一重
180	第十二重
181	第一重
182	第二重
183	第三重
184	第四重
185	第五重
186	第六重
187	第七重
188	第八重
189	第九重
190	第十重
191	第十一重
192	第十二重
193	第一重
194	第二重
195	第三重
196	第四重
197	第五重
198	第六重
199	第七重
200	第八重
201	第九重
202	第十重
203	第十一重
204	第十二重
205	第一重
206	第二重
207	第三重
208	第四重
209	第五重
210	第六重
211	第七重
212	第八重
213	第九重
214	第十重
215	第十一重
216	第十二重
217	第一重
218	第二重
219	第三重
220	第四重
221	第五重
222	第六重
223	第七重
224	第八重
225	第九重
226	第十重
227	第十一重
228	第十二重
229	第一重
230	第二重
231	第三重
232	第四重
233	第五重
234	第六重
235	第七重
236	第八重
237	第九重
238	第十重
239	第十一重
240	第十二重
241	第一重
242	第二重
243	第三重
244	第四重
245	第五重
246	第六重
247	第七重
248	第八重
249	第九重
250	第十重
251	第十一重
252	第十二重
253	第一重
254	第二重
255	第三重
256	第四重
257	第五重
258	第六重
259	第七重
260	第八重
261	第九重
262	第十重
263	第十一重
264	第十二重
265	第一重
266	第二重
267	第三重
268	第四重
269	第五重
270	第六重
271	第七重
272	第八重
273	第九重
274	第十重
275	第十一重
276	第十二重

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
