EVENT_ID	DESCRIPTION	CONDITION_ID	SKILL_ID	SKILL_LEVEL	SHOW_TYPE	MAX_TIME	SFX_PATH	SCALE	SHOW_ONCE
0	Default			1	FLASH_BOX				
1	碧水滔天	8;1	131	1	SHOW_TIP				
2	花语酥心	2;1	134	1	SHOW_TIP				
3	玉石俱焚	3;4;5	182	1	SHOW_TIP				
4	听风吹雪	6;1	2663	1	SHOW_TIP				
5	乱洒青荷_阳明指	7;1	179	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
6	乱洒青荷_钟林毓秀	7;1	189	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
7	乱洒青荷_兰摧玉折	7	190	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
8	满豆无我无剑	9;1	365	1	SHOW_TIP				
9	八荒归元	10;1	2699	1	SHOW_TIP				
10	转乾坤_生太极	11;1	358	1	FLASH_BOX	1			
11	转乾坤_吞日月	11;1	363	1	FLASH_BOX	1			
12	转乾坤_凌太虚	11;1	361	1	FLASH_BOX	1			
13	转乾坤_化三清	11;1	357	1	FLASH_BOX	1			
14	转乾坤_碎星辰	11;1	362	1	FLASH_BOX	1			
15	水月无间_阳明指	1;12	179	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
16	水月无间_钟林毓秀	1;12	189	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
17	水月无间_兰摧玉折	12	190	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
18	水月无间_长针	1;12	142	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
19	水月无间_彼针	1;12	140	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
20	水月无间_提针	1;12	138	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
21	行气血_长针	1;13	142	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
22	行气血_彼针	1;13	140	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
23	行气血_提针	1;13	138	1	FLASH_BOX		\data\source\other\特效\技能\SFX\释放\释放_屏幕万花01.sfx		1
24	满豆两仪化形	9;1	301	1	SHOW_TIP				
25	抱元守缺	8;1	316	1	SHOW_TIP				
26	转乾坤	2;1	372	1	FLASH_BOX				
27	镇山河	2;1	371	1	FLASH_BOX				
28	致残_龙牙	14;1	415	1	SHOW_TIP				
29	致残_破坚阵	14;1	426	1	FLASH_BOX				
30	啸如虎	2;1	422	1	FLASH_BOX				
31	徐如林	8;1	405	1	FLASH_BOX				
32	御奔突_破坚阵	15	426	1	FLASH_BOX	1			
33	御奔突_断魂刺	15	428	1	FLASH_BOX	1			
