KUNGFU_ID	KUNGFU_NAME	TARGET_BUFF	CLIENT_BUFF	TARGET_LIFE	CLIENT_LIFE	TARGET_MANA	CLIENT_MANA	REFRESH_CD	CLIENT_ACCUMULATE	TEAMMATE_LIFE	CLIENT_SUN_ACCUMULATE	CLIENT_MOON_ACCUMULATE
0	Default											
10002	洗髓经	43							39			
10003	易筋经		40;98	44			41		38;41;44	65		
10014	紫霞功		73;89		27		25		24;25			
10015	太虚剑意		68;69;70;71;72	9	26		25		8;25			
10021	花间游	3	5;6;7;15;16;17		2		1	66				
10026	傲血战意	28;29			30		31	32;33;34;35				
10028	离经易道		18;19;20;21;22;23		2		1			4		
10062	铁牢律	28;29			30		31	36		37		
10080	云裳心经				46			47;48		45		
10081	冰心诀		49;50		46			47;48				
10144	问水诀		67		61							
10145	山居剑意		63;64;67		62							
10175	毒经				53							
10176	补天诀		51		52					54		
10224	惊羽诀		55;58;90;99	60	56;57							
10225	天罗诡道		59;100		56;57							
10242	焚影圣诀		82		80			83;84;85;86			74;	75;
10243	明尊琉璃体				80;81			87			74;	75;
10389	铁骨衣				91;92;93;94							
10390	分山劲				91;92;93;94							
10464	北傲诀		95;96;97									

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
