LineID	LineName	LineInfo
0		
1	少林升级推荐方案	2549,2;2559,3;2558,2;2564,3;2557,2;2563,1;2551,2;2566,2;2567,1;2569,2;2570,2;2571,3;2572,1;
2	万花升级推荐方案	2629,2;2631,2;2630,3;2635,3;2633,2;2636,1;2637,2;2639,3;2640,2;2641,2;2644,3;2645,1;
3	天策升级推荐方案	2595,2;2596,3;2598,3;2599,2;2601,2;2602,2;2604,3;2606,3;2608,2;2610,3;2611,1;
4	太虚纯阳升级推荐方案	2682,2;2683,3;2684,2;2688,3;2686,2;2687,2;2692,2;2690,1;2694,1;2696,2;2695,2;2698,3;2699,1;
5	七秀升级推荐方案	2700,2;2701,2;2702,3;2704,2;2706,3;2707,1;2708,2;2709,2;2710,2;2713,2;2714,2;2715,3;2716,1;
6	五毒升级推荐方案	2993,2;2935,3;2939,2;2937,3;2938,2;2218,1;2941,2;2944,3;2946,2;2947,2;2948,3;2227,1;
7	惊羽唐门升级推荐方案	3260,2;3261,3;3263,3;3265,2;3101,1;3268,2;3267,2;3270,2;3271,1;3272,2;3273,2;3274,3;3100,1;
8	藏剑升级推荐方案	2734,2;2735,3;2737,2;2739,3;2741,2;2742,1;2743,2;2744,2;2745,3;2747,3;2749,2;2750,1;
9	明教升级推荐方案	3986,2;3987,3;3988,2;3989,2;3990,2;3993,3;3995,2;3997,2;3998,3;4000,3;4001,2;3978,1;
10	紫霞纯阳升级推荐方案	2665,2;2666,3;2671,3;2669,2;2674,1;2672,3;2675,2;2678,3;2676,1;2679,2;2680,3;2681,1;
11	天罗唐门升级推荐方案	3275,2;3276,3;3277,2;3279,2;3280,2;3281,1;3284,2; 3110,1;3285,3;3286,2;3287,3;3289,3;3111,1;

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
